gene_target,n_drugs,action_types,drugs,immune_indications,furthest_stage,furthest_stage_drugs,furthest_stage_indications
TUBB2B,9,INHIBITOR,CABAZITAXEL;COLCHICINE;DOCETAXEL;ERIBULIN;PACLITAXEL;VINBLASTINE;VINCRISTINE;VINCRISTINE SULFATE;VINORELBINE,Behcet disease;Kaposi's sarcoma;ST Elevation Myocardial Infarction;abdominal aortic aneurysm;acute coronary syndrome;acute myocardial infarction;adrenal cortex carcinoma;angiosarcoma;aortic valve stenosis;arteriosclerosis disorder;atherosclerosis;atrial fibrillation,Approved,COLCHICINE;PACLITAXEL,Kaposi's sarcoma;coronary artery disorder;myocardial infarction
TUBB3,9,INHIBITOR,CABAZITAXEL;COLCHICINE;DOCETAXEL;ERIBULIN;PACLITAXEL;VINBLASTINE;VINCRISTINE;VINCRISTINE SULFATE;VINORELBINE,Behcet disease;Kaposi's sarcoma;ST Elevation Myocardial Infarction;abdominal aortic aneurysm;acute coronary syndrome;acute myocardial infarction;adrenal cortex carcinoma;angiosarcoma;aortic valve stenosis;arteriosclerosis disorder;atherosclerosis;atrial fibrillation,Approved,COLCHICINE;PACLITAXEL,Kaposi's sarcoma;coronary artery disorder;myocardial infarction
TUBB4A,9,INHIBITOR,CABAZITAXEL;COLCHICINE;DOCETAXEL;ERIBULIN;PACLITAXEL;VINBLASTINE;VINCRISTINE;VINCRISTINE SULFATE;VINORELBINE,Behcet disease;Kaposi's sarcoma;ST Elevation Myocardial Infarction;abdominal aortic aneurysm;acute coronary syndrome;acute myocardial infarction;adrenal cortex carcinoma;angiosarcoma;aortic valve stenosis;arteriosclerosis disorder;atherosclerosis;atrial fibrillation,Approved,COLCHICINE;PACLITAXEL,Kaposi's sarcoma;coronary artery disorder;myocardial infarction
TUBB4B,9,INHIBITOR,CABAZITAXEL;COLCHICINE;DOCETAXEL;ERIBULIN;PACLITAXEL;VINBLASTINE;VINCRISTINE;VINCRISTINE SULFATE;VINORELBINE,Behcet disease;Kaposi's sarcoma;ST Elevation Myocardial Infarction;abdominal aortic aneurysm;acute coronary syndrome;acute myocardial infarction;adrenal cortex carcinoma;angiosarcoma;aortic valve stenosis;arteriosclerosis disorder;atherosclerosis;atrial fibrillation,Approved,COLCHICINE;PACLITAXEL,Kaposi's sarcoma;coronary artery disorder;myocardial infarction
TUBB6,9,INHIBITOR,CABAZITAXEL;COLCHICINE;DOCETAXEL;ERIBULIN;PACLITAXEL;VINBLASTINE;VINCRISTINE;VINCRISTINE SULFATE;VINORELBINE,Behcet disease;Kaposi's sarcoma;ST Elevation Myocardial Infarction;abdominal aortic aneurysm;acute coronary syndrome;acute myocardial infarction;adrenal cortex carcinoma;angiosarcoma;aortic valve stenosis;arteriosclerosis disorder;atherosclerosis;atrial fibrillation,Approved,COLCHICINE;PACLITAXEL,Kaposi's sarcoma;coronary artery disorder;myocardial infarction
TUBB8,9,INHIBITOR,CABAZITAXEL;COLCHICINE;DOCETAXEL;ERIBULIN;PACLITAXEL;VINBLASTINE;VINCRISTINE;VINCRISTINE SULFATE;VINORELBINE,Behcet disease;Kaposi's sarcoma;ST Elevation Myocardial Infarction;abdominal aortic aneurysm;acute coronary syndrome;acute myocardial infarction;adrenal cortex carcinoma;angiosarcoma;aortic valve stenosis;arteriosclerosis disorder;atherosclerosis;atrial fibrillation,Approved,COLCHICINE;PACLITAXEL,Kaposi's sarcoma;coronary artery disorder;myocardial infarction
AVPR2,9,AGONIST;ANTAGONIST;BINDING AGENT,CONIVAPTAN;CONIVAPTAN HYDROCHLORIDE;DESMOPRESSIN;DESMOPRESSIN ACETATE;LIXIVAPTAN;PECAVAPTAN;TERLIPRESSIN;TOLVAPTAN;VASOPRESSIN,atrial fibrillation;cardiac arrest;cardiac edema;cardiovascular disorder;congestive heart failure;esophageal varices;heart failure;hemorrhagic stroke;hypotensive disorder;intracerebral hemorrhage;portal hypertension;pulmonary arterial hypertension,Approved,CONIVAPTAN;CONIVAPTAN HYDROCHLORIDE;TOLVAPTAN,cardiovascular disorder;heart failure
PDE5A,9,ANTAGONIST;INHIBITOR,DIPYRIDAMOLE;PENTOXIFYLLINE;PF-00489791;PF-03049423;SILDENAFIL;SILDENAFIL CITRATE;TADALAFIL;UDENAFIL;VARDENAFIL,Behcet disease;Eisenmenger syndrome;Pulmonary arterial hypertension associated with portal hypertension;Raynaud disease;acute coronary syndrome;cardiomyopathy;cardiovascular disorder;cerebral small vessel disease;cervical artery dissection;congenital heart disease;congestive heart failure;coronary artery disorder,Approved,DIPYRIDAMOLE;PENTOXIFYLLINE;SILDENAFIL;SILDENAFIL CITRATE;TADALAFIL,cardiovascular disorder;coronary artery disorder;intermittent vascular claudication;pulmonary arterial hypertension;pulmonary hypertension;stroke disorder
INSR,9,AGONIST;INHIBITOR,"INSULIN ASPART;INSULIN DEGLUDEC;INSULIN DETEMIR;INSULIN GLARGINE;INSULIN GLULISINE;INSULIN HUMAN;INSULIN HUMAN, ISOPHANE;INSULIN LISPRO;LINSITINIB",ST Elevation Myocardial Infarction;acute coronary syndrome;acute myocardial infarction;adrenal cortex carcinoma;cardiac arrhythmia;cardiovascular disorder;congestive heart failure;coronary artery disorder;diabetic foot;diabetic retinopathy;heart failure;hypertensive disorder,Phase 3,INSULIN GLARGINE;INSULIN GLULISINE;INSULIN HUMAN;LINSITINIB,ST Elevation Myocardial Infarction;acute coronary syndrome;acute myocardial infarction;adrenal cortex carcinoma;cardiac arrhythmia;coronary artery disorder;heart failure;ischemic stroke;myocardial infarction
CHRM3,8,AGONIST;ANTAGONIST;INHIBITOR,ACETYLCHOLINE;ATROPINE;GLYCOPYRRONIUM;GLYCOPYRRONIUM BROMIDE;GLYCOPYRRONIUM TOSYLATE;IPRATROPIUM BROMIDE;PILOCARPINE;TROPICAMIDE,cardiac arrest;cardiac arrhythmia;cardiovascular disorder;catecholaminergic polymorphic ventricular tachycardia;diabetic peripheral angiopathy;endothelial dysfunction;heart failure;ocular hypertension;pulmonary arterial hypertension;pulmonary hypertension;retinopathy of prematurity,Approved,GLYCOPYRRONIUM TOSYLATE;PILOCARPINE,cardiac arrhythmia;ocular hypertension
GNRHR,8,AGONIST;ANTAGONIST,ACYLINE;CETRORELIX;CETRORELIX ACETATE;GANIRELIX ACETATE;GONADORELIN;GONADORELIN ACETATE;LEUPROLIDE;LEUPROLIDE ACETATE,cardiovascular disorder;coronary artery disorder;heart disorder;hemangioma;hypertensive disorder;postural orthostatic tachycardia syndrome,Phase 2,ACYLINE;GANIRELIX ACETATE,cardiovascular disorder;postural orthostatic tachycardia syndrome
PCSK9,8,INHIBITOR;RNAI INHIBITOR,ALIROCUMAB;BOCOCIZUMAB;EVOLOCUMAB;FROVOCIMAB;INCLISIRAN;INCLISIRAN SODIUM;LERODALCIBEP;TAFOLECIMAB,Non-ST Elevation Myocardial Infarction;ST Elevation Myocardial Infarction;abdominal aortic aneurysm;acute coronary syndrome;acute myocardial infarction;atherosclerosis;cardiovascular disorder;coronary artery disorder;coronary atherosclerosis;heart failure;hemorrhagic stroke;ischemic stroke,Approved,ALIROCUMAB;EVOLOCUMAB;INCLISIRAN;INCLISIRAN SODIUM,atherosclerosis;cardiovascular disorder;coronary artery disorder;myocardial infarction;stroke disorder
ROCK1,8,INHIBITOR,AMA0076;DE-104;FASUDIL;NETARSUDIL;NETARSUDIL DIMESYLATE;RIPASUDIL;RIPASUDIL HYDROCHLORIDE DIHYDRATE;VEROSUDIL,atherosclerosis;cardiovascular disorder;ocular hypertension;retinopathy of prematurity,Approved,FASUDIL;NETARSUDIL;NETARSUDIL DIMESYLATE;RIPASUDIL HYDROCHLORIDE DIHYDRATE,cardiovascular disorder;ocular hypertension
ROCK2,8,INHIBITOR,AMA0076;DE-104;FASUDIL;NETARSUDIL;NETARSUDIL DIMESYLATE;RIPASUDIL;RIPASUDIL HYDROCHLORIDE DIHYDRATE;VEROSUDIL,atherosclerosis;cardiovascular disorder;ocular hypertension;retinopathy of prematurity,Approved,FASUDIL;NETARSUDIL;NETARSUDIL DIMESYLATE;RIPASUDIL HYDROCHLORIDE DIHYDRATE,cardiovascular disorder;ocular hypertension
PLG,8,ACTIVATOR;AGONIST;ANTAGONIST;INHIBITOR,AMEDIPLASE;AMINOCAPROIC ACID;ANISTREPLASE;DEFIBROTIDE;DEFIBROTIDE SODIUM;DESMOTEPLASE;STREPTOKINASE;TRANEXAMIC ACID,Kawasaki disease;acute coronary syndrome;acute myocardial infarction;aortic aneurysm;epistaxis;hepatic veno-occlusive disease;hereditary angioedema;hereditary hemorrhagic telangiectasia;hypotensive disorder;intracerebral hemorrhage;intracranial hemorrhage;intracranial subdural hematoma,Approved,ANISTREPLASE;DEFIBROTIDE;DEFIBROTIDE SODIUM;STREPTOKINASE,acute coronary syndrome;hepatic veno-occlusive disease;pulmonary embolism
SLC6A3,8,INHIBITOR;RELEASING AGENT,ARMODAFINIL;BUPROPION;DEXTROAMPHETAMINE;DIETHYLPROPION;LISDEXAMFETAMINE DIMESYLATE;METHYLPHENIDATE;MODAFINIL;SIBUTRAMINE,22q11.2 deletion syndrome;acute coronary syndrome;arteriosclerosis disorder;heart failure;hypertensive disorder;ischemic stroke;migraine disorder;myotonic dystrophy type 1;orthostatic hypotension;postural orthostatic tachycardia syndrome;stroke disorder,Approved,DEXTROAMPHETAMINE;DIETHYLPROPION;LISDEXAMFETAMINE DIMESYLATE,arteriosclerosis disorder;migraine disorder
AVPR1A,8,AGONIST;ANTAGONIST;BINDING AGENT,BALOVAPTAN;CONIVAPTAN;CONIVAPTAN HYDROCHLORIDE;DESMOPRESSIN;DESMOPRESSIN ACETATE;PECAVAPTAN;TERLIPRESSIN;VASOPRESSIN,atrial fibrillation;cardiac arrest;cardiovascular disorder;congestive heart failure;esophageal varices;heart failure;hemorrhagic stroke;hypotensive disorder;intracerebral hemorrhage;ischemic stroke;portal hypertension;pulmonary arterial hypertension,Approved,CONIVAPTAN;CONIVAPTAN HYDROCHLORIDE,cardiovascular disorder;heart failure
PDCD1,8,ANTAGONIST;INHIBITOR,BALSTILIMAB;CAMRELIZUMAB;CEMIPLIMAB;DOSTARLIMAB;NIVOLUMAB;PEMBROLIZUMAB;SINTILIMAB;TORIPALIMAB,Kaposi's sarcoma;adrenal cortex carcinoma;angiosarcoma;cardiomyopathy;cardiotoxicity;choroid plexus carcinoma;hemangioendothelioma;migraine disorder;myocardial infarction;temporal arteritis;thrombotic disease,Phase 2,BALSTILIMAB;CAMRELIZUMAB;CEMIPLIMAB;DOSTARLIMAB;NIVOLUMAB;PEMBROLIZUMAB;SINTILIMAB;TORIPALIMAB,Kaposi's sarcoma;adrenal cortex carcinoma;angiosarcoma;cardiomyopathy;hemangioendothelioma;myocardial infarction;thrombotic disease
AR,8,AGONIST;ANTAGONIST;DEGRADER;MODULATOR,BICALUTAMIDE;DANAZOL;DIMETHYLCURCUMIN;GSK2849466;OXANDROLONE;STANOZOLOL;TESTOSTERONE;TESTOSTERONE UNDECANOATE,cardiovascular disorder;coronary artery disorder;diabetic macular edema;heart disorder;heart failure;hereditary angioedema;hypertensive disorder;hypoplastic left heart syndrome;myocardial infarction;thrombotic disease,Approved,STANOZOLOL,hereditary angioedema
PGR,8,AGONIST;ANTAGONIST,DANAZOL;DROSPIRENONE;HYDROXYPROGESTERONE CAPROATE;LEVONORGESTREL;MEDROXYPROGESTERONE ACETATE;MEGESTROL ACETATE;NORETHINDRONE;PROGESTERONE,adrenal cortex carcinoma;atherosclerosis;cardiovascular disorder;cerebral small vessel disease;congenital heart disease;coronary artery disorder;coronary atherosclerosis;diabetic macular edema;essential hypertension;heart disorder;migraine disorder;myocardial ischemia,Phase 3,DROSPIRENONE;LEVONORGESTREL;MEDROXYPROGESTERONE ACETATE;PROGESTERONE,coronary artery disorder;coronary atherosclerosis;essential hypertension;migraine disorder
ACHE,8,INHIBITOR,DONEPEZIL;DONEPEZIL HYDROCHLORIDE;GALANTAMINE;GALANTAMINE HYDROBROMIDE;NEOSTIGMINE;PYRIDOSTIGMINE;PYRIDOSTIGMINE BROMIDE;RIVASTIGMINE,Glycogen storage disease due to acid maltase deficiency;congenital heart disease;endothelial dysfunction;heart failure;hypotensive disorder;ischemic stroke;migraine disorder;orthostatic hypotension;postural orthostatic tachycardia syndrome;subarachnoid hemorrhage;vascular dementia,Phase 3,DONEPEZIL;GALANTAMINE;GALANTAMINE HYDROBROMIDE;RIVASTIGMINE,ischemic stroke;vascular dementia
VKORC1,7,INHIBITOR,ACENOCOUMAROL;DICUMAROL;PHENINDIONE;PHENPROCOUMON;TECARFARIN;WARFARIN;WARFARIN SODIUM,ST Elevation Myocardial Infarction;Subdural hemorrhage;acute myocardial infarction;atherosclerosis;atrial fibrillation;atrial flutter;cardiomyopathy;cervical artery dissection;congestive heart failure;coronary artery disorder;heart failure;intermittent vascular claudication,Approved,ACENOCOUMAROL;DICUMAROL;PHENINDIONE;PHENPROCOUMON;WARFARIN;WARFARIN SODIUM,atrial fibrillation;myocardial infarction;pulmonary embolism;stroke disorder;thrombotic disease
PTGFR,7,AGONIST,AL-12182;BIMATOPROST;LATANOPROST;LATANOPROSTENE BUNOD;SEPETAPROST;TAFLUPROST;TRAVOPROST,diabetic retinopathy;hypertensive disorder;migraine disorder;ocular hypertension,Approved,BIMATOPROST;LATANOPROST;LATANOPROSTENE BUNOD;TAFLUPROST;TRAVOPROST,hypertensive disorder;ocular hypertension
PPARG,7,AGONIST;ANTAGONIST;INHIBITOR,ALEGLITAZAR;BARDOXOLONE METHYL;BEZAFIBRATE;PIOGLITAZONE;ROSIGLITAZONE;ROSIGLITAZONE MALEATE;TROGLITAZONE,anti-neutrophil cytoplasmic antibody-associated vasculitis;aortic valve calcification;aortic valve stenosis;atherosclerosis;cardiovascular disorder;congestive heart failure;coronary artery disorder;endothelial dysfunction;heart disorder;heart failure;hypertensive disorder;intermittent vascular claudication,Approved,BEZAFIBRATE,cardiovascular disorder
GRIN1,7,ANTAGONIST;INHIBITOR;NEGATIVE ALLOSTERIC MODULATOR,AMANTADINE HYDROCHLORIDE;AV-101;ESKETAMINE;KETAMINE;KETAMINE HYDROCHLORIDE;MEMANTINE;TRAXOPRODIL,atrial fibrillation;cardiac arrest;cerebral atherosclerosis;cerebral infarction;congenital heart disease;coronary artery disorder;hemorrhoid;hypotensive disorder;intracranial subdural hematoma;ischemic stroke;migraine disorder;postural orthostatic tachycardia syndrome,Approved,AMANTADINE HYDROCHLORIDE,cerebral atherosclerosis
GRIN2A,7,AGONIST;ANTAGONIST;INHIBITOR;NEGATIVE ALLOSTERIC MODULATOR,AMANTADINE HYDROCHLORIDE;AV-101;DEXTROMETHORPHAN;ESKETAMINE;KETAMINE;KETAMINE HYDROCHLORIDE;MEMANTINE,atrial fibrillation;cardiac arrest;cerebral atherosclerosis;cerebral infarction;congenital heart disease;coronary artery disorder;diabetic macular edema;diabetic retinopathy;hemorrhoid;hypotensive disorder;intracranial subdural hematoma;ischemic stroke,Approved,AMANTADINE HYDROCHLORIDE,cerebral atherosclerosis
GRIN2B,7,ANTAGONIST;INHIBITOR;NEGATIVE ALLOSTERIC MODULATOR,AMANTADINE HYDROCHLORIDE;AV-101;ESKETAMINE;KETAMINE;KETAMINE HYDROCHLORIDE;MEMANTINE;TRAXOPRODIL,atrial fibrillation;cardiac arrest;cerebral atherosclerosis;cerebral infarction;congenital heart disease;coronary artery disorder;hemorrhoid;hypotensive disorder;intracranial subdural hematoma;ischemic stroke;migraine disorder;postural orthostatic tachycardia syndrome,Approved,AMANTADINE HYDROCHLORIDE,cerebral atherosclerosis
PDE3B,7,ANTAGONIST;INHIBITOR;POSITIVE MODULATOR,AMINOPHYLLINE;ANAGRELIDE HYDROCHLORIDE;DIPYRIDAMOLE;ENOXIMONE;K-134;LEVOSIMENDAN;PENTOXIFYLLINE,Behcet disease;Eisenmenger syndrome;ST Elevation Myocardial Infarction;acute coronary syndrome;acute myocardial infarction;aortic stenosis;arteriosclerosis;atrial fibrillation;cardiac arrest;cardiotoxicity;cardiovascular disorder;cervical artery dissection,Approved,ANAGRELIDE HYDROCHLORIDE;DIPYRIDAMOLE;ENOXIMONE;LEVOSIMENDAN;PENTOXIFYLLINE,cardiovascular disorder;congestive heart failure;coronary artery disorder;intermittent vascular claudication;stroke disorder;thrombotic disease
DRD3,7,AGONIST;ANTAGONIST;INVERSE AGONIST,BROMOCRIPTINE;BROMOCRIPTINE MESYLATE;ERGOLOID MESYLATES;HALOPERIDOL;LEVODOPA;LOXAPINE;OLANZAPINE,Subdural hemorrhage;cardiovascular disorder;coronary artery disorder;diabetic macular edema;diabetic retinopathy;dilated cardiomyopathy;intracerebral hemorrhage;intracranial subdural hematoma;ischemic stroke;migraine disorder;orthostatic hypotension;peripartum cardiomyopathy,Approved,ERGOLOID MESYLATES,cardiovascular disorder
KCNJ11,7,BLOCKER;OPENER,DIAZOXIDE;GLICLAZIDE;GLIMEPIRIDE;GLIPIZIDE;GLYBURIDE;MINOXIDIL;PINACIDIL,atherosclerosis;cardiovascular disorder;congestive heart failure;coronary artery disorder;endothelial dysfunction;heart disorder;heart failure;hypertensive disorder;ischemic stroke;myocardial infarction;myocardial ischemia;stroke disorder,Approved,DIAZOXIDE;MINOXIDIL;PINACIDIL,hypertensive disorder
ATP4A,7,INHIBITOR,ESOMEPRAZOLE;LANSOPRAZOLE;OMEPRAZOLE;PANTOPRAZOLE;RABEPRAZOLE;VONOPRAZAN;VONOPRAZAN FUMARATE,cardiovascular disorder;cerebral infarction;congestive heart failure;coronary artery disorder;myocardial infarction;preeclampsia;thrombotic disease;transient ischemic attack,Approved,ESOMEPRAZOLE;LANSOPRAZOLE;VONOPRAZAN FUMARATE,cardiovascular disorder;cerebral infarction;myocardial infarction;thrombotic disease;transient ischemic attack
ATP4B,7,INHIBITOR,ESOMEPRAZOLE;LANSOPRAZOLE;OMEPRAZOLE;PANTOPRAZOLE;RABEPRAZOLE;VONOPRAZAN;VONOPRAZAN FUMARATE,cardiovascular disorder;cerebral infarction;congestive heart failure;coronary artery disorder;myocardial infarction;preeclampsia;thrombotic disease;transient ischemic attack,Approved,ESOMEPRAZOLE;LANSOPRAZOLE;VONOPRAZAN FUMARATE,cardiovascular disorder;cerebral infarction;myocardial infarction;thrombotic disease;transient ischemic attack
IFNAR1,7,AGONIST;POSITIVE MODULATOR,INTERFERON ALFA-2A;INTERFERON ALFA-2B;INTERFERON BETA-1A;INTERFERON BETA-1B;PEGINTERFERON ALFA-2A;PEGINTERFERON ALFA-2B;ROPEGINTERFERON ALFA-2B,Behcet disease;Kaposi's sarcoma;hereditary hemorrhagic telangiectasia;ischemic stroke;portal hypertension;thrombotic disease,Approved,INTERFERON ALFA-2B,Kaposi's sarcoma
IFNAR2,7,AGONIST;POSITIVE MODULATOR,INTERFERON ALFA-2A;INTERFERON ALFA-2B;INTERFERON BETA-1A;INTERFERON BETA-1B;PEGINTERFERON ALFA-2A;PEGINTERFERON ALFA-2B;ROPEGINTERFERON ALFA-2B,Behcet disease;Kaposi's sarcoma;hereditary hemorrhagic telangiectasia;ischemic stroke;portal hypertension;thrombotic disease,Approved,INTERFERON ALFA-2B,Kaposi's sarcoma
ITGB3,6,ANTAGONIST;INHIBITOR,ABCIXIMAB;CILENGITIDE;EPTIFIBATIDE;TIROFIBAN;TIROFIBAN HYDROCHLORIDE;ZALUNFIBAN,Kaposi's sarcoma;Non-ST Elevation Myocardial Infarction;ST Elevation Myocardial Infarction;acute coronary syndrome;acute myocardial infarction;congestive heart failure;coronary artery disorder;intermediate coronary syndrome;intracranial hemorrhage;ischemic stroke;myocardial infarction;myocardial ischemia,Approved,ABCIXIMAB;EPTIFIBATIDE;TIROFIBAN;TIROFIBAN HYDROCHLORIDE,acute coronary syndrome;intermediate coronary syndrome;myocardial infarction
ATP1A1,6,ACTIVATOR;INHIBITOR,ACETYLDIGITOXIN;DESLANOSIDE;DIGITOXIN;DIGOXIN;ISTAROXIME;LANATOSIDE C,Supraventricular tachycardia;atrial fibrillation;atrial flutter;cardiovascular disorder;congestive heart failure;heart disorder;heart failure;preeclampsia,Approved,ACETYLDIGITOXIN;DESLANOSIDE;DIGITOXIN;DIGOXIN;LANATOSIDE C,atrial fibrillation;cardiovascular disorder;congestive heart failure;heart failure
ATP1A2,6,ACTIVATOR;INHIBITOR,ACETYLDIGITOXIN;DESLANOSIDE;DIGITOXIN;DIGOXIN;ISTAROXIME;LANATOSIDE C,Supraventricular tachycardia;atrial fibrillation;atrial flutter;cardiovascular disorder;congestive heart failure;heart disorder;heart failure;preeclampsia,Approved,ACETYLDIGITOXIN;DESLANOSIDE;DIGITOXIN;DIGOXIN;LANATOSIDE C,atrial fibrillation;cardiovascular disorder;congestive heart failure;heart failure
ATP1A3,6,ACTIVATOR;INHIBITOR,ACETYLDIGITOXIN;DESLANOSIDE;DIGITOXIN;DIGOXIN;ISTAROXIME;LANATOSIDE C,Supraventricular tachycardia;atrial fibrillation;atrial flutter;cardiovascular disorder;congestive heart failure;heart disorder;heart failure;preeclampsia,Approved,ACETYLDIGITOXIN;DESLANOSIDE;DIGITOXIN;DIGOXIN;LANATOSIDE C,atrial fibrillation;cardiovascular disorder;congestive heart failure;heart failure
ATP1A4,6,ACTIVATOR;INHIBITOR,ACETYLDIGITOXIN;DESLANOSIDE;DIGITOXIN;DIGOXIN;ISTAROXIME;LANATOSIDE C,Supraventricular tachycardia;atrial fibrillation;atrial flutter;cardiovascular disorder;congestive heart failure;heart disorder;heart failure;preeclampsia,Approved,ACETYLDIGITOXIN;DESLANOSIDE;DIGITOXIN;DIGOXIN;LANATOSIDE C,atrial fibrillation;cardiovascular disorder;congestive heart failure;heart failure
ATP1B1,6,ACTIVATOR;INHIBITOR,ACETYLDIGITOXIN;DESLANOSIDE;DIGITOXIN;DIGOXIN;ISTAROXIME;LANATOSIDE C,Supraventricular tachycardia;atrial fibrillation;atrial flutter;cardiovascular disorder;congestive heart failure;heart disorder;heart failure;preeclampsia,Approved,ACETYLDIGITOXIN;DESLANOSIDE;DIGITOXIN;DIGOXIN;LANATOSIDE C,atrial fibrillation;cardiovascular disorder;congestive heart failure;heart failure
ATP1B2,6,ACTIVATOR;INHIBITOR,ACETYLDIGITOXIN;DESLANOSIDE;DIGITOXIN;DIGOXIN;ISTAROXIME;LANATOSIDE C,Supraventricular tachycardia;atrial fibrillation;atrial flutter;cardiovascular disorder;congestive heart failure;heart disorder;heart failure;preeclampsia,Approved,ACETYLDIGITOXIN;DESLANOSIDE;DIGITOXIN;DIGOXIN;LANATOSIDE C,atrial fibrillation;cardiovascular disorder;congestive heart failure;heart failure
ATP1B3,6,ACTIVATOR;INHIBITOR,ACETYLDIGITOXIN;DESLANOSIDE;DIGITOXIN;DIGOXIN;ISTAROXIME;LANATOSIDE C,Supraventricular tachycardia;atrial fibrillation;atrial flutter;cardiovascular disorder;congestive heart failure;heart disorder;heart failure;preeclampsia,Approved,ACETYLDIGITOXIN;DESLANOSIDE;DIGITOXIN;DIGOXIN;LANATOSIDE C,atrial fibrillation;cardiovascular disorder;congestive heart failure;heart failure
FXYD2,6,ACTIVATOR;INHIBITOR,ACETYLDIGITOXIN;DESLANOSIDE;DIGITOXIN;DIGOXIN;ISTAROXIME;LANATOSIDE C,Supraventricular tachycardia;atrial fibrillation;atrial flutter;cardiovascular disorder;congestive heart failure;heart disorder;heart failure;preeclampsia,Approved,ACETYLDIGITOXIN;DESLANOSIDE;DIGITOXIN;DIGOXIN;LANATOSIDE C,atrial fibrillation;cardiovascular disorder;congestive heart failure;heart failure
TTR,6,RNAI INHIBITOR;STABILISER,ACORAMIDIS;ACORAMIDIS HYDROCHLORIDE;PATISIRAN;REVUSIRAN;TAFAMIDIS;TAFAMIDIS MEGLUMINE,AL amyloidosis;cardiomyopathy;cardiovascular disorder,Approved,ACORAMIDIS;ACORAMIDIS HYDROCHLORIDE;TAFAMIDIS;TAFAMIDIS MEGLUMINE,AL amyloidosis;cardiomyopathy;cardiovascular disorder
ADORA2B,6,ACTIVATOR;AGONIST;ANTAGONIST;INHIBITOR,ADENOSINE;AMINOPHYLLINE;CAFFEINE;CAFFEINE CITRATE;DEFIBROTIDE;PENTOXIFYLLINE,Behcet disease;Eisenmenger syndrome;His bundle tachycardia;Kawasaki disease;Paroxysmal supraventricular tachycardia;Supraventricular tachycardia;Tako-tsubo cardiomyopathy;Wolff-Parkinson-White syndrome;acute coronary syndrome;atrial fibrillation;brain ischemia;cardiovascular disorder,Approved,ADENOSINE;CAFFEINE;DEFIBROTIDE;PENTOXIFYLLINE,Paroxysmal supraventricular tachycardia;Wolff-Parkinson-White syndrome;cardiovascular disorder;hepatic veno-occlusive disease;intermittent vascular claudication;migraine disorder;orthostatic hypotension;paroxysmal tachycardia
HTR1F,6,AGONIST,ALMOTRIPTAN;ALMOTRIPTAN MALATE;ELETRIPTAN;ELETRIPTAN HYDROBROMIDE;LASMIDITAN;LASMIDITAN SUCCINATE,migraine disorder,Approved,ALMOTRIPTAN;ALMOTRIPTAN MALATE;ELETRIPTAN;ELETRIPTAN HYDROBROMIDE;LASMIDITAN;LASMIDITAN SUCCINATE,migraine disorder
DPP4,6,INHIBITOR,ALOGLIPTIN;DUTOGLIPTIN;EVOGLIPTIN;LINAGLIPTIN;SITAGLIPTIN;SITAGLIPTIN PHOSPHATE,ST Elevation Myocardial Infarction;acute myocardial infarction;aortic valve calcification;aortic valve disorder;cardiovascular disorder;diabetic foot;endothelial dysfunction;heart failure;myocardial infarction;myocardial ischemia;peripheral arterial disease;stroke disorder,Approved,SITAGLIPTIN PHOSPHATE,myocardial infarction;stroke disorder
GRIN2C,6,ANTAGONIST;INHIBITOR;NEGATIVE ALLOSTERIC MODULATOR,AMANTADINE HYDROCHLORIDE;AV-101;ESKETAMINE;KETAMINE;KETAMINE HYDROCHLORIDE;MEMANTINE,atrial fibrillation;cardiac arrest;cerebral atherosclerosis;cerebral infarction;congenital heart disease;coronary artery disorder;hemorrhoid;hypotensive disorder;intracranial subdural hematoma;ischemic stroke;migraine disorder;postural orthostatic tachycardia syndrome,Approved,AMANTADINE HYDROCHLORIDE,cerebral atherosclerosis
GRIN2D,6,ANTAGONIST;INHIBITOR;NEGATIVE ALLOSTERIC MODULATOR,AMANTADINE HYDROCHLORIDE;AV-101;ESKETAMINE;KETAMINE;KETAMINE HYDROCHLORIDE;MEMANTINE,atrial fibrillation;cardiac arrest;cerebral atherosclerosis;cerebral infarction;congenital heart disease;coronary artery disorder;hemorrhoid;hypotensive disorder;intracranial subdural hematoma;ischemic stroke;migraine disorder;postural orthostatic tachycardia syndrome,Approved,AMANTADINE HYDROCHLORIDE,cerebral atherosclerosis
GRIN3A,6,ANTAGONIST;INHIBITOR;NEGATIVE ALLOSTERIC MODULATOR,AMANTADINE HYDROCHLORIDE;AV-101;ESKETAMINE;KETAMINE;KETAMINE HYDROCHLORIDE;MEMANTINE,atrial fibrillation;cardiac arrest;cerebral atherosclerosis;cerebral infarction;congenital heart disease;coronary artery disorder;hemorrhoid;hypotensive disorder;intracranial subdural hematoma;ischemic stroke;migraine disorder;postural orthostatic tachycardia syndrome,Approved,AMANTADINE HYDROCHLORIDE,cerebral atherosclerosis
GRIN3B,6,ANTAGONIST;INHIBITOR;NEGATIVE ALLOSTERIC MODULATOR,AMANTADINE HYDROCHLORIDE;AV-101;ESKETAMINE;KETAMINE;KETAMINE HYDROCHLORIDE;MEMANTINE,atrial fibrillation;cardiac arrest;cerebral atherosclerosis;cerebral infarction;congenital heart disease;coronary artery disorder;hemorrhoid;hypotensive disorder;intracranial subdural hematoma;ischemic stroke;migraine disorder;postural orthostatic tachycardia syndrome,Approved,AMANTADINE HYDROCHLORIDE,cerebral atherosclerosis
