gene_target,n_drugs,action_types,drugs,immune_indications,furthest_stage,furthest_stage_drugs,furthest_stage_indications
ADRA2A,32,AGONIST;ANTAGONIST;PARTIAL AGONIST,BRIMONIDINE;BRIMONIDINE TARTRATE;CELIPROLOL;CLONIDINE;CLONIDINE HYDROCHLORIDE;DEXMEDETOMIDINE;DROXIDOPA;EPHEDRINE;EPHEDRINE HYDROCHLORIDE;EPHEDRINE SULFATE;EPINEPHRINE;ERGOLOID MESYLATES;ERGOTAMINE;ERGOTAMINE TARTRATE;FIPAMEZOLE,His bundle tachycardia;Supraventricular tachycardia;acute hypotension;acute myocardial infarction;angioedema;aortic stenosis;aortic valve stenosis;atherosclerosis;atrial fibrillation;atrial flutter;capillary malformation;cardiac arrest,Approved,BRIMONIDINE;BRIMONIDINE TARTRATE;CELIPROLOL;CLONIDINE;CLONIDINE HYDROCHLORIDE;DROXIDOPA;EPHEDRINE;EPHEDRINE HYDROCHLORIDE;EPHEDRINE SULFATE;EPINEPHRINE;ERGOLOID MESYLATES;ERGOTAMINE;ERGOTAMINE TARTRATE;GUANABENZ;GUANFACINE,acute hypotension;angioedema;cardiovascular disorder;hypertensive disorder;hypotensive disorder;migraine disorder;ocular hypertension;orthostatic hypotension;pulmonary hypertension;sudden cardiac arrest
ADRA2B,32,AGONIST;ANTAGONIST;PARTIAL AGONIST,BRIMONIDINE;BRIMONIDINE TARTRATE;CELIPROLOL;CLONIDINE;CLONIDINE HYDROCHLORIDE;DEXMEDETOMIDINE;DROXIDOPA;EPHEDRINE;EPHEDRINE HYDROCHLORIDE;EPHEDRINE SULFATE;EPINEPHRINE;ERGOLOID MESYLATES;ERGOTAMINE;ERGOTAMINE TARTRATE;FIPAMEZOLE,His bundle tachycardia;Supraventricular tachycardia;acute hypotension;acute myocardial infarction;angioedema;aortic stenosis;aortic valve stenosis;atherosclerosis;atrial fibrillation;atrial flutter;capillary malformation;cardiac arrest,Approved,BRIMONIDINE;BRIMONIDINE TARTRATE;CELIPROLOL;CLONIDINE;CLONIDINE HYDROCHLORIDE;DROXIDOPA;EPHEDRINE;EPHEDRINE HYDROCHLORIDE;EPHEDRINE SULFATE;EPINEPHRINE;ERGOLOID MESYLATES;ERGOTAMINE;ERGOTAMINE TARTRATE;GUANABENZ;GUANFACINE,acute hypotension;angioedema;cardiovascular disorder;hypertensive disorder;hypotensive disorder;migraine disorder;ocular hypertension;orthostatic hypotension;pulmonary hypertension;sudden cardiac arrest
ADRA2C,32,AGONIST;ANTAGONIST;PARTIAL AGONIST,BRIMONIDINE;BRIMONIDINE TARTRATE;CELIPROLOL;CLONIDINE;CLONIDINE HYDROCHLORIDE;DEXMEDETOMIDINE;DROXIDOPA;EPHEDRINE;EPHEDRINE HYDROCHLORIDE;EPHEDRINE SULFATE;EPINEPHRINE;ERGOLOID MESYLATES;ERGOTAMINE;ERGOTAMINE TARTRATE;FIPAMEZOLE,His bundle tachycardia;Supraventricular tachycardia;acute hypotension;acute myocardial infarction;angioedema;aortic stenosis;aortic valve stenosis;atherosclerosis;atrial fibrillation;atrial flutter;capillary malformation;cardiac arrest,Approved,BRIMONIDINE;BRIMONIDINE TARTRATE;CELIPROLOL;CLONIDINE;CLONIDINE HYDROCHLORIDE;DROXIDOPA;EPHEDRINE;EPHEDRINE HYDROCHLORIDE;EPHEDRINE SULFATE;EPINEPHRINE;ERGOLOID MESYLATES;ERGOTAMINE;ERGOTAMINE TARTRATE;GUANABENZ;GUANFACINE,acute hypotension;angioedema;cardiovascular disorder;hypertensive disorder;hypotensive disorder;migraine disorder;ocular hypertension;orthostatic hypotension;pulmonary hypertension;sudden cardiac arrest
SCN4A,30,ANTAGONIST;BLOCKER;INHIBITOR;POSITIVE MODULATOR,BUPIVACAINE;BUPIVACAINE HYDROCHLORIDE;DISOPYRAMIDE;DISOPYRAMIDE PHOSPHATE;DRONEDARONE;DRONEDARONE HYDROCHLORIDE;ENCAINIDE;LACOSAMIDE;LAMOTRIGINE;LEVOBUPIVACAINE;LIDOCAINE;LIDOCAINE HYDROCHLORIDE;MEPIVACAINE;MEXILETINE;MORICIZINE,Supraventricular tachycardia;acute coronary syndrome;acute myocardial infarction;aneurysm;atrial fibrillation;atrial flutter;brain ischemia;cardiac arrest;cardiac arrhythmia;cardiovascular disorder;cerebral small vessel disease;compartment syndrome,Approved,DISOPYRAMIDE;DISOPYRAMIDE PHOSPHATE;DRONEDARONE;DRONEDARONE HYDROCHLORIDE;ENCAINIDE;LIDOCAINE;MEXILETINE;MORICIZINE;PROCAINAMIDE;PROCAINAMIDE HYDROCHLORIDE;PROCAINE;PROPAFENONE;PROPAFENONE HYDROCHLORIDE;QUINIDINE;RANOLAZINE,atrial fibrillation;cardiac arrhythmia;cardiovascular disorder;hemorrhoid;migraine disorder;ventricular tachycardia
SCN9A,28,ANTAGONIST;BLOCKER;INHIBITOR;POSITIVE MODULATOR,DISOPYRAMIDE;DISOPYRAMIDE PHOSPHATE;DRONEDARONE;DRONEDARONE HYDROCHLORIDE;ENCAINIDE;LACOSAMIDE;LAMOTRIGINE;LIDOCAINE;LIDOCAINE HYDROCHLORIDE;MEPIVACAINE;MEXILETINE;MORICIZINE;PF-05089771;PHENYTOIN;PRILOCAINE,Supraventricular tachycardia;aneurysm;atrial fibrillation;atrial flutter;brain ischemia;cardiac arrest;cardiac arrhythmia;cerebral small vessel disease;compartment syndrome;congestive heart failure;coronary artery disorder;diabetic foot,Approved,DISOPYRAMIDE;DISOPYRAMIDE PHOSPHATE;DRONEDARONE;DRONEDARONE HYDROCHLORIDE;ENCAINIDE;LIDOCAINE;MEXILETINE;MORICIZINE;PROCAINAMIDE;PROCAINAMIDE HYDROCHLORIDE;PROCAINE;PROPAFENONE;PROPAFENONE HYDROCHLORIDE;QUINIDINE;TETRACAINE,atrial fibrillation;cardiac arrhythmia;hemorrhoid;migraine disorder;ventricular tachycardia
SCN10A,27,ANTAGONIST;BLOCKER;INHIBITOR;POSITIVE MODULATOR,DIBUCAINE;DISOPYRAMIDE;DISOPYRAMIDE PHOSPHATE;DRONEDARONE;DRONEDARONE HYDROCHLORIDE;ENCAINIDE;LACOSAMIDE;LAMOTRIGINE;LIDOCAINE;LIDOCAINE HYDROCHLORIDE;MEPIVACAINE;MEXILETINE;MORICIZINE;PHENYTOIN;PRILOCAINE,Supraventricular tachycardia;aneurysm;atrial fibrillation;atrial flutter;brain ischemia;cardiac arrest;cardiac arrhythmia;cerebral small vessel disease;compartment syndrome;congestive heart failure;coronary artery disorder;diabetic foot,Approved,DIBUCAINE;DISOPYRAMIDE;DISOPYRAMIDE PHOSPHATE;DRONEDARONE;DRONEDARONE HYDROCHLORIDE;ENCAINIDE;LIDOCAINE;MEXILETINE;MORICIZINE;PROCAINAMIDE;PROCAINAMIDE HYDROCHLORIDE;PROCAINE;PROPAFENONE;PROPAFENONE HYDROCHLORIDE;QUINIDINE,atrial fibrillation;cardiac arrhythmia;hemorrhoid;migraine disorder;ventricular tachycardia
SCN11A,26,ANTAGONIST;BLOCKER;INHIBITOR;POSITIVE MODULATOR,DISOPYRAMIDE;DISOPYRAMIDE PHOSPHATE;DRONEDARONE;DRONEDARONE HYDROCHLORIDE;ENCAINIDE;LACOSAMIDE;LAMOTRIGINE;LIDOCAINE;LIDOCAINE HYDROCHLORIDE;MEPIVACAINE;MEXILETINE;MORICIZINE;PHENYTOIN;PRILOCAINE;PROCAINAMIDE,Supraventricular tachycardia;aneurysm;atrial fibrillation;atrial flutter;brain ischemia;cardiac arrest;cardiac arrhythmia;cerebral small vessel disease;compartment syndrome;congestive heart failure;coronary artery disorder;diabetic foot,Approved,DISOPYRAMIDE;DISOPYRAMIDE PHOSPHATE;DRONEDARONE;DRONEDARONE HYDROCHLORIDE;ENCAINIDE;LIDOCAINE;MEXILETINE;MORICIZINE;PROCAINAMIDE;PROCAINAMIDE HYDROCHLORIDE;PROCAINE;PROPAFENONE;PROPAFENONE HYDROCHLORIDE;QUINIDINE;TETRACAINE,atrial fibrillation;cardiac arrhythmia;hemorrhoid;migraine disorder;ventricular tachycardia
SCN1A,26,ANTAGONIST;BLOCKER;INHIBITOR;POSITIVE MODULATOR,DISOPYRAMIDE;DISOPYRAMIDE PHOSPHATE;DRONEDARONE;DRONEDARONE HYDROCHLORIDE;ENCAINIDE;LACOSAMIDE;LAMOTRIGINE;LIDOCAINE;LIDOCAINE HYDROCHLORIDE;MEPIVACAINE;MEXILETINE;MORICIZINE;PHENYTOIN;PRILOCAINE;PROCAINAMIDE,Supraventricular tachycardia;aneurysm;atrial fibrillation;atrial flutter;brain ischemia;cardiac arrest;cardiac arrhythmia;cerebral small vessel disease;compartment syndrome;congestive heart failure;coronary artery disorder;diabetic foot,Approved,DISOPYRAMIDE;DISOPYRAMIDE PHOSPHATE;DRONEDARONE;DRONEDARONE HYDROCHLORIDE;ENCAINIDE;LIDOCAINE;MEXILETINE;MORICIZINE;PROCAINAMIDE;PROCAINAMIDE HYDROCHLORIDE;PROCAINE;PROPAFENONE;PROPAFENONE HYDROCHLORIDE;QUINIDINE;TETRACAINE,atrial fibrillation;cardiac arrhythmia;hemorrhoid;migraine disorder;ventricular tachycardia
SCN2A,26,ANTAGONIST;BLOCKER;INHIBITOR;POSITIVE MODULATOR,DISOPYRAMIDE;DISOPYRAMIDE PHOSPHATE;DRONEDARONE;DRONEDARONE HYDROCHLORIDE;ENCAINIDE;LACOSAMIDE;LAMOTRIGINE;LIDOCAINE;LIDOCAINE HYDROCHLORIDE;MEPIVACAINE;MEXILETINE;MORICIZINE;PHENYTOIN;PRILOCAINE;PROCAINAMIDE,Supraventricular tachycardia;aneurysm;atrial fibrillation;atrial flutter;brain ischemia;cardiac arrest;cardiac arrhythmia;cerebral small vessel disease;compartment syndrome;congestive heart failure;coronary artery disorder;diabetic foot,Approved,DISOPYRAMIDE;DISOPYRAMIDE PHOSPHATE;DRONEDARONE;DRONEDARONE HYDROCHLORIDE;ENCAINIDE;LIDOCAINE;MEXILETINE;MORICIZINE;PROCAINAMIDE;PROCAINAMIDE HYDROCHLORIDE;PROCAINE;PROPAFENONE;PROPAFENONE HYDROCHLORIDE;QUINIDINE;TETRACAINE,atrial fibrillation;cardiac arrhythmia;hemorrhoid;migraine disorder;ventricular tachycardia
SCN3A,26,ANTAGONIST;BLOCKER;INHIBITOR;POSITIVE MODULATOR,DISOPYRAMIDE;DISOPYRAMIDE PHOSPHATE;DRONEDARONE;DRONEDARONE HYDROCHLORIDE;ENCAINIDE;LACOSAMIDE;LAMOTRIGINE;LIDOCAINE;LIDOCAINE HYDROCHLORIDE;MEPIVACAINE;MEXILETINE;MORICIZINE;PHENYTOIN;PRILOCAINE;PROCAINAMIDE,Supraventricular tachycardia;aneurysm;atrial fibrillation;atrial flutter;brain ischemia;cardiac arrest;cardiac arrhythmia;cerebral small vessel disease;compartment syndrome;congestive heart failure;coronary artery disorder;diabetic foot,Approved,DISOPYRAMIDE;DISOPYRAMIDE PHOSPHATE;DRONEDARONE;DRONEDARONE HYDROCHLORIDE;ENCAINIDE;LIDOCAINE;MEXILETINE;MORICIZINE;PROCAINAMIDE;PROCAINAMIDE HYDROCHLORIDE;PROCAINE;PROPAFENONE;PROPAFENONE HYDROCHLORIDE;QUINIDINE;TETRACAINE,atrial fibrillation;cardiac arrhythmia;hemorrhoid;migraine disorder;ventricular tachycardia
