gene_target,n_drugs,action_types,action_types_3cat,drugs,immune_indications,furthest_stage,furthest_stage_drugs,furthest_stage_indications
IL13,7,INHIBITOR,Inhibiting,ANRUKINZUMAB;CENDAKIMAB;CNTO-5825;LEBRIKIZUMAB;QAX-576;ROMILKIMAB;TRALOKINUMAB,Crohn disease;allergic asthma;allergic rhinitis;atopic eczema;perennial allergic rhinitis;psoriasis;seasonal allergic rhinitis;systemic sclerosis;ulcerative colitis,Approved,LEBRIKIZUMAB;TRALOKINUMAB,atopic eczema
BCL2,7,ANTISENSE INHIBITOR;INHIBITOR,Inhibiting,APG-2575;NAVITOCLAX;OBATOCLAX;OBATOCLAX MESYLATE;OBLIMERSEN;OBLIMERSEN SODIUM;VENETOCLAX,B-cell acute lymphoblastic leukemia;B-cell chronic lymphocytic leukemia;B-cell non-Hodgkin lymphoma;MALT lymphoma;T-cell acute lymphoblastic leukemia;T-cell adult acute lymphocytic leukemia;T-cell leukemia;T-cell prolymphocytic leukemia;Waldenstrom macroglobulinemia;acute leukemia of ambiguous lineage;acute monocytic leukemia;acute myeloid leukemia,Approved,VENETOCLAX,B-cell chronic lymphocytic leukemia
POLA1,7,INHIBITOR,Inhibiting,ASPACYTARABINE;CLOFARABINE;CYTARABINE;FLUDARABINE PHOSPHATE;GEMCITABINE;GEMCITABINE HYDROCHLORIDE;TROXACITABINE,B-cell acute lymphoblastic leukemia;B-cell adult acute lymphocytic leukemia;B-cell childhood acute lymphoblastic leukemia;B-cell chronic lymphocytic leukemia;B-cell non-Hodgkin lymphoma;B-cell prolymphocytic leukemia;Burkitt lymphoma;Crohn disease;Fanconi anemia;Langerhans cell histiocytosis;POEMS syndrome;T-cell acute lymphoblastic leukemia,Approved,CYTARABINE;FLUDARABINE PHOSPHATE,B-cell chronic lymphocytic leukemia;acute myeloid leukemia
POLA2,7,INHIBITOR,Inhibiting,ASPACYTARABINE;CLOFARABINE;CYTARABINE;FLUDARABINE PHOSPHATE;GEMCITABINE;GEMCITABINE HYDROCHLORIDE;TROXACITABINE,B-cell acute lymphoblastic leukemia;B-cell adult acute lymphocytic leukemia;B-cell childhood acute lymphoblastic leukemia;B-cell chronic lymphocytic leukemia;B-cell non-Hodgkin lymphoma;B-cell prolymphocytic leukemia;Burkitt lymphoma;Crohn disease;Fanconi anemia;Langerhans cell histiocytosis;POEMS syndrome;T-cell acute lymphoblastic leukemia,Approved,CYTARABINE;FLUDARABINE PHOSPHATE,B-cell chronic lymphocytic leukemia;acute myeloid leukemia
POLD1,7,INHIBITOR,Inhibiting,ASPACYTARABINE;CLOFARABINE;CYTARABINE;FLUDARABINE PHOSPHATE;GEMCITABINE;GEMCITABINE HYDROCHLORIDE;TROXACITABINE,B-cell acute lymphoblastic leukemia;B-cell adult acute lymphocytic leukemia;B-cell childhood acute lymphoblastic leukemia;B-cell chronic lymphocytic leukemia;B-cell non-Hodgkin lymphoma;B-cell prolymphocytic leukemia;Burkitt lymphoma;Crohn disease;Fanconi anemia;Langerhans cell histiocytosis;POEMS syndrome;T-cell acute lymphoblastic leukemia,Approved,CYTARABINE;FLUDARABINE PHOSPHATE,B-cell chronic lymphocytic leukemia;acute myeloid leukemia
POLD2,7,INHIBITOR,Inhibiting,ASPACYTARABINE;CLOFARABINE;CYTARABINE;FLUDARABINE PHOSPHATE;GEMCITABINE;GEMCITABINE HYDROCHLORIDE;TROXACITABINE,B-cell acute lymphoblastic leukemia;B-cell adult acute lymphocytic leukemia;B-cell childhood acute lymphoblastic leukemia;B-cell chronic lymphocytic leukemia;B-cell non-Hodgkin lymphoma;B-cell prolymphocytic leukemia;Burkitt lymphoma;Crohn disease;Fanconi anemia;Langerhans cell histiocytosis;POEMS syndrome;T-cell acute lymphoblastic leukemia,Approved,CYTARABINE;FLUDARABINE PHOSPHATE,B-cell chronic lymphocytic leukemia;acute myeloid leukemia
POLD3,7,INHIBITOR,Inhibiting,ASPACYTARABINE;CLOFARABINE;CYTARABINE;FLUDARABINE PHOSPHATE;GEMCITABINE;GEMCITABINE HYDROCHLORIDE;TROXACITABINE,B-cell acute lymphoblastic leukemia;B-cell adult acute lymphocytic leukemia;B-cell childhood acute lymphoblastic leukemia;B-cell chronic lymphocytic leukemia;B-cell non-Hodgkin lymphoma;B-cell prolymphocytic leukemia;Burkitt lymphoma;Crohn disease;Fanconi anemia;Langerhans cell histiocytosis;POEMS syndrome;T-cell acute lymphoblastic leukemia,Approved,CYTARABINE;FLUDARABINE PHOSPHATE,B-cell chronic lymphocytic leukemia;acute myeloid leukemia
POLD4,7,INHIBITOR,Inhibiting,ASPACYTARABINE;CLOFARABINE;CYTARABINE;FLUDARABINE PHOSPHATE;GEMCITABINE;GEMCITABINE HYDROCHLORIDE;TROXACITABINE,B-cell acute lymphoblastic leukemia;B-cell adult acute lymphocytic leukemia;B-cell childhood acute lymphoblastic leukemia;B-cell chronic lymphocytic leukemia;B-cell non-Hodgkin lymphoma;B-cell prolymphocytic leukemia;Burkitt lymphoma;Crohn disease;Fanconi anemia;Langerhans cell histiocytosis;POEMS syndrome;T-cell acute lymphoblastic leukemia,Approved,CYTARABINE;FLUDARABINE PHOSPHATE,B-cell chronic lymphocytic leukemia;acute myeloid leukemia
POLE,7,INHIBITOR,Inhibiting,ASPACYTARABINE;CLOFARABINE;CYTARABINE;FLUDARABINE PHOSPHATE;GEMCITABINE;GEMCITABINE HYDROCHLORIDE;TROXACITABINE,B-cell acute lymphoblastic leukemia;B-cell adult acute lymphocytic leukemia;B-cell childhood acute lymphoblastic leukemia;B-cell chronic lymphocytic leukemia;B-cell non-Hodgkin lymphoma;B-cell prolymphocytic leukemia;Burkitt lymphoma;Crohn disease;Fanconi anemia;Langerhans cell histiocytosis;POEMS syndrome;T-cell acute lymphoblastic leukemia,Approved,CYTARABINE;FLUDARABINE PHOSPHATE,B-cell chronic lymphocytic leukemia;acute myeloid leukemia
POLE2,7,INHIBITOR,Inhibiting,ASPACYTARABINE;CLOFARABINE;CYTARABINE;FLUDARABINE PHOSPHATE;GEMCITABINE;GEMCITABINE HYDROCHLORIDE;TROXACITABINE,B-cell acute lymphoblastic leukemia;B-cell adult acute lymphocytic leukemia;B-cell childhood acute lymphoblastic leukemia;B-cell chronic lymphocytic leukemia;B-cell non-Hodgkin lymphoma;B-cell prolymphocytic leukemia;Burkitt lymphoma;Crohn disease;Fanconi anemia;Langerhans cell histiocytosis;POEMS syndrome;T-cell acute lymphoblastic leukemia,Approved,CYTARABINE;FLUDARABINE PHOSPHATE,B-cell chronic lymphocytic leukemia;acute myeloid leukemia
