drug,chembl_id,drug_type,gene_target,action_type,moa,immune_indication,disease_id,drug_stage_for_immune_indication,ot_approved_immune
.ALPHA.1-PROTEINASE INHIBITOR HUMAN,CHEMBL4297879,Protein,ELANE,INHIBITOR,Leukocyte elastase inhibitor,acute graft versus host disease,MONDO_0020546,Phase 2,0
.ALPHA.1-PROTEINASE INHIBITOR HUMAN,CHEMBL4297879,Protein,ELANE,INHIBITOR,Leukocyte elastase inhibitor,graft versus host disease,MONDO_0013730,Phase 3,0
.ALPHA.1-PROTEINASE INHIBITOR HUMAN,CHEMBL4297879,Protein,ELANE,INHIBITOR,Leukocyte elastase inhibitor,type 1 diabetes mellitus,MONDO_0005147,Phase 2,0
9-AMINOCAMPTOTHECIN,CHEMBL274070,Small molecule,TOP1,INHIBITOR,DNA topoisomerase I inhibitor,AIDS,MONDO_0012268,Phase 2,0
ABALOPARATIDE,CHEMBL3301581,Protein,PTH1R,AGONIST,Parathyroid hormone receptor agonist,chronic myelomonocytic leukemia,MONDO_0020311,Phase 1,0
ABATACEPT,CHEMBL1201823,Protein,CD80;CD86,INHIBITOR,T-lymphocyte activation antigen CD80 inhibitor;T-lymphocyte activation antigen CD86 inhibitor,Crohn disease,MONDO_0005011,Phase 3,0
ABATACEPT,CHEMBL1201823,Protein,CD80;CD86,INHIBITOR,T-lymphocyte activation antigen CD80 inhibitor;T-lymphocyte activation antigen CD86 inhibitor,Sjogren syndrome,MONDO_0010030,Phase 3,0
ABATACEPT,CHEMBL1201823,Protein,CD80;CD86,INHIBITOR,T-lymphocyte activation antigen CD80 inhibitor;T-lymphocyte activation antigen CD86 inhibitor,acute myeloid leukemia,MONDO_0018874,Phase 2,0
ABATACEPT,CHEMBL1201823,Protein,CD80;CD86,INHIBITOR,T-lymphocyte activation antigen CD80 inhibitor;T-lymphocyte activation antigen CD86 inhibitor,ankylosing spondylitis,MONDO_0005306,Phase 2,0
ABATACEPT,CHEMBL1201823,Protein,CD80;CD86,INHIBITOR,T-lymphocyte activation antigen CD80 inhibitor;T-lymphocyte activation antigen CD86 inhibitor,autoimmune hepatitis,MONDO_0016264,Phase 1,0
ABATACEPT,CHEMBL1201823,Protein,CD80;CD86,INHIBITOR,T-lymphocyte activation antigen CD80 inhibitor;T-lymphocyte activation antigen CD86 inhibitor,chronic graft versus host disease,MONDO_0020547,Phase 1,0
ABATACEPT,CHEMBL1201823,Protein,CD80;CD86,INHIBITOR,T-lymphocyte activation antigen CD80 inhibitor;T-lymphocyte activation antigen CD86 inhibitor,common variable immunodeficiency,MONDO_0015517,Phase 2,0
ABATACEPT,CHEMBL1201823,Protein,CD80;CD86,INHIBITOR,T-lymphocyte activation antigen CD80 inhibitor;T-lymphocyte activation antigen CD86 inhibitor,cutaneous lupus erythematosus,MONDO_0005282,Phase 2,0
ABATACEPT,CHEMBL1201823,Protein,CD80;CD86,INHIBITOR,T-lymphocyte activation antigen CD80 inhibitor;T-lymphocyte activation antigen CD86 inhibitor,graft versus host disease,MONDO_0013730,Phase 2,0
ABATACEPT,CHEMBL1201823,Protein,CD80;CD86,INHIBITOR,T-lymphocyte activation antigen CD80 inhibitor;T-lymphocyte activation antigen CD86 inhibitor,granulomatosis with polyangiitis,MONDO_0012105,Phase 3,0
ABATACEPT,CHEMBL1201823,Protein,CD80;CD86,INHIBITOR,T-lymphocyte activation antigen CD80 inhibitor;T-lymphocyte activation antigen CD86 inhibitor,immune system disorder,MONDO_0005046,Approved,1
ABATACEPT,CHEMBL1201823,Protein,CD80;CD86,INHIBITOR,T-lymphocyte activation antigen CD80 inhibitor;T-lymphocyte activation antigen CD86 inhibitor,immunoglobulin G4-related sclerosing disease,MONDO_0017287,Phase 2,0
ABATACEPT,CHEMBL1201823,Protein,CD80;CD86,INHIBITOR,T-lymphocyte activation antigen CD80 inhibitor;T-lymphocyte activation antigen CD86 inhibitor,multiple sclerosis,MONDO_0005301,Phase 2,0
ABATACEPT,CHEMBL1201823,Protein,CD80;CD86,INHIBITOR,T-lymphocyte activation antigen CD80 inhibitor;T-lymphocyte activation antigen CD86 inhibitor,myasthenia gravis,MONDO_0009688,Phase 1,0
ABATACEPT,CHEMBL1201823,Protein,CD80;CD86,INHIBITOR,T-lymphocyte activation antigen CD80 inhibitor;T-lymphocyte activation antigen CD86 inhibitor,peanut allergic reaction,EFO_0007425,Phase 2,0
ABATACEPT,CHEMBL1201823,Protein,CD80;CD86,INHIBITOR,T-lymphocyte activation antigen CD80 inhibitor;T-lymphocyte activation antigen CD86 inhibitor,plasma cell myeloma,MONDO_0009693,Phase 2,0
ABATACEPT,CHEMBL1201823,Protein,CD80;CD86,INHIBITOR,T-lymphocyte activation antigen CD80 inhibitor;T-lymphocyte activation antigen CD86 inhibitor,psoriasis vulgaris,EFO_1001494,Phase 2,0
ABATACEPT,CHEMBL1201823,Protein,CD80;CD86,INHIBITOR,T-lymphocyte activation antigen CD80 inhibitor;T-lymphocyte activation antigen CD86 inhibitor,psoriatic arthritis,MONDO_0011849,Approved,1
ABATACEPT,CHEMBL1201823,Protein,CD80;CD86,INHIBITOR,T-lymphocyte activation antigen CD80 inhibitor;T-lymphocyte activation antigen CD86 inhibitor,rheumatoid arthritis,MONDO_0008383,Approved,1
ABATACEPT,CHEMBL1201823,Protein,CD80;CD86,INHIBITOR,T-lymphocyte activation antigen CD80 inhibitor;T-lymphocyte activation antigen CD86 inhibitor,systemic lupus erythematosus,MONDO_0007915,Phase 2,0
ABATACEPT,CHEMBL1201823,Protein,CD80;CD86,INHIBITOR,T-lymphocyte activation antigen CD80 inhibitor;T-lymphocyte activation antigen CD86 inhibitor,systemic sclerosis,MONDO_0005100,Phase 2,0
ABATACEPT,CHEMBL1201823,Protein,CD80;CD86,INHIBITOR,T-lymphocyte activation antigen CD80 inhibitor;T-lymphocyte activation antigen CD86 inhibitor,type 1 diabetes mellitus,MONDO_0005147,Phase 2,0
ABATACEPT,CHEMBL1201823,Protein,CD80;CD86,INHIBITOR,T-lymphocyte activation antigen CD80 inhibitor;T-lymphocyte activation antigen CD86 inhibitor,ulcerative colitis,MONDO_0005101,Phase 3,0
ABATACEPT,CHEMBL1201823,Protein,CD80;CD86,INHIBITOR,T-lymphocyte activation antigen CD80 inhibitor;T-lymphocyte activation antigen CD86 inhibitor,vitiligo,MONDO_0008661,Phase 1,0
ABBV-3373,CHEMBL4297572,Unknown,NR3C1;TNF,BINDING AGENT;MODULATOR,Glucocorticoid receptor modulator;TNF-alpha binding agent,rheumatoid arthritis,MONDO_0008383,Phase 2,0
ABC-294640,CHEMBL2158685,Small molecule,SPHK2,INHIBITOR,Sphingosine kinase 2 inhibitor,diffuse large B-cell lymphoma,MONDO_0018905,Phase 2,0
ABC-294640,CHEMBL2158685,Small molecule,SPHK2,INHIBITOR,Sphingosine kinase 2 inhibitor,plasma cell myeloma,MONDO_0009693,Phase 2,0
ABEMACICLIB,CHEMBL3301610,Small molecule,CDK4;CDK6,INHIBITOR,Cyclin-dependent kinase 4 inhibitor;Cyclin-dependent kinase 6 inhibitor,mantle cell lymphoma,MONDO_0018876,Phase 2,0
ABEMACICLIB,CHEMBL3301610,Small molecule,CDK4;CDK6,INHIBITOR,Cyclin-dependent kinase 4 inhibitor;Cyclin-dependent kinase 6 inhibitor,myelofibrosis,MONDO_0044903,Phase 1,0
ABEMACICLIB,CHEMBL3301610,Small molecule,CDK4;CDK6,INHIBITOR,Cyclin-dependent kinase 4 inhibitor;Cyclin-dependent kinase 6 inhibitor,plasma cell myeloma,MONDO_0009693,Phase 2,0
ABEMACICLIB,CHEMBL3301610,Small molecule,CDK4;CDK6,INHIBITOR,Cyclin-dependent kinase 4 inhibitor;Cyclin-dependent kinase 6 inhibitor,primary central nervous system lymphoma,MONDO_0002571,Phase 2,0
ABEXINOSTAT,CHEMBL2103863,Small molecule,HDAC1;HDAC10;HDAC11;HDAC2;HDAC3;HDAC4;HDAC5;HDAC6;HDAC7;HDAC8;HDAC9,INHIBITOR,Histone deacetylase inhibitor,acute myeloid leukemia by FAB classification,MONDO_0015667,Phase 2,0
ABEXINOSTAT,CHEMBL2103863,Small molecule,HDAC1;HDAC10;HDAC11;HDAC2;HDAC3;HDAC4;HDAC5;HDAC6;HDAC7;HDAC8;HDAC9,INHIBITOR,Histone deacetylase inhibitor,diffuse large B-cell lymphoma,MONDO_0018905,Phase 2,0
ABEXINOSTAT,CHEMBL2103863,Small molecule,HDAC1;HDAC10;HDAC11;HDAC2;HDAC3;HDAC4;HDAC5;HDAC6;HDAC7;HDAC8;HDAC9,INHIBITOR,Histone deacetylase inhibitor,follicular lymphoma,MONDO_0018906,Phase 3,0
ABEXINOSTAT,CHEMBL2103863,Small molecule,HDAC1;HDAC10;HDAC11;HDAC2;HDAC3;HDAC4;HDAC5;HDAC6;HDAC7;HDAC8;HDAC9,INHIBITOR,Histone deacetylase inhibitor,mantle cell lymphoma,MONDO_0018876,Phase 1,0
ABITUZUMAB,CHEMBL2109621,Antibody,ITGAV;ITGB1;ITGB3;ITGB5;ITGB6;ITGB8,INHIBITOR,Integrin alpha-V/beta-1 inhibitor;Integrin alpha-V/beta-3 inhibitor;Integrin alpha-V/beta-5 inhibitor;Integrin alpha-V/beta-6 inhibitor;Integrin alpha-V/beta-8 inhibitor,systemic sclerosis,MONDO_0005100,Phase 2,0
ABIVERTINIB,CHEMBL4297865,Small molecule,BTK;EGFR,INHIBITOR,Epidermal growth factor receptor erbB1 inhibitor;Tyrosine-protein kinase BTK inhibitor,B-cell chronic lymphocytic leukemia,MONDO_0004948,Phase 1,0
ABIVERTINIB,CHEMBL4297865,Small molecule,BTK;EGFR,INHIBITOR,Epidermal growth factor receptor erbB1 inhibitor;Tyrosine-protein kinase BTK inhibitor,B-cell non-Hodgkin lymphoma,MONDO_0015759,Phase 1,0
ABIVERTINIB,CHEMBL4297865,Small molecule,BTK;EGFR,INHIBITOR,Epidermal growth factor receptor erbB1 inhibitor;Tyrosine-protein kinase BTK inhibitor,diffuse large B-cell lymphoma,MONDO_0018905,Phase 1,0
ABIVERTINIB,CHEMBL4297865,Small molecule,BTK;EGFR,INHIBITOR,Epidermal growth factor receptor erbB1 inhibitor;Tyrosine-protein kinase BTK inhibitor,mantle cell lymphoma,MONDO_0018876,Phase 1,0
ABOBOTULINUMTOXINA,CHEMBL2108570,Unknown,SNAP25,INHIBITOR,Synaptosomal nerve-associated protein 25 (SNAP-25) inhibitor,multiple sclerosis,MONDO_0005301,Phase 3,0
ABRILUMAB,CHEMBL3137351,Antibody,ITGA4;ITGB7,INHIBITOR,Integrin alpha-4/beta-7 inhibitor,Crohn disease,MONDO_0005011,Phase 2,0
ABRILUMAB,CHEMBL3137351,Antibody,ITGA4;ITGB7,INHIBITOR,Integrin alpha-4/beta-7 inhibitor,ulcerative colitis,MONDO_0005101,Phase 2,0
ABROCITINIB,CHEMBL3655081,Small molecule,JAK1,INHIBITOR,Tyrosine-protein kinase JAK1 inhibitor,atopic eczema,MONDO_0004980,Approved,1
ABROCITINIB,CHEMBL3655081,Small molecule,JAK1,INHIBITOR,Tyrosine-protein kinase JAK1 inhibitor,food allergy,MONDO_0700226,Phase 1,0
ABROCITINIB,CHEMBL3655081,Small molecule,JAK1,INHIBITOR,Tyrosine-protein kinase JAK1 inhibitor,hand eczema,EFO_0022959,Phase 2,0
ABROCITINIB,CHEMBL3655081,Small molecule,JAK1,INHIBITOR,Tyrosine-protein kinase JAK1 inhibitor,lupus erythematosus,MONDO_0004670,Phase 2,0
ABROCITINIB,CHEMBL3655081,Small molecule,JAK1,INHIBITOR,Tyrosine-protein kinase JAK1 inhibitor,psoriasis,MONDO_0005083,Phase 2,0
ABROCITINIB,CHEMBL3655081,Small molecule,JAK1,INHIBITOR,Tyrosine-protein kinase JAK1 inhibitor,systemic lupus erythematosus,MONDO_0007915,Phase 2,0
ABROCITINIB,CHEMBL3655081,Small molecule,JAK1,INHIBITOR,Tyrosine-protein kinase JAK1 inhibitor,type 1 diabetes mellitus,MONDO_0005147,Phase 2,0
ACADESINE,CHEMBL1551724,Small molecule,PRKAA1;PRKAA2;PRKAB1;PRKAB2;PRKAG1;PRKAG2;PRKAG3,ACTIVATOR,"AMP-activated protein kinase, AMPK activator",B-cell chronic lymphocytic leukemia,MONDO_0004948,Phase 2,0
ACADESINE,CHEMBL1551724,Small molecule,PRKAA1;PRKAA2;PRKAB1;PRKAB2;PRKAG1;PRKAG2;PRKAG3,ACTIVATOR,"AMP-activated protein kinase, AMPK activator",acute myeloid leukemia,MONDO_0018874,Phase 2,0
ACADESINE,CHEMBL1551724,Small molecule,PRKAA1;PRKAA2;PRKAB1;PRKAB2;PRKAG1;PRKAG2;PRKAG3,ACTIVATOR,"AMP-activated protein kinase, AMPK activator",chronic myelomonocytic leukemia,MONDO_0020311,Phase 2,0
ACALABRUTINIB,CHEMBL3707348,Small molecule,BTK,INHIBITOR,Tyrosine-protein kinase BTK inhibitor,B-cell chronic lymphocytic leukemia,MONDO_0004948,Approved,1
ACALABRUTINIB,CHEMBL3707348,Small molecule,BTK,INHIBITOR,Tyrosine-protein kinase BTK inhibitor,B-cell non-Hodgkin lymphoma,MONDO_0015759,Phase 2,0
ACALABRUTINIB,CHEMBL3707348,Small molecule,BTK,INHIBITOR,Tyrosine-protein kinase BTK inhibitor,Waldenstrom macroglobulinemia,MONDO_0100280,Phase 2,0
ACALABRUTINIB,CHEMBL3707348,Small molecule,BTK,INHIBITOR,Tyrosine-protein kinase BTK inhibitor,autoimmune hemolytic anemia,MONDO_0020108,Phase 2,0
ACALABRUTINIB,CHEMBL3707348,Small molecule,BTK,INHIBITOR,Tyrosine-protein kinase BTK inhibitor,diffuse large B-cell lymphoma,MONDO_0018905,Phase 3,0
ACALABRUTINIB,CHEMBL3707348,Small molecule,BTK,INHIBITOR,Tyrosine-protein kinase BTK inhibitor,follicular lymphoma,MONDO_0018906,Phase 2,0
ACALABRUTINIB,CHEMBL3707348,Small molecule,BTK,INHIBITOR,Tyrosine-protein kinase BTK inhibitor,graft versus host disease,MONDO_0013730,Phase 2,0
ACALABRUTINIB,CHEMBL3707348,Small molecule,BTK,INHIBITOR,Tyrosine-protein kinase BTK inhibitor,mantle cell lymphoma,MONDO_0018876,Approved,1
ACALABRUTINIB,CHEMBL3707348,Small molecule,BTK,INHIBITOR,Tyrosine-protein kinase BTK inhibitor,marginal zone lymphoma,MONDO_0017604,Phase 2,0
ACALABRUTINIB,CHEMBL3707348,Small molecule,BTK,INHIBITOR,Tyrosine-protein kinase BTK inhibitor,myelofibrosis,MONDO_0044903,Phase 2,0
ACALABRUTINIB,CHEMBL3707348,Small molecule,BTK,INHIBITOR,Tyrosine-protein kinase BTK inhibitor,neoplasm of mature B-cells,MONDO_0004949,Phase 2,0
ACALABRUTINIB,CHEMBL3707348,Small molecule,BTK,INHIBITOR,Tyrosine-protein kinase BTK inhibitor,nodal marginal zone B-cell lymphoma,MONDO_0019465,Phase 2,0
ACALABRUTINIB,CHEMBL3707348,Small molecule,BTK,INHIBITOR,Tyrosine-protein kinase BTK inhibitor,plasma cell myeloma,MONDO_0009693,Phase 1,0
ACALABRUTINIB,CHEMBL3707348,Small molecule,BTK,INHIBITOR,Tyrosine-protein kinase BTK inhibitor,primary central nervous system lymphoma,MONDO_0002571,Phase 2,0
ACALABRUTINIB,CHEMBL3707348,Small molecule,BTK,INHIBITOR,Tyrosine-protein kinase BTK inhibitor,rheumatoid arthritis,MONDO_0008383,Phase 2,0
ACALABRUTINIB,CHEMBL3707348,Small molecule,BTK,INHIBITOR,Tyrosine-protein kinase BTK inhibitor,splenic marginal zone lymphoma,MONDO_0019462,Phase 2,0
ACALABRUTINIB MALEATE,CHEMBL4594293,Small molecule,BTK,INHIBITOR,Tyrosine-protein kinase BTK inhibitor,B-cell chronic lymphocytic leukemia,MONDO_0004948,Approved,1
ACALABRUTINIB MALEATE,CHEMBL4594293,Small molecule,BTK,INHIBITOR,Tyrosine-protein kinase BTK inhibitor,mantle cell lymphoma,MONDO_0018876,Approved,1
ACALISIB,CHEMBL4303323,Small molecule,PIK3CD,INHIBITOR,PI3-kinase p110-delta subunit inhibitor,B-cell chronic lymphocytic leukemia,MONDO_0004948,Phase 1,0
ACEBILUSTAT,CHEMBL4297604,Small molecule,LTA4H,INHIBITOR,Leukotriene A4 hydrolase inhibitor,lymphedema,MONDO_0019297,Phase 2,0
ACECLOFENAC,CHEMBL93645,Small molecule,PTGS2,INHIBITOR,Cyclooxygenase-2 inhibitor,rheumatoid arthritis,MONDO_0008383,Approved,1
ACETAMINOPHEN,CHEMBL112,Small molecule,FAAH;PTGS1;PTGS2;TRPV1,INHIBITOR;OPENER,Anandamide amidohydrolase inhibitor;Cyclooxygenase inhibitor;Vanilloid receptor opener,AIDS,MONDO_0012268,Unknown,0
ACETAMINOPHEN,CHEMBL112,Small molecule,FAAH;PTGS1;PTGS2;TRPV1,INHIBITOR;OPENER,Anandamide amidohydrolase inhibitor;Cyclooxygenase inhibitor;Vanilloid receptor opener,Crohn disease,MONDO_0005011,Phase 2,0
ACETAMINOPHEN,CHEMBL112,Small molecule,FAAH;PTGS1;PTGS2;TRPV1,INHIBITOR;OPENER,Anandamide amidohydrolase inhibitor;Cyclooxygenase inhibitor;Vanilloid receptor opener,acute graft versus host disease,MONDO_0020546,Phase 2,0
ACETAMINOPHEN,CHEMBL112,Small molecule,FAAH;PTGS1;PTGS2;TRPV1,INHIBITOR;OPENER,Anandamide amidohydrolase inhibitor;Cyclooxygenase inhibitor;Vanilloid receptor opener,antiphospholipid syndrome,MONDO_8000010,Unknown,0
ACETAMINOPHEN,CHEMBL112,Small molecule,FAAH;PTGS1;PTGS2;TRPV1,INHIBITOR;OPENER,Anandamide amidohydrolase inhibitor;Cyclooxygenase inhibitor;Vanilloid receptor opener,autoimmune thrombocytopenic purpura,MONDO_0008558,Phase 1,0
ACETAMINOPHEN,CHEMBL112,Small molecule,FAAH;PTGS1;PTGS2;TRPV1,INHIBITOR;OPENER,Anandamide amidohydrolase inhibitor;Cyclooxygenase inhibitor;Vanilloid receptor opener,chronic graft versus host disease,MONDO_0020547,Phase 2,0
ACETAMINOPHEN,CHEMBL112,Small molecule,FAAH;PTGS1;PTGS2;TRPV1,INHIBITOR;OPENER,Anandamide amidohydrolase inhibitor;Cyclooxygenase inhibitor;Vanilloid receptor opener,"chronic myelogenous leukemia, BCR-ABL1 positive",MONDO_0011996,Phase 1,0
ACETAMINOPHEN,CHEMBL112,Small molecule,FAAH;PTGS1;PTGS2;TRPV1,INHIBITOR;OPENER,Anandamide amidohydrolase inhibitor;Cyclooxygenase inhibitor;Vanilloid receptor opener,graft versus host disease,MONDO_0013730,Phase 2,0
ACETAMINOPHEN,CHEMBL112,Small molecule,FAAH;PTGS1;PTGS2;TRPV1,INHIBITOR;OPENER,Anandamide amidohydrolase inhibitor;Cyclooxygenase inhibitor;Vanilloid receptor opener,multiple sclerosis,MONDO_0005301,Phase 3,0
ACETAMINOPHEN,CHEMBL112,Small molecule,FAAH;PTGS1;PTGS2;TRPV1,INHIBITOR;OPENER,Anandamide amidohydrolase inhibitor;Cyclooxygenase inhibitor;Vanilloid receptor opener,seasonal allergic rhinitis,MONDO_0005324,Approved,1
ACETAZOLAMIDE,CHEMBL20,Small molecule,CA1;CA12;CA2;CA4,INHIBITOR,Carbonic anhydrase I inhibitor;Carbonic anhydrase II inhibitor;Carbonic anhydrase IV inhibitor;Carbonic anhydrase XII inhibitor,multiple sclerosis,MONDO_0005301,Phase 2,0
ACETAZOLAMIDE,CHEMBL20,Small molecule,CA1;CA12;CA2;CA4,INHIBITOR,Carbonic anhydrase I inhibitor;Carbonic anhydrase II inhibitor;Carbonic anhydrase IV inhibitor;Carbonic anhydrase XII inhibitor,type 1 diabetes mellitus,MONDO_0005147,Phase 2,0
ACITRETIN,CHEMBL1131,Small molecule,RARA;RARB;RARG;RXRA;RXRB;RXRG,AGONIST,Retinoid receptor agonist,hand eczema,EFO_0022959,Phase 3,0
ACITRETIN,CHEMBL1131,Small molecule,RARA;RARB;RARG;RXRA;RXRB;RXRG,AGONIST,Retinoid receptor agonist,psoriasis,MONDO_0005083,Approved,1
ACITRETIN,CHEMBL1131,Small molecule,RARA;RARB;RARG;RXRA;RXRB;RXRG,AGONIST,Retinoid receptor agonist,psoriasis vulgaris,EFO_1001494,Approved,1
ACITRETIN,CHEMBL1131,Small molecule,RARA;RARB;RARG;RXRA;RXRB;RXRG,AGONIST,Retinoid receptor agonist,psoriatic arthritis,MONDO_0011849,Unknown,0
ACITRETIN,CHEMBL1131,Small molecule,RARA;RARB;RARG;RXRA;RXRB;RXRG,AGONIST,Retinoid receptor agonist,vitiligo,MONDO_0008661,Unknown,0
ACRIVASTINE,CHEMBL1224,Small molecule,HRH1,ANTAGONIST,Histamine H1 receptor antagonist,allergic disease,MONDO_0005271,Approved,1
ACRIVASTINE,CHEMBL1224,Small molecule,HRH1,ANTAGONIST,Histamine H1 receptor antagonist,allergic rhinitis,MONDO_0011786,Approved,1
ADALIMUMAB,CHEMBL1201580,Antibody,TNF,INHIBITOR,TNF-alpha inhibitor,Crohn disease,MONDO_0005011,Approved,1
ADALIMUMAB,CHEMBL1201580,Antibody,TNF,INHIBITOR,TNF-alpha inhibitor,Netherton syndrome,MONDO_0009735,Phase 2,0
ADALIMUMAB,CHEMBL1201580,Antibody,TNF,INHIBITOR,TNF-alpha inhibitor,ankylosing spondylitis,MONDO_0005306,Approved,1
ADALIMUMAB,CHEMBL1201580,Antibody,TNF,INHIBITOR,TNF-alpha inhibitor,atopic eczema,MONDO_0004980,Unknown,0
ADALIMUMAB,CHEMBL1201580,Antibody,TNF,INHIBITOR,TNF-alpha inhibitor,autoimmune disease,MONDO_0007179,Unknown,0
ADALIMUMAB,CHEMBL1201580,Antibody,TNF,INHIBITOR,TNF-alpha inhibitor,chronic recurrent multifocal osteomyelitis,MONDO_0009813,Unknown,0
ADALIMUMAB,CHEMBL1201580,Antibody,TNF,INHIBITOR,TNF-alpha inhibitor,colitis,MONDO_0005292,Phase 2,0
ADALIMUMAB,CHEMBL1201580,Antibody,TNF,INHIBITOR,TNF-alpha inhibitor,generalized pustular psoriasis,MONDO_0100491,Phase 3,0
ADALIMUMAB,CHEMBL1201580,Antibody,TNF,INHIBITOR,TNF-alpha inhibitor,immune system disorder,MONDO_0005046,Approved,1
ADALIMUMAB,CHEMBL1201580,Antibody,TNF,INHIBITOR,TNF-alpha inhibitor,inflammatory bowel disease,MONDO_0005265,Phase 3,0
ADALIMUMAB,CHEMBL1201580,Antibody,TNF,INHIBITOR,TNF-alpha inhibitor,juvenile ankylosing spondylitis,MONDO_0020655,Phase 3,0
ADALIMUMAB,CHEMBL1201580,Antibody,TNF,INHIBITOR,TNF-alpha inhibitor,psoriasis,MONDO_0005083,Approved,1
ADALIMUMAB,CHEMBL1201580,Antibody,TNF,INHIBITOR,TNF-alpha inhibitor,psoriasis vulgaris,EFO_1001494,Approved,1
ADALIMUMAB,CHEMBL1201580,Antibody,TNF,INHIBITOR,TNF-alpha inhibitor,psoriasis-related juvenile idiopathic arthritis,MONDO_0019436,Phase 3,0
ADALIMUMAB,CHEMBL1201580,Antibody,TNF,INHIBITOR,TNF-alpha inhibitor,psoriatic arthritis,MONDO_0011849,Approved,1
ADALIMUMAB,CHEMBL1201580,Antibody,TNF,INHIBITOR,TNF-alpha inhibitor,pustular psoriasis,MONDO_0022205,Approved,1
ADALIMUMAB,CHEMBL1201580,Antibody,TNF,INHIBITOR,TNF-alpha inhibitor,rheumatoid arthritis,MONDO_0008383,Approved,1
ADALIMUMAB,CHEMBL1201580,Antibody,TNF,INHIBITOR,TNF-alpha inhibitor,spondyloarthropathy,MONDO_0005095,Unknown,0
ADALIMUMAB,CHEMBL1201580,Antibody,TNF,INHIBITOR,TNF-alpha inhibitor,type 1 diabetes mellitus,MONDO_0005147,Phase 2,0
ADALIMUMAB,CHEMBL1201580,Antibody,TNF,INHIBITOR,TNF-alpha inhibitor,ulcerative colitis,MONDO_0005101,Approved,1
ADAVOSERTIB,CHEMBL1976040,Small molecule,WEE1,INHIBITOR,Serine/threonine-protein kinase WEE1 inhibitor,acute myeloid leukemia,MONDO_0018874,Phase 2,0
ADAVOSERTIB,CHEMBL1976040,Small molecule,WEE1,INHIBITOR,Serine/threonine-protein kinase WEE1 inhibitor,"chronic myelogenous leukemia, BCR-ABL1 positive",MONDO_0011996,Phase 1,0
ADAVOSERTIB,CHEMBL1976040,Small molecule,WEE1,INHIBITOR,Serine/threonine-protein kinase WEE1 inhibitor,plasma cell myeloma,MONDO_0009693,Phase 2,0
ADC3680,CHEMBL3545343,Unknown,PTGDR2,ANTAGONIST,G protein-coupled receptor 44 antagonist,allergic rhinitis,MONDO_0011786,Phase 2,0
ADEBRELIMAB,CHEMBL4297828,Antibody,CD274,INHIBITOR,Programmed cell death 1 ligand 1 inhibitor,Langerhans cell histiocytosis,MONDO_0018310,Phase 1,0
ADECATUMUMAB,CHEMBL2108018,Antibody,EPCAM,INHIBITOR,Epithelial cell adhesion molecule inhibitor,Crohn disease,MONDO_0005011,Phase 2,0
ADECATUMUMAB,CHEMBL2108018,Antibody,EPCAM,INHIBITOR,Epithelial cell adhesion molecule inhibitor,ulcerative colitis,MONDO_0005101,Phase 2,0
ADENOSINE,CHEMBL477,Small molecule,ADORA1;ADORA2A;ADORA2B;ADORA3,AGONIST,Adenosine receptor agonist,B-cell chronic lymphocytic leukemia,MONDO_0004948,Phase 1,0
ADENOSINE,CHEMBL477,Small molecule,ADORA1;ADORA2A;ADORA2B;ADORA3,AGONIST,Adenosine receptor agonist,combined immunodeficiency,MONDO_0015131,Phase 3,0
ADENOSINE,CHEMBL477,Small molecule,ADORA1;ADORA2A;ADORA2B;ADORA3,AGONIST,Adenosine receptor agonist,severe combined immunodeficiency,MONDO_0015974,Phase 2,0
ADENOSINE,CHEMBL477,Small molecule,ADORA1;ADORA2A;ADORA2B;ADORA3,AGONIST,Adenosine receptor agonist,type 1 diabetes mellitus,MONDO_0005147,Unknown,0
ADL-5859,CHEMBL494480,Small molecule,OPRD1,AGONIST,Delta opioid receptor agonist,rheumatoid arthritis,MONDO_0008383,Phase 2,0
ADOMEGLIVANT,CHEMBL3707351,Small molecule,GCGR,ANTAGONIST,Glucagon receptor antagonist,type 1 diabetes mellitus,MONDO_0005147,Phase 1,0
ADRIFORANT,CHEMBL1915540,Small molecule,HRH4,ANTAGONIST,Histamine H4 receptor antagonist,atopic eczema,MONDO_0004980,Phase 2,0
ADRIFORANT,CHEMBL1915540,Small molecule,HRH4,ANTAGONIST,Histamine H4 receptor antagonist,psoriasis,MONDO_0005083,Phase 2,0
ADRIFORANT,CHEMBL1915540,Small molecule,HRH4,ANTAGONIST,Histamine H4 receptor antagonist,psoriasis vulgaris,EFO_1001494,Phase 2,0
AEW-541,CHEMBL551064,Small molecule,IGF1R,INHIBITOR,Insulin-like growth factor I receptor inhibitor,plasma cell myeloma,MONDO_0009693,Phase 1,0
AFAMELANOTIDE,CHEMBL441738,Protein,MC1R,AGONIST,Melanocortin receptor 1 agonist,vitiligo,MONDO_0008661,Phase 3,0
AFATINIB,CHEMBL1173655,Small molecule,EGFR;ERBB2;ERBB4,INHIBITOR,Epidermal growth factor receptor erbB1 inhibitor;Receptor protein-tyrosine kinase erbB-2 inhibitor;Receptor protein-tyrosine kinase erbB-4 inhibitor,plasma cell myeloma,MONDO_0009693,Phase 2,0
AFELIMOMAB,CHEMBL2108887,Antibody,TNF,INHIBITOR,TNF-alpha inhibitor,immune system disorder,MONDO_0005046,Approved,1
