kind,key,value
observed,real_increment,0.019401282726271996
scrambled_draw,0,-0.0035104101852294844
scrambled_draw,1,-0.002624531342235814
scrambled_draw,2,-0.0033351999872365478
scrambled_draw,3,-0.0056940442572472215
scrambled_draw,4,-0.009358812361396972
scrambled_draw,5,-0.009787281226567069
scrambled_draw,6,-0.0032787855581614123
scrambled_draw,7,-0.008067087860367871
scrambled_draw,8,-0.0033477719810462102
scrambled_draw,9,-0.002610555369421963
scrambled_draw,10,-0.007387019575934484
scrambled_draw,11,-0.0036182932082515773
scrambled_draw,12,-0.0015306721549481982
scrambled_draw,13,-0.003040587756664892
scrambled_draw,14,-0.0061198647074777405
scrambled_draw,15,-0.008544823625137598
scrambled_draw,16,-0.0033674595957178255
scrambled_draw,17,-0.006353148582459811
scrambled_draw,18,-0.012434324095789684
scrambled_draw,19,-0.01343373378643562
scrambled_draw,20,-0.006538984348824983
scrambled_draw,21,-0.00826527226024667
scrambled_draw,22,-0.00553121460138164
scrambled_draw,23,-0.008439142296462875
scrambled_draw,24,-0.003541552992230268
scrambled_draw,25,-0.0038986422884857543
scrambled_draw,26,-0.00028081175513328116
scrambled_draw,27,-0.007284337656950491
scrambled_draw,28,-0.008554811021235186
scrambled_draw,29,-0.004539973515850604
scrambled_draw,30,-0.004298042406547675
scrambled_draw,31,0.0037504586863223556
scrambled_draw,32,-0.0006856682461430008
scrambled_draw,33,-0.0030988847939501297
scrambled_draw,34,-0.0021614097225546303
scrambled_draw,35,-0.009171732159096346
scrambled_draw,36,-0.0030208682333796146
scrambled_draw,37,-0.00790089184575371
scrambled_draw,38,-0.008768120104022082
scrambled_draw,39,-0.008845211314794432
scrambled_draw,40,-0.006863909762440423
scrambled_draw,41,-0.00584044097704175
scrambled_draw,42,-0.0037929290511973467
scrambled_draw,43,-0.007017677372006559
scrambled_draw,44,-0.008236618325116884
scrambled_draw,45,-0.011112924583991445
scrambled_draw,46,-0.0025716906778984637
scrambled_draw,47,-0.004008376011104176
scrambled_draw,48,-0.008750442732015484
scrambled_draw,49,-0.00013530847652323263
scrambled_draw,50,-0.0025819333429059287
scrambled_draw,51,-0.007714178592511045
scrambled_draw,52,-0.009235964198535429
scrambled_draw,53,-0.006070502082037054
scrambled_draw,54,-0.009947430558879321
scrambled_draw,55,-0.007172466057212112
scrambled_draw,56,-0.008514095630115315
scrambled_draw,57,-0.00937077809154585
scrambled_draw,58,-0.007210820210915969
scrambled_draw,59,-0.004332184623239033
scrambled_draw,60,-0.009590787983216064
scrambled_draw,61,0.0014930838079739272
scrambled_draw,62,-0.002467668597137762
scrambled_draw,63,-0.002545190574195555
scrambled_draw,64,-0.0037618500614240878
scrambled_draw,65,-0.010259688252843869
scrambled_draw,66,-0.0052032578694618525
scrambled_draw,67,-0.002240862170743041
scrambled_draw,68,-0.003727165398299248
scrambled_draw,69,-0.00486512228976208
scrambled_draw,70,-0.005963416774358232
scrambled_draw,71,-0.0104977265112717
scrambled_draw,72,-0.013518387338662063
scrambled_draw,73,-0.0050880677738955
scrambled_draw,74,-0.006587900253673529
scrambled_draw,75,-0.007321303785957056
scrambled_draw,76,0.0017667639879385578
scrambled_draw,77,-0.008214760924711583
scrambled_draw,78,-0.01085002951546763
scrambled_draw,79,-0.000905965315336843
scrambled_draw,80,-0.004874343879130216
scrambled_draw,81,-0.00876403580146461
scrambled_draw,82,-0.004491249062684522
scrambled_draw,83,-0.0060842227859410295
scrambled_draw,84,-0.00941462052681119
scrambled_draw,85,-0.002713173471178565
scrambled_draw,86,-0.007549625871504007
scrambled_draw,87,-0.010326855884746067
scrambled_draw,88,-0.00865567414923658
scrambled_draw,89,-0.01123254997686629
scrambled_draw,90,-0.006951722267426153
scrambled_draw,91,-0.010486558496466136
scrambled_draw,92,-0.009215510777134317
scrambled_draw,93,-0.006230747140190474
scrambled_draw,94,-0.003588554380254916
scrambled_draw,95,-0.008716747235916377
scrambled_draw,96,-0.009573589240415426
scrambled_draw,97,0.004168684886485119
scrambled_draw,98,-0.007572153352797595
summary,n_scramble,99
summary,scrambled_mean,-0.005975987317776428
summary,scrambled_sd,0.003516193420330557
summary,scrambled_max,0.004168684886485119
summary,n_ge_real,0
summary,emp_p,0.01
