gene,subset,neglog10_adjp,group
ADAM9,Th1,5.540375732814527e-05,other
ADAMTS1,Th1,0.3667168736350944,other
ADAMTS10,Th1,5.540375732814527e-05,other
ADAMTS14,Th1,5.540375732814527e-05,other
ADAMTS17,Th1,5.540375732814527e-05,other
ADAMTS4,Th1,5.540375732814527e-05,other
ADAMTS6,Th1,5.540375732814527e-05,other
ADAMTS7,Th1,5.540375732814527e-05,other
ADAMTSL5,Th1,5.540375732814527e-05,other
ADAP1,Th1,5.540375732814527e-05,other
ADAP2,Th1,5.540375732814527e-05,other
ADARB1,Th1,5.540375732814527e-05,other
ADARB2,Th1,5.540375732814527e-05,other
ADAT2,Th1,5.540375732814527e-05,other
ADCY1,Th1,5.540375732814527e-05,other
ADCY3,Th1,5.540375732814527e-05,other
ADCY4,Th1,5.540375732814527e-05,other
ADCY6,Th1,5.540375732814527e-05,other
ADCY7,Th1,5.540375732814527e-05,other
ADCY9,Th1,0.0277488538803565,other
ADD1,Th1,5.540375732814527e-05,other
ADD2,Th1,5.540375732814527e-05,other
ADD3,Th1,5.540375732814527e-05,other
ADGB,Th1,5.540375732814527e-05,other
ADGRA2,Th1,5.540375732814527e-05,other
ADGRA3,Th1,5.540375732814527e-05,other
ADGRB1,Th1,5.540375732814527e-05,other
ADGRB3,Th1,0.1739789447480892,other
ADGRD1,Th1,5.540375732814527e-05,other
ADGRE1,Th1,5.540375732814527e-05,other
ADGRE2,Th1,5.540375732814527e-05,other
ADGRE5,Th1,5.540375732814527e-05,other
ADGRG1,Th1,5.540375732814527e-05,other
ADGRG2,Th1,5.540375732814527e-05,other
ADGRG5,Th1,5.540375732814527e-05,other
ADGRG6,Th1,5.540375732814527e-05,other
ADGRL1,Th1,5.540375732814527e-05,other
ADGRV1,Th1,1.3031638025378232,other
ADHFE1,Th1,5.540375732814527e-05,other
ADI1,Th1,5.540375732814527e-05,other
ADIPOR2,Th1,5.540375732814527e-05,other
ADK,Th1,5.540375732814527e-05,other
ADM,Th1,5.540375732814527e-05,other
ADM2,Th1,5.540375732814527e-05,other
ADM5,Th1,5.540375732814527e-05,other
ADO,Th1,5.540375732814527e-05,other
ADORA2A,Th1,5.540375732814527e-05,in_trials
ADORA2B,Th1,0.1166705645360813,in_trials
ADPGK,Th1,5.540375732814527e-05,other
ADPRH,Th1,5.540375732814527e-05,other
