gene,condition,n_sig,group
ABCE1,Stim8hr,0,other
ABCF2,Rest,0,other
ABCF2,Stim48hr,0,other
ABCF2,Stim8hr,0,other
ABCF3,Rest,0,other
ABCF3,Stim48hr,0,other
ABCF3,Stim8hr,0,other
ABCG1,Rest,0,other
ABCG1,Stim48hr,0,other
ABCG1,Stim8hr,0,other
ABHD10,Rest,0,other
ABHD10,Stim48hr,0,other
ABHD10,Stim8hr,0,other
ABHD11,Rest,0,other
ABHD11,Stim48hr,0,other
ABHD11,Stim8hr,0,other
ABHD12,Rest,0,other
ABHD12,Stim48hr,0,other
ABHD12,Stim8hr,0,other
ABHD13,Rest,0,other
ABHD13,Stim48hr,0,other
ABHD13,Stim8hr,0,other
ABHD14A,Rest,0,other
