metric,kind,observed,null_mean,null_sd,null_p95,emp_p,n_perm
genetic,level,0.7682213979163676,0.5000261959507969,0.018945199636379074,0.5307570087270058,0.000999000999000999,1000
genetic+observational,level,0.7803823928269437,0.5000749066992134,0.019181763596441363,0.5318429122991751,0.000999000999000999,1000
genetic+perturbational,level,0.7818418768646596,0.49985769899009247,0.019658034969916163,0.5331044241292937,0.000999000999000999,1000
full,level,0.7876226806426395,0.49967236951770133,0.019730830426043025,0.5330943338279169,0.000999000999000999,1000
