gene,pu_score,rank_pctile,rank,drug_status,pu_role,furthest_imm_stage,crossdonor_confidence,crossdonor_correlation_mean,lof.oe_ci.upper,mis.z_score,IEI,gwas_score,gene_burden_score,expected_n_regulators_residuals,zscore_Th1,zscore_Th2,zscore_Th17,zscore_Treg,polar_coef_rank_Rest,polar_coef_rank_Stim8hr,polar_coef_rank_Stim48hr,polar_rank_range,reg_burden_sig_Rest,reg_burden_sig_Stim8hr,reg_burden_sig_Stim48hr,n_sig_regulated_cytokines_Rest,n_sig_regulated_cytokines_Stim8hr,n_sig_regulated_cytokines_Stim48hr,n_sig_regulated_cytokine_receptors_Rest,n_sig_regulated_cytokine_receptors_Stim8hr,n_sig_regulated_cytokine_receptors_Stim48hr,has_cytokine
GLRB,0.2838896039128303,0.4421085016921341,10881,non-target,unlabeled,Unknown,,,0.814,0.223,0,0.404535,0.0,,,,,,,,,,,,,,,,,,,0
CENPM,0.283889479709394,0.4420572249000102,10882,non-target,unlabeled,,,,1.11,-0.298,0,0.0,0.0,18.82053302732885,0.3409295212340086,0.0629385512931134,-0.7258059573536554,-3.2262964089955544,,,,,0.0,0.0,0.0,,,,,,,0
GUCA2A,0.2838414529658327,0.4420059481078863,10883,non-target,unlabeled,,,,2.28,-1.22,0,0.299108,0.0,,,,,,0.4503518373729476,0.7659195109526236,0.5670157068062828,0.3155676735796759,,,,0.0,0.0,0.0,0.0,0.0,0.0,1
ZC3H12D,0.2838403287197127,0.4419546713157625,10884,non-target,unlabeled,,,,0.754,0.426,0,0.0,0.0,13.364611712662798,0.6081908548286048,0.0518450723251123,5.668089254267803,4.907779295512476,0.1209278081834766,0.0853285787060621,0.3162303664921466,0.2309017877860845,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1
RAB3D,0.2838247501788362,0.4419033945236386,10885,non-target,unlabeled,,,,1.32,1.88,0,0.0,0.0,-8.16387165260657,,,5.837406672248571,,,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1
ALDH9A1,0.2837682342311988,0.4418521177315147,10886,non-target,unlabeled,,,,0.96,-0.158,0,0.0,0.0,-19.756638247863822,-1.3802364562368938,4.679617049488892,-6.207763285793989,-4.513877659770178,,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1
OSBPL11,0.283697642005828,0.4418008409393908,10887,non-target,unlabeled,,,,0.523,2.35,0,0.0,0.0,-34.935936348251765,,,,,,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1
PROM1,0.2836779357131683,0.4417495641472669,10888,non-target,unlabeled,,,,1.06,-1.01,0,0.406607,0.0,,0.0035871255150513,1.6215236553352048,0.200465921886827,0.2471537164445768,,,,,,,,,,,,,,0
GSTM3,0.2836559626859488,0.441698287355143,10889,non-target,unlabeled,,,,1.25,0.397,0,0.0,0.0,19.611487455675604,-0.815488127464306,2.6838529280664676,2.664101683715371,0.607123413492298,,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1
DGKE,0.2836476570367813,0.4416470105630192,10890,non-target,unlabeled,,,,0.951,0.832,0,0.044785,0.0,-13.69491450126709,-1.8023197073728532,0.3621992950522626,,-2.431269950881903,,,,,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1
