group,background,n,n_iei,OR,OR_lo,OR_hi,p,p_holm
approved immune targets,all_genes,340,56,9.00552683187734,6.648663606596104,12.197866867441496,1.0655118486614154e-30,4.2620473946456615e-30
approved immune targets,druggable,340,56,5.731455399061033,4.081633003130901,8.048146652633372,1.3789139250616037e-19,4.1367417751848114e-19
in-trial immune targets,all_genes,734,49,3.266968493024115,2.404531878206831,4.438736384053125,2.867835916326024e-11,5.735671832652047e-11
in-trial immune targets,druggable,734,49,2.079221411192214,1.4766282709080558,2.927725116695486,5.9650876857379166e-05,5.9650876857379166e-05
all other genes,all_genes,18435,395,1.0,,,,
druggable genome,druggable,3608,120,1.0,,,,
