coalition,auc_mean,auc_sd
chance,0.5,0.0
genetic,0.7682213979163676,0.0286431123251791
perturbational,0.5875580018826082,0.0404471902494431
observational,0.6272846726973946,0.0355703881608307
genetic+perturbational,0.7818418768646596,0.0268711298093215
genetic+observational,0.7803823928269437,0.0284180415309772
observational+perturbational,0.6420132101660844,0.0398301199901844
genetic+observational+perturbational,0.7876226806426395,0.0277534643911463
