model,label,auc,sd,sem
genetic only,"Genetics
Only",0.7682213979163676,0.0286431123251791,0.0057286224650358
+ observational,"Genetics
+ Observational",0.7803823928269437,0.0284180415309772,0.0056836083061954
+ perturbational,"Genetics
+ Perturbational",0.7818418768646596,0.0268711298093215,0.0053742259618643
full,"Full
Model",0.7876226806426395,0.0277534643911463,0.0055506928782292
