disease,label,efo,gwas_credible_sets_score,overall_assoc_score,tag,contributes_to_gwas_score,n_credible_sets,best_l2g,credible_sets
mixed connective tissue disease,Mixed Connective Tissue Disease,MONDO_0005854,0.432208,0.262752,immune,1,1,0.710949,9e12aa79e5e094e138fed2c9374f06f0
hyperthyroidism,Hyperthyroidism,MONDO_0004425,0.428739,0.263162,other,0,0,,
thyrotoxicosis,Thyrotoxicosis,MONDO_0010138,0.428739,0.260643,other,0,0,,
juvenile idiopathic arthritis,Juvenile Idiopathic Arthritis,MONDO_0011429,0.428739,0.276411,other,0,0,,
arthritic joint disease,Arthritic Joint Disease,MONDO_0005578,0.420741,0.263102,other,0,0,,
non-typhoidal Salmonella bacteremia,Non-typhoidal Salmonella Bacteremia,EFO_0009087,0.418185,0.254227,other,0,0,,
B-cell acute lymphoblastic leukemia,B-cell ALL,MONDO_0004947,0.405992,0.246815,immune,1,1,0.667825,54e98a8d8ab745973772a68fa832ba20
inflammatory bowel disease,Inflammatory Bowel Disease,MONDO_0005265,0.366407,0.236361,immune,1,1,0.602712,c706fd4234c297017bbf309d18fa25c8
dyshidrosis,Dyshidrosis,MONDO_0006540,0.356761,0.216886,other,0,0,,
hyperaldosteronism,Hyperaldosteronism,MONDO_0003009,0.323702,0.196788,other,0,0,,
cervical carcinoma,Cervical Carcinoma,MONDO_0005131,0.044777,0.027868,other,0,0,,
hair color,Hair Color,EFO_0003924,0.043268,0.026304,other,0,0,,
Pathologic fracture,Pathologic Fracture,HP_0002756,0.036706,0.022314,other,0,0,,
idiopathic generalized epilepsy,Idiopathic Generalized Epilepsy,MONDO_0005579,0.034971,0.02126,other,0,0,,
arterial embolism,Arterial Embolism,EFO_0010671,0.031987,0.019446,other,0,0,,
hypertensive disorder,Hypertensive Disorder,MONDO_0005044,0.031311,0.021386,other,0,0,,
bilirubin metabolism disease,Bilirubin Metabolism Disease,MONDO_0024431,0.030445,0.018509,other,0,0,,
