model,label,auc,sd,sem,kind
genetic only,"Genetics
Only",0.7682213979163676,0.028643112325179198,0.00572862246503584,baseline
+ observational,"Genetics
+ Observational",0.7803823928269437,0.028418041530977215,0.005683608306195443,single
+ perturbational,"Genetics
+ Perturbational",0.7818418768646596,0.026871129809321537,0.005374225961864308,single
full,"Full
Model",0.7876226806426395,0.02775346439114631,0.005550692878229261,full
