go_id,k_fg,n_fg,k_bg,n_bg,odds_ratio,p,fdr,n_family,direction,term
GO:0051607,5,28,96,8059,18.03215579710145,2.1520657962965826e-05,0.030344127727781816,1410,promoted,defense response to virus
GO:0045071,3,28,37,8059,26.017297297297297,0.0003371135808395438,0.23766507449187838,1410,promoted,negative regulation of viral genome replication
GO:0006954,4,28,144,8059,9.16087962962963,0.0015666438407837726,0.6571281779546481,1410,promoted,inflammatory response
GO:0009615,3,28,69,8059,13.895652173913044,0.0018896754872874816,0.6571281779546481,1410,promoted,response to virus
GO:0006955,4,28,234,8059,5.573361823361823,0.00859209270871486,1.0,1410,promoted,immune response
GO:0006915,3,28,166,8059,5.7057831325301205,0.02002306714181629,1.0,1410,promoted,apoptotic process
GO:0045893,3,13,448,8059,5.096651785714286,0.032579402458517,1.0,1409,demoted,positive regulation of DNA-templated transcription
