model,fpr,tpr
full,0.0,0.0
full,5.4244643341470026e-05,0.0
full,0.00027122321670735016,0.0
full,0.00027122321670735016,0.001375515818431912
full,0.0003797125033902902,0.001375515818431912
full,0.0003797125033902902,0.002751031636863824
full,0.0005424464334147003,0.002751031636863824
full,0.0005424464334147003,0.0041265474552957355
full,0.0007594250067805804,0.0041265474552957355
full,0.0007594250067805804,0.005502063273727648
full,0.0008679142934635204,0.005502063273727648
full,0.0008679142934635204,0.0068775790921595595
full,0.0013561160835367507,0.0068775790921595595
full,0.0013561160835367507,0.008253094910591471
full,0.001790073230268511,0.008253094910591471
full,0.001790073230268511,0.009628610729023384
full,0.001844317873609981,0.009628610729023384
full,0.001844317873609981,0.011004126547455296
full,0.0022240303770002714,0.011004126547455296
full,0.0022240303770002714,0.012379642365887207
full,0.0025494982370490916,0.012379642365887207
full,0.0025494982370490916,0.013755158184319119
full,0.0028207214537564417,0.013755158184319119
full,0.0028207214537564417,0.015130674002751032
full,0.003417412530512612,0.015130674002751032
full,0.003417412530512612,0.016506189821182942
full,0.003797125033902902,0.016506189821182942
full,0.003797125033902902,0.017881705639614855
full,0.004176837537293193,0.017881705639614855
full,0.004176837537293193,0.01925722145804677
full,0.004882017900732303,0.01925722145804677
full,0.004882017900732303,0.02063273727647868
full,0.005424464334147003,0.02063273727647868
full,0.005424464334147003,0.02200825309491059
full,0.005804176837537293,0.02200825309491059
full,0.005804176837537293,0.024759284731774415
full,0.006726335774342284,0.024759284731774415
full,0.006726335774342284,0.026134800550206328
full,0.007106048277732574,0.026134800550206328
full,0.007106048277732574,0.027510316368638238
full,0.007323026851098454,0.027510316368638238
full,0.007323026851098454,0.02888583218707015
full,0.0074857607811228645,0.02888583218707015
full,0.0074857607811228645,0.030261348005502064
full,0.008136696501220505,0.030261348005502064
full,0.008136696501220505,0.03163686382393398
full,0.008245185787903444,0.03163686382393398
full,0.008245185787903444,0.033012379642365884
full,0.008516409004610795,0.033012379642365884
full,0.008516409004610795,0.0343878954607978
full,0.008733387577976676,0.0343878954607978
