comparison,evidence,delta,sem,nb_p
"genetic+perturbational
vs genetic",perturbational,0.013620478948292,0.005576673078689868,0.022329476599611393
"genetic+obs
vs genetic",observational,0.0121609949105761,0.005143363816582116,0.02648988583915447
"full
vs genetic",full,0.0194012827262719,0.006840104492468661,0.009122476024836195
