gene,group,gwas_score
ALG1,other,0.147329
ALG10,other,0.495907
ALG10B,other,0.520354
ALG12,other,0.03314
ALG14,other,0.033594
ALG2,other,0.086959
ALG5,other,0.030733
ALK,in_trials,0.705568
ALKAL2,other,0.455888
ALKBH2,other,0.033442
ALLC,other,0.046836
ALMS1,other,0.120449
ALOX15,other,0.668057
ALOX5AP,other,0.651496
ALPG,other,0.131881
ALPI,other,0.047319
ALPK1,other,0.063847
ALPK2,other,0.470677
ALPK3,other,0.328693
ALPL,other,0.03149
ALX1,other,0.099649
AMBRA1,other,0.091474
AMD1,other,0.352808
AMELX,other,0.27751
AMN,other,0.071169
AMOTL2,other,0.117059
AMPD3,other,0.060569
AMPH,other,0.484188
AMT,other,0.336324
AMY1A,other,0.062132
AMY1B,other,0.133248
AMY1C,other,0.280527
AMY2A,other,0.050518
AMY2B,other,0.043646
AMZ1,other,0.623476
ANAPC1,other,0.392006
ANGEL1,other,0.036132
ANGEL2,other,0.131963
ANGPT1,in_trials,0.675237
ANGPT2,in_trials,0.549809
ANGPT4,other,0.471698
ANGPTL1,other,0.037745
ANGPTL3,other,0.067421
ANGPTL6,other,0.152172
ANK1,other,0.424207
ANK2,other,0.450277
ANK3,other,0.697555
ANKFN1,other,0.440264
ANKH,other,0.078717
ANKMY2,other,0.042212
ANKRA2,other,0.043225
ANKRD10,other,0.433332
ANKRD12,other,0.462125
ANKRD13C,other,0.065926
ANKRD16,other,0.361294
ANKRD17,other,0.402117
ANKRD22,other,0.44514
ANKRD23,other,0.053378
ANKRD28,other,0.579707
ANKRD30A,other,0.606039
ANKRD30BL,other,0.295368
ANKRD33B,other,0.065184
ANKRD34B,other,0.036838
ANKRD34C,other,0.053406
ANKRD36,other,0.072755
ANKRD36C,other,0.046795
ANKRD39,other,0.036362
ANKRD44,other,0.094302
ANKRD45,other,0.071663
ANKRD46,other,0.107074
ANKRD49,other,0.138654
ANKRD50,other,0.508209
ANKRD52,other,0.124155
ANKRD55,other,0.749894
ANKRD6,other,0.281103
ANKRD65,other,0.139351
ANKRD7,other,0.585414
ANKRD9,other,0.048979
ANKS1A,other,0.635144
ANKS1B,other,0.511544
ANKS6,other,0.044075
ANLN,other,0.602103
ANO10,other,0.07862
ANO2,other,0.545032
ANO3,other,0.612144
ANO5,other,0.419246
ANO7,other,0.04699
ANP32E,other,0.427826
ANTKMT,other,0.07085
ANXA1,other,0.529372
ANXA11,other,0.674133
ANXA13,other,0.418889
ANXA2,other,0.413699
ANXA3,other,0.562069
ANXA4,other,0.393114
ANXA5,other,0.037577
ANXA6,other,0.43631
ANXA9,other,0.152748
AOAH,other,0.030402
AOC2,other,0.044422
AOC3,other,0.068456
AOX1,other,0.058687
AP1AR,other,0.143783
AP1G1,other,0.282212
AP2A2,other,0.180427
AP3B1,other,0.062487
AP3D1,other,0.154875
AP4B1,other,0.095097
AP5B1,other,0.235158
AP5M1,other,0.062389
AP5Z1,other,0.068351
APAF1,other,0.090316
APBA1,other,0.399974
APBB1,other,0.107272
APBB1IP,other,0.130299
