panel,condition,group,n,n_reg,pct_reg,n_ref,n_reg_ref,pct_reg_ref,OR,OR_lo,OR_hi,p,p_holm,stars
3c cytokines,Rest,approved,191,13,6.806282722513089,10688,821,7.681511976047904,0.8777388495805335,0.4975814556268216,1.5483404362255127,0.7835327007773394,1.0,ns
3c cytokines,Rest,in-trial,367,30,8.174386920980927,10688,821,7.681511976047904,1.0698757034375825,0.7315300136954284,1.564712314432295,0.6906624865222379,1.0,ns
3c cytokines,Stim8hr,approved,197,18,9.137055837563452,10803,857,7.932981579190965,1.1670436692893882,0.7152153863562347,1.904308760703951,0.5064396019593642,0.9946029055603939,ns
3c cytokines,Stim8hr,in-trial,374,33,8.823529411764707,10803,857,7.932981579190965,1.1231226709827982,0.7803937414460781,1.6163693621352453,0.49730145278019694,0.9946029055603939,ns
3c cytokines,Stim48hr,approved,196,20,10.204081632653061,10672,682,6.39055472263868,1.664556118368435,1.0414325673825189,2.660515100043049,0.03899378931026958,0.07798757862053916,ns
3c cytokines,Stim48hr,in-trial,373,31,8.310991957104557,10672,682,6.39055472263868,1.3277511961722488,0.911883625991086,1.9332765592986652,0.13402153090686258,0.13402153090686258,ns
3d cytokine receptors,Rest,approved,191,11,5.7591623036649215,10688,654,6.119011976047904,0.9375976894325518,0.5074771621598503,1.7322738692078432,1.0,1.0,ns
3d cytokine receptors,Rest,in-trial,367,21,5.722070844686648,10688,654,6.119011976047904,0.9311926605504587,0.5952164003301342,1.4568143125459874,0.8251495276937182,1.0,ns
3d cytokine receptors,Stim8hr,approved,197,23,11.6751269035533,10803,744,6.886975840044432,1.787147756766778,1.1496181078340004,2.7782244231818503,0.015236122764159442,0.030472245528318884,*
3d cytokine receptors,Stim8hr,in-trial,374,22,5.882352941176471,10803,744,6.886975840044432,0.8450100806451613,0.5457848306829246,1.3082848702454444,0.5317778046834867,0.5317778046834867,ns
3d cytokine receptors,Stim48hr,approved,196,17,8.673469387755102,10672,681,6.381184407796102,1.3933420290568421,0.8421926987043223,2.3051755410881647,0.1859474845095507,0.3718949690191014,ns
3d cytokine receptors,Stim48hr,in-trial,373,25,6.702412868632708,10672,681,6.381184407796102,1.053956318463382,0.6972283569504284,1.5931995739350908,0.7472550450811419,0.7472550450811419,ns
