gene,group,mis_z_score
ACTR3,non-target,4.34
ACTR3B,non-target,5.58
ACTR3C,non-target,1.8
ACTR5,non-target,-0.24
ACTR6,non-target,2.52
ACTR8,non-target,1.58
ACTRT1,non-target,-1.06
ACTRT2,non-target,0.189
ACTRT3,non-target,0.191
ACVR1,approved,2.96
ACVR1B,non-target,5.13
ACVR1C,non-target,2.21
ACVR2A,non-target,5.13
ACVR2B,in-trial,3.28
ACVRL1,non-target,3.61
ACY1,non-target,1.04
ACY3,non-target,0.0777
ACYP1,non-target,0.956
ACYP2,non-target,-1.35
ADA,approved,0.539
ADA2,non-target,0.131
ADAD1,non-target,1.06
ADAD2,non-target,-4.55
MAPDA,non-target,0.832
ADAM10,non-target,4.29
ADAM11,non-target,3.56
ADAM12,non-target,2.02
ADAM15,non-target,2.0
ADAM17,in-trial,3.17
ADAM18,non-target,-0.806
ADAM19,non-target,1.74
ADAM2,non-target,-0.997
ADAM20,non-target,0.175
ADAM21,non-target,2.83
ADAM22,non-target,2.61
ADAM23,non-target,2.57
ADAM28,non-target,-1.15
ADAM29,non-target,0.442
ADAM30,non-target,-0.00854
ADAM32,non-target,0.876
ADAM33,non-target,-0.301
ADAM7,non-target,-1.16
ADAM8,non-target,0.338
ADAM9,non-target,2.26
ADAMDEC1,non-target,-0.539
ADAMTS1,non-target,0.23
ADAMTS10,non-target,4.68
ADAMTS12,non-target,0.79
ADAMTS13,approved,1.81
ADAMTS14,non-target,1.01
ADAMTS15,non-target,-0.0626
ADAMTS16,non-target,0.0694
ADAMTS17,non-target,-1.54
ADAMTS18,non-target,-5.51
ADAMTS19,non-target,0.759
ADAMTS2,non-target,2.18
ADAMTS20,non-target,-0.55
ADAMTS3,non-target,0.63
ADAMTS4,non-target,1.31
ADAMTS5,non-target,0.437
ADAMTS6,non-target,4.37
ADAMTS7,non-target,3.36
ADAMTS8,non-target,0.198
ADAMTS9,non-target,0.997
ADAMTSL1,non-target,-3.59
ADAMTSL2,non-target,2.0
ADAMTSL3,non-target,1.2
ADAMTSL4,non-target,0.509
ADAMTSL5,non-target,-1.54
ADAP1,non-target,-0.425
ADAP2,non-target,1.0
ADAR,non-target,3.25
ADARB1,non-target,3.92
