gene,group,mis_z_score
ESCO2,non-target,-0.095
ESD,non-target,-0.16
ESF1,non-target,0.91
ESM1,non-target,1.27
ESPL1,non-target,6.43
ESPN,non-target,2.17
ESPNL,non-target,-1.16
ESR1,in-trial,2.99
ESR2,in-trial,-0.34
ESRP1,non-target,2.38
ESRP2,non-target,1.41
ESRRA,non-target,3.31
ESRRB,non-target,2.07
ESRRG,non-target,3.29
ESS2,non-target,0.595
ESX1,non-target,1.58
ESYT1,non-target,1.32
ESYT2,non-target,0.96
ESYT3,non-target,0.159
ETAA1,non-target,-0.325
ETF1,non-target,7.11
ETFA,non-target,1.19
ETFB,non-target,1.3
ETFBKMT,non-target,0.321
ETFDH,non-target,0.937
ETFRF1,non-target,0.158
ETHE1,non-target,0.785
ETNK1,non-target,2.64
ETNK2,non-target,1.22
ETNPPL,non-target,1.38
ETS1,non-target,3.34
ETS2,non-target,3.08
ETV1,non-target,0.0142
ETV2,non-target,-0.817
ETV3,non-target,2.99
ETV3L,non-target,0.252
ETV4,non-target,0.804
ETV5,non-target,3.31
ETV6,non-target,2.39
ETV7,non-target,0.209
EVA1A,non-target,-0.00136
EVA1B,non-target,-0.621
EVA1C,non-target,1.37
EVC,non-target,-1.87
EVC2,non-target,-2.4
EVI2A,non-target,0.318
EVI2B,non-target,0.611
EVI5,non-target,0.942
EVI5L,non-target,3.72
EVL,non-target,1.54
EVPL,non-target,0.786
EVPLL,non-target,0.579
EVX1,non-target,-1.36
EVX2,non-target,-0.245
EWSR1,non-target,3.38
EXD1,non-target,-1.36
EXD2,non-target,1.4
EXD3,non-target,-0.376
EXO1,non-target,-0.597
EXO5,non-target,1.45
EXOC1,non-target,2.92
EXOC1L,non-target,-3.02
EXOC2,non-target,2.38
EXOC3,non-target,1.95
EXOC3L1,non-target,0.369
EXOC3L2,non-target,0.834
EXOC3L4,non-target,-0.692
EXOC4,non-target,1.01
EXOC5,non-target,3.87
EXOC6,non-target,1.41
EXOC6B,non-target,2.46
EXOC7,non-target,2.07
EXOC8,non-target,1.9
EXOG,non-target,-0.151
EXOSC1,non-target,0.601
EXOSC10,non-target,0.765
EXOSC2,non-target,0.438
EXOSC3,non-target,-0.707
EXOSC4,non-target,-0.0695
EXOSC5,non-target,0.271
EXOSC6,non-target,-2.56
EXOSC7,non-target,-0.0332
EXOSC8,non-target,0.321
EXOSC9,non-target,-0.528
EXPH5,non-target,0.147
EXT1,non-target,2.5
EXT2,non-target,1.93
EXTL1,non-target,1.62
EXTL2,non-target,0.949
EXTL3,non-target,2.78
EYA1,non-target,1.54
EYA2,non-target,1.28
EYA3,non-target,2.51
EYA4,non-target,1.29
EYS,non-target,-2.15
EZH1,non-target,6.35
EZH2,approved,6.49
EZHIP,non-target,-6.68
EZR,non-target,1.21
F10,in-trial,2.13
F11,non-target,0.451
F11R,non-target,0.832
F12,non-target,0.365
F13A1,in-trial,1.59
F13B,non-target,0.0609
F2,in-trial,3.01
F2R,non-target,1.72
F2RL1,non-target,0.893
F2RL2,non-target,0.831
F2RL3,non-target,-0.247
F3,non-target,0.205
F5,non-target,2.24
F7,non-target,0.528
F8,non-target,3.77
F9,approved,2.96
FA2H,non-target,0.0747
FAAH,approved,1.16
FAAH2,non-target,-6.23
FAAP100,non-target,0.391
FAAP20,non-target,-1.15
FAAP24,non-target,0.755
FABP1,non-target,0.538
FABP12,non-target,-0.593
FABP2,non-target,0.31
FABP3,non-target,0.986
FABP4,non-target,0.382
FABP5,non-target,1.37
FABP6,non-target,0.203
FABP7,non-target,0.291
FABP9,non-target,-0.435
FADD,non-target,0.949
FADS1,non-target,4.41
FADS2,non-target,4.47
FADS3,non-target,2.9
FADS6,non-target,0.193
FAF1,non-target,2.38
FAF2,non-target,3.4
FAH,non-target,0.929
FAHD1,non-target,-1.29
FAHD2A,non-target,2.12
FAHD2B,non-target,2.51
FAIM,non-target,0.68
FAIM2,non-target,1.69
EEIG1,non-target,2.15
EEIG2,non-target,1.79
VCF1,non-target,-0.417
VCF2,non-target,0.339
FAM107A,non-target,-0.583
FAM107B,non-target,-1.64
FAM110A,non-target,-0.139
FAM110B,non-target,1.23
FAM110C,non-target,-0.983
FAM110D,non-target,0.42
FAM111A,non-target,0.705
FAM111B,non-target,-0.0443
FAM114A1,non-target,0.513
FAM114A2,non-target,-0.351
FAM117A,non-target,1.61
FAM117B,non-target,1.88
SIRAL2,non-target,0.759
SIRAL1,non-target,1.79
FAM120A,non-target,6.07
FAM120AOS,non-target,0.566
FAM120B,non-target,1.2
FAM120C,non-target,5.45
FAM124A,non-target,1.58
FAM124B,non-target,0.242
HYCC1,non-target,0.924
HYCC2,non-target,2.57
FAM131A,non-target,2.1
FAM131B,non-target,1.94
FAM131C,non-target,2.87
FAM133A,non-target,0.181
FAM133B,non-target,1.86
FAM135A,non-target,1.38
FAM135B,non-target,1.72
TIMCC,non-target,-0.14
FAM13A,non-target,1.7
FAM13B,non-target,1.55
FAM13C,non-target,2.02
FAM149A,non-target,-0.89
FAM149B1,non-target,1.11
FAM151A,non-target,0.00683
FAM151B,non-target,0.837
FAM153A,non-target,5.38
FAM153B,non-target,6.16
FAM161A,non-target,-0.65
FAM161B,non-target,0.403
FAM162A,non-target,0.67
FAM162B,non-target,-0.918
FAM163A,non-target,0.479
FAM163B,non-target,-0.191
CIMIP2A,non-target,-3.74
CIMIP2B,non-target,-0.549
CIMIP2C,non-target,-0.169
FAM167A,non-target,-3.04
FAM167B,non-target,0.0396
FAM168A,non-target,2.16
FAM168B,non-target,0.79
FAM169A,non-target,1.69
FAM170A,non-target,-0.803
FAM170B,non-target,-1.07
FAM171A1,non-target,-0.0346
FAM171A2,non-target,2.86
FAM171B,non-target,1.83
ARB2A,non-target,0.186
FAM174A,non-target,0.232
FAM174B,non-target,-0.912
FAM174C,non-target,-1.51
FAM177A1,non-target,-0.123
FAM177B,non-target,0.179
FAM178B,non-target,1.14
FAM180A,non-target,0.597
FAM180B,non-target,0.518
FAM181A,non-target,0.625
FAM181B,non-target,-1.54
CFAP144,non-target,0.498
FAM184A,non-target,1.1
FAM184B,non-target,-0.599
FAM185A,non-target,3.49
FAM186A,non-target,4.58
FAM186B,non-target,1.49
FAM187A,non-target,1.45
FAM187B,non-target,0.578
ENTREP2,non-target,0.55
ENTREP1,non-target,1.31
ENTREP3,non-target,0.413
FAM193A,non-target,-0.0225
FAM193B,non-target,0.658
FAM199X,non-target,3.01
ZBED8L,non-target,1.05
ZBED11,non-target,0.203
FAM204A,non-target,0.671
SPATA31F1,non-target,6.3
SPATA31F3,non-target,-0.753
FAM209A,non-target,0.131
FAM209B,non-target,0.902
FAM20A,non-target,-0.468
FAM20B,non-target,1.33
FAM20C,non-target,-0.239
MIMS1,non-target,0.0993
MIMS2,non-target,0.57
ATOSA,non-target,0.751
ATOSB,non-target,1.27
FAM216A,non-target,0.308
FAM216B,non-target,-0.135
FAM217A,non-target,0.273
FAM217B,non-target,-0.121
FAM219A,non-target,2.2
FAM219B,non-target,-0.323
FAM220A,non-target,-1.68
FAM221A,non-target,0.0111
FAM221B,non-target,0.458
FAM222A,non-target,1.14
FAM222B,non-target,0.593
FAM227A,non-target,0.48
FAM227B,non-target,-0.721
FAM228A,non-target,0.0611
FAM228B,non-target,0.519
FAM229A,non-target,0.0477
FAM229B,non-target,0.139
FAM234A,non-target,-1.09
FAM234B,non-target,1.12
FAM236C,non-target,1.35
FAM236D,non-target,1.01
FAM237A,non-target,-0.83
FAM240A,non-target,0.516
FAM240C,non-target,-1.22
FAM241A,non-target,0.285
FAM241B,non-target,0.798
FAM24A,non-target,0.854
FAM24B,non-target,0.757
FAM25A,non-target,0.678
FAM25C,non-target,2.94
FAM25G,non-target,2.06
FAM32A,non-target,0.917
FAM3A,non-target,1.81
FAM3B,non-target,0.694
FAM3C,non-target,2.56
FAM3D,non-target,0.949
FAM43A,non-target,0.804
FAM43B,non-target,0.089
FAM47A,non-target,0.265
FAM47B,non-target,-0.561
FAM47C,non-target,0.473
FAM47E,non-target,1.19
FAM47E-STBD1,non-target,1.05
FAM50A,non-target,3.73
FAM50B,non-target,2.07
FAM53A,non-target,-1.32
FAM53B,non-target,1.79
FAM53C,non-target,1.38
GARIN4,non-target,0.0556
GARIN3,non-target,-0.206
GARIN6,non-target,-0.335
GARIN2,non-target,0.689
GARIN5A,non-target,-0.761
GARIN5B,non-target,-0.366
GARIN1B,non-target,0.709
GARIN1A,non-target,-1.1
RUMY1,non-target,4.41
RUMY2,non-target,3.3
RUMY3,non-target,3.25
RUMY4,non-target,3.99
FAM76A,non-target,1.96
FAM76B,non-target,1.09
FAM78A,non-target,1.59
FAM78B,non-target,1.42
FAM81A,non-target,1.53
FAM81B,non-target,0.579
SACK1A,non-target,-0.659
SACK1B,non-target,-0.489
SACK1C,non-target,0.234
SACK1D,non-target,0.28
SACK1E,non-target,-0.196
SACK1F,non-target,1.28
SACK1G,non-target,1.83
SACK1H,non-target,-2.67
FAM86B1,non-target,7.42
FAM86B2,non-target,6.38
FAM89A,non-target,-0.347
FAM89B,non-target,0.00282
FAM8A1,non-target,0.0117
FAM90A1,non-target,0.622
FAM90A10,non-target,3.81
FAM91A1,non-target,4.11
FAM95C,non-target,0.64
TSLIG3A,non-target,-0.208
TSLIG3B,non-target,0.165
TSLIG3C,non-target,-0.16
FAM9A,non-target,-0.451
FAM9B,non-target,-0.696
FAM9C,non-target,0.0776
FAN1,non-target,-0.28
FANCA,non-target,-8.15
FANCB,non-target,0.516
FANCC,non-target,-0.117
FANCD2,non-target,2.0
FANCD2OS,non-target,-0.0893
FANCE,non-target,0.892
FANCF,non-target,-1.37
FANCG,non-target,1.46
FANCI,non-target,-1.57
FANCL,non-target,-1.45
FANCM,non-target,0.0992
FANK1,non-target,0.691
FAP,non-target,-0.138
FAR1,non-target,4.56
FAR2,non-target,2.26
FARP1,non-target,0.403
FARP2,non-target,-0.45
FARS2,non-target,0.982
FARSA,non-target,1.27
FARSB,non-target,1.44
FAS,non-target,1.02
FASLG,non-target,0.902
FASN,non-target,3.37
FASTK,non-target,1.9
FASTKD1,non-target,0.657
FASTKD2,non-target,0.668
FASTKD3,non-target,0.273
FASTKD5,non-target,0.569
FAT1,non-target,0.575
FAT2,non-target,3.32
FAT3,non-target,1.74
FAT4,non-target,0.771
FATE1,non-target,-0.564
FAU,in-trial,1.58
FAXC,non-target,2.11
FAXDC2,non-target,0.396
FBF1,non-target,0.571
FBH1,non-target,3.92
FBL,non-target,1.79
FBLIM1,non-target,1.07
FBLL1,non-target,-3.08
FBLN1,non-target,2.86
FBLN2,non-target,0.815
FBLN5,non-target,2.17
FBLN7,non-target,0.78
FBN1,non-target,8.6
FBN2,non-target,3.33
FBN3,non-target,1.92
FBP1,non-target,2.08
FBP2,non-target,0.308
FBRS,non-target,-0.773
FBRSL1,non-target,-1.86
FBXL12,non-target,1.03
FBXL13,non-target,0.644
FBXL14,non-target,2.95
FBXL15,non-target,0.835
FBXL16,non-target,3.26
FBXL17,non-target,0.972
FBXL18,non-target,0.365
FBXL19,non-target,4.25
FBXL2,non-target,3.11
FBXL20,non-target,4.15
FBXL22,non-target,-2.04
FBXL3,non-target,3.47
FBXL4,non-target,0.919
FBXL5,non-target,1.77
FBXL6,non-target,-1.53
FBXL7,non-target,1.79
FBXL8,non-target,-0.451
FBXO10,non-target,2.92
FBXO11,non-target,4.97
FBXO15,non-target,0.688
FBXO16,non-target,-0.34
FBXO17,non-target,-0.808
FBXO2,non-target,-0.661
FBXO21,non-target,3.19
FBXO22,non-target,1.21
FBXO24,non-target,2.15
FBXO25,non-target,-1.62
FBXO27,non-target,0.13
FBXO28,non-target,2.3
FBXO3,non-target,2.98
FBXO30,non-target,2.18
FBXO31,non-target,1.86
FBXO32,non-target,2.54
FBXO33,non-target,0.269
FBXO34,non-target,0.506
FBXO36,non-target,-0.204
FBXO38,non-target,4.44
FBXO39,non-target,0.145
FBXO4,non-target,0.766
FBXO40,non-target,-0.36
FBXO41,non-target,1.56
FBXO42,non-target,2.89
FBXO43,non-target,1.22
FBXO44,non-target,0.759
FBXO45,non-target,3.26
FBXO46,non-target,1.7
FBXO47,non-target,1.03
FBXO48,non-target,0.0658
FBXO5,non-target,0.823
FBXO6,non-target,0.224
FBXO7,non-target,-0.343
FBXO8,non-target,2.32
FBXO9,non-target,1.68
FBXW10,non-target,6.32
FBXW11,non-target,5.95
FBXW12,non-target,0.657
FBXW2,non-target,3.26
FBXW4,non-target,1.27
FBXW5,non-target,-3.79
FBXW7,non-target,5.27
FBXW8,non-target,0.565
FBXW9,non-target,0.504
FCAMR,non-target,-0.102
FCAR,non-target,-1.03
FCER1A,non-target,-0.584
FCER1G,non-target,0.461
FCER2,in-trial,-0.115
FCF1,non-target,1.1
FCGBP,non-target,15.8
FCGR1A,non-target,4.17
FCGR1BP,non-target,1.58
FCGR2A,non-target,2.28
FCGR2B,in-trial,2.04
FCGR2C,non-target,2.96
FCGR3A,non-target,1.56
FCGR3B,non-target,2.26
FCGRT,approved,0.39
FCHO1,non-target,2.06
FCHO2,non-target,1.98
FCHSD1,non-target,1.08
FCHSD2,non-target,2.09
FCMR,non-target,0.312
FCN1,non-target,-0.218
FCN2,non-target,-0.117
FCN3,non-target,0.775
FCRL1,non-target,0.00228
FCRL2,non-target,-1.06
FCRL3,non-target,-0.948
FCRL4,non-target,-0.731
FCRL5,in-trial,0.262
FCRL6,non-target,-0.982
FCRLA,non-target,0.226
FCRLB,non-target,0.357
FCSK,non-target,0.945
FDCSP,non-target,0.107
FDFT1,non-target,-7.52
FDPS,approved,2.08
FDX1,non-target,0.919
FDX2,non-target,0.336
FDXACB1,non-target,0.77
FDXR,non-target,0.774
FECH,non-target,1.82
FEM1A,non-target,2.78
FEM1B,non-target,4.8
FEM1C,non-target,3.39
FEN1,non-target,2.89
FER,non-target,0.552
FER1L5,non-target,4.21
FER1L6,non-target,0.959
FERD3L,non-target,-1.24
FERMT1,non-target,1.76
FERMT2,non-target,2.46
FERMT3,non-target,2.19
FES,non-target,1.67
FETUB,non-target,-0.274
FEV,non-target,1.02
FEZ1,non-target,1.23
FEZ2,non-target,-4.11
FEZF1,non-target,1.31
FEZF2,non-target,1.87
FFAR1,non-target,-0.596
FFAR2,in-trial,0.162
FFAR3,non-target,6.27
FFAR4,non-target,0.0583
FGA,non-target,0.117
FGB,non-target,1.09
FGD1,non-target,4.36
FGD2,non-target,1.18
FGD3,non-target,1.49
FGD4,non-target,2.29
FGD5,non-target,0.365
FGD6,non-target,2.57
FGF1,in-trial,1.13
FGF10,non-target,1.5
FGF11,non-target,-0.218
FGF12,non-target,1.24
FGF13,non-target,2.45
FGF14,non-target,2.34
FGF16,non-target,0.382
FGF17,non-target,2.09
FGF18,non-target,2.79
FGF19,non-target,1.42
FGF2,non-target,1.03
FGF20,non-target,-2.94
FGF21,non-target,-0.792
FGF22,non-target,-1.13
FGF23,non-target,0.765
FGF3,non-target,-1.02
FGF4,non-target,0.28
FGF5,non-target,-0.447
FGF6,non-target,0.145
FGF7,non-target,2.39
FGF8,non-target,1.7
FGF9,non-target,2.18
FGFBP1,non-target,-1.17
FGFBP2,non-target,-0.278
FGFBP3,non-target,-0.676
FGFR1,approved,4.53
FGFR1OP2,non-target,1.37
FGFR2,approved,4.59
FGFR3,approved,1.69
FGFR4,approved,2.29
FGFRL1,non-target,-0.492
FGG,non-target,1.37
FGGY,non-target,0.234
FGL1,non-target,-4.92
FGL2,non-target,1.53
FGR,approved,2.92
FH,non-target,1.95
FHAD1,non-target,1.52
FHDC1,non-target,-0.0695
FHIP1A,non-target,1.43
FHIP1B,non-target,1.83
FHIP2A,non-target,1.99
FHIP2B,non-target,-0.0424
FHIT,non-target,-1.82
FHL1,non-target,1.59
FHL2,non-target,1.07
FHL3,non-target,0.898
FHL5,non-target,0.182
FHOD1,non-target,1.17
FHOD3,non-target,0.848
FIBCD1,non-target,0.476
FIBIN,non-target,-0.0204
FIBP,non-target,1.16
FICD,non-target,0.827
FIG4,non-target,1.83
FIGLA,non-target,0.0751
FIGN,non-target,1.2
FIGNL1,non-target,0.321
FIGNL2,non-target,-1.52
FILIP1,non-target,1.43
FILIP1L,non-target,0.202
FIP1L1,non-target,3.5
FIS1,non-target,-0.22
FITM1,non-target,-0.165
FITM2,non-target,1.29
FIZ1,non-target,1.85
FJX1,non-target,-0.6
FKBP10,non-target,0.751
FKBP11,non-target,0.1
FKBP14,non-target,-0.109
FKBP15,non-target,2.13
FKBP1A,approved,3.11
FKBP1B,non-target,1.58
FKBP1C,non-target,-0.69
FKBP2,non-target,0.287
FKBP3,non-target,-0.564
FKBP4,non-target,1.45
FKBP5,non-target,2.58
FKBP6,non-target,1.49
FKBP7,non-target,0.326
FKBP8,non-target,2.98
FKBP9,non-target,3.19
FKBPL,non-target,1.46
FKRP,non-target,-0.683
FKTN,non-target,0.392
FLACC1,non-target,0.715
FLAD1,non-target,1.21
FLCN,non-target,1.85
FLG,non-target,-15.3
FLG2,non-target,0.88
FLI1,non-target,3.07
FLII,non-target,0.081
FLNA,non-target,5.65
FLNB,non-target,4.2
FLNC,non-target,6.57
FLOT1,non-target,2.16
FLOT2,non-target,1.93
FLRT1,non-target,2.94
FLRT2,non-target,1.68
FLRT3,non-target,2.34
FLT1,approved,3.32
FLT3,approved,1.5
FLT3LG,non-target,0.687
FLT4,approved,3.5
FLVCR1,non-target,0.319
FLVCR2,non-target,-0.0116
FLYWCH1,non-target,-4.48
FLYWCH2,non-target,-0.272
FMC1,non-target,0.199
FMC1-LUC7L2,non-target,2.72
FMN1,non-target,-0.896
FMN2,non-target,1.73
FMNL1,non-target,3.23
FMNL2,non-target,3.99
FMNL3,non-target,3.17
FMO1,non-target,0.427
FMO2,non-target,0.235
FMO3,non-target,-0.47
FMO4,non-target,0.535
FMO5,non-target,-0.0164
FMOD,non-target,0.449
FMR1,non-target,3.37
FMR1NB,non-target,-0.00472
FN1,in-trial,3.32
FN3K,non-target,-0.674
FN3KRP,non-target,-0.583
FNBP1,non-target,2.05
FNBP1L,non-target,2.54
FNBP4,non-target,1.42
FNDC1,non-target,-0.898
FNDC10,non-target,0.521
FNDC11,non-target,0.555
FNDC3A,non-target,2.93
FNDC3B,non-target,3.2
FNDC4,non-target,1.33
FNDC5,non-target,1.44
FNDC7,non-target,0.918
FNDC8,non-target,0.58
FNDC9,non-target,0.205
FNIP1,non-target,2.59
FNIP2,non-target,2.06
FNTA,in-trial,0.846
FNTB,in-trial,1.99
FOCAD,non-target,-5.46
FOLH1,in-trial,4.59
FOLR1,non-target,1.13
FOLR2,non-target,1.27
FOLR3,non-target,0.345
FOS,non-target,1.52
FOSB,non-target,1.68
FOSL1,non-target,0.94
FOSL2,non-target,2.27
FOXA1,non-target,0.609
FOXA2,non-target,-0.732
FOXA3,non-target,0.926
FOXB1,non-target,0.883
FOXB2,non-target,-0.739
FOXC1,non-target,-1.22
FOXC2,non-target,-1.64
FOXD1,non-target,1.03
FOXD2,non-target,0.89
FOXD3,non-target,0.719
FOXD4,non-target,-0.332
FOXD4L1,non-target,3.72
FOXD4L3,non-target,9.16
FOXD4L4,non-target,8.4
FOXD4L5,non-target,9.86
FOXD4L6,non-target,7.69
FOXE1,non-target,0.165
FOXE3,non-target,-0.232
FOXF1,non-target,0.925
FOXF2,non-target,-0.13
FOXG1,non-target,4.04
FOXH1,non-target,-2.9
FOXI1,non-target,0.494
FOXI2,non-target,-1.61
FOXI3,non-target,1.08
FOXJ1,non-target,0.987
FOXJ2,non-target,0.894
FOXJ3,non-target,2.3
FOXK1,non-target,2.16
FOXK2,non-target,-0.586
FOXL1,non-target,-1.33
FOXL2,non-target,1.04
FOXL2NB,non-target,0.166
FOXL3,non-target,-1.44
FOXM1,non-target,1.1
FOXN1,non-target,0.629
FOXN2,non-target,-1.47
FOXN3,non-target,2.71
FOXN4,non-target,2.18
FOXO1,non-target,2.17
FOXO3,non-target,5.28
FOXO3B,non-target,2.91
FOXO4,non-target,2.52
FOXO6,non-target,1.85
FOXP1,non-target,3.15
FOXP2,non-target,3.15
FOXP3,non-target,2.51
FOXP4,non-target,1.65
FOXQ1,non-target,-2.42
FOXR1,non-target,0.0708
FOXR2,non-target,-0.195
FOXRED1,non-target,0.617
FOXRED2,non-target,1.25
FOXS1,non-target,0.992
FPGS,non-target,1.59
FPGT,non-target,-1.07
FPGT-TNNI3K,non-target,-1.59
FPR1,non-target,0.922
FPR2,non-target,1.3
FPR3,non-target,1.97
FRA10AC1,non-target,0.132
FRAS1,non-target,0.853
FRAT1,non-target,1.04
FRAT2,non-target,0.342
FREM1,non-target,-6.42
FREM2,non-target,-0.246
FREM3,non-target,0.605
FRG1,non-target,1.44
FRG2,non-target,4.38
FRG2B,non-target,5.22
FRG2C,non-target,2.8
FRK,approved,0.546
FRMD1,non-target,0.219
FRMD3,non-target,1.27
FRMD4A,non-target,1.19
FRMD4B,non-target,-1.36
FRMD5,non-target,1.82
FRMD6,non-target,1.02
FRMD7,non-target,0.398
FRMD8,non-target,1.15
FRMPD1,non-target,1.72
FRMPD2,non-target,2.32
FRMPD3,non-target,1.73
FRMPD4,non-target,2.67
FRRS1,non-target,0.855
FRRS1L,non-target,0.151
FRS2,non-target,1.59
FRS3,non-target,0.874
FRY,non-target,6.73
FRYL,non-target,4.14
FRZB,non-target,0.0365
FSBP,non-target,0.976
FSCB,non-target,-0.561
FSCN1,non-target,3.15
FSCN2,non-target,-1.79
FSCN3,non-target,0.881
FSD1,non-target,1.78
FSD1L,non-target,0.979
FSD2,non-target,-0.131
FSHB,non-target,0.141
FSHR,non-target,-1.91
FSIP1,non-target,-0.157
FSIP2,non-target,1.48
FST,non-target,2.69
FSTL1,non-target,0.913
FSTL3,non-target,-0.417
FSTL4,non-target,2.11
FSTL5,non-target,-0.747
FTCD,non-target,-1.46
FTCDNL1,non-target,-2.61
FTH1,non-target,2.24
FTHL17,non-target,0.366
FTL,non-target,1.14
FTMT,non-target,-1.66
FTO,in-trial,0.962
FTSJ1,non-target,2.99
FTSJ3,non-target,-0.147
FUBP1,non-target,3.38
FUBP3,non-target,2.67
FUCA1,non-target,0.431
FUCA2,non-target,1.12
FUNDC1,non-target,-0.0462
FUNDC2,non-target,1.8
FUOM,non-target,-0.272
FURIN,non-target,2.85
FUS,non-target,3.14
FUT1,non-target,0.32
POFUT3,non-target,0.668
POFUT4,non-target,-1.32
FUT2,non-target,0.925
FUT3,non-target,1.41
FUT4,non-target,-1.72
FUT5,non-target,1.51
FUT6,non-target,0.779
FUT7,non-target,0.555
FUT8,non-target,2.55
FUT9,non-target,2.2
FUZ,non-target,0.0868
FXN,non-target,0.0375
FXR1,non-target,4.51
FXR2,non-target,3.32
FXYD1,non-target,0.294
FXYD2,in-trial,-0.00891
FXYD3,non-target,0.341
FXYD4,non-target,0.293
FXYD5,non-target,-0.0367
FXYD6,non-target,0.207
FXYD6-FXYD2,non-target,-0.112
FXYD7,non-target,0.962
FYB1,non-target,-0.998
FYB2,non-target,-0.801
FYCO1,non-target,1.09
FYN,approved,5.82
FYTTD1,non-target,0.886
FZD1,non-target,0.784
FZD10,non-target,0.621
FZD2,non-target,4.22
FZD3,non-target,3.44
FZD4,non-target,1.24
FZD5,non-target,3.12
FZD6,non-target,1.82
FZD7,non-target,1.65
FZD8,non-target,2.7
FZD9,non-target,0.522
FZR1,non-target,4.03
G0S2,non-target,0.00286
G2E3,non-target,4.01
G3BP1,non-target,1.02
G3BP2,non-target,4.67
G6PC1,non-target,0.879
G6PC2,non-target,-0.3
G6PC3,non-target,1.34
G6PD,non-target,3.17
GAA,in-trial,-0.528
GAB1,non-target,1.84
GAB2,non-target,-0.119
GAB3,non-target,1.61
GAB4,non-target,-0.383
GABARAP,non-target,2.21
GABARAPL1,non-target,2.07
GABARAPL2,non-target,0.303
GABBR1,approved,6.45
GABBR2,approved,6.18
GABPA,non-target,5.36
GABPB1,non-target,4.1
GABPB2,non-target,1.36
GABRA1,in-trial,4.87
GABRA2,in-trial,4.8
GABRA3,in-trial,3.42
GABRA4,in-trial,2.93
GABRA5,in-trial,4.08
GABRA6,in-trial,-0.613
GABRB1,in-trial,3.32
GABRB2,in-trial,4.86
GABRB3,in-trial,5.22
GABRD,in-trial,2.46
GABRE,in-trial,-0.196
GABRG1,in-trial,0.0061
GABRG2,in-trial,4.52
GABRG3,in-trial,3.26
GABRP,in-trial,0.326
GABRQ,in-trial,0.0256
GABRR1,non-target,0.294
GABRR2,non-target,0.133
GABRR3,non-target,-0.0661
GAD1,non-target,4.16
GAD2,non-target,1.8
GADD45A,non-target,2.06
GADD45B,non-target,1.58
GADD45G,non-target,2.02
GADD45GIP1,non-target,0.481
GADL1,non-target,-1.79
GAGE1,non-target,2.04
GAGE10,non-target,0.438
GAGE12H,non-target,1.64
GAGE12J,non-target,1.99
GAGE2E,non-target,2.89
GAK,non-target,0.876
GAL,non-target,-0.184
GAL3ST1,non-target,2.4
GAL3ST2,non-target,-1.2
GAL3ST3,non-target,-1.26
GAL3ST4,non-target,-0.0641
GALC,non-target,-0.38
GALE,non-target,0.651
GALK1,non-target,0.522
GALK2,non-target,-0.358
GALM,non-target,-0.769
GALNS,non-target,-1.21
GALNT1,non-target,3.5
GALNT10,non-target,1.36
GALNT11,non-target,1.55
GALNT12,non-target,0.711
GALNT13,non-target,1.53
GALNT14,non-target,0.331
GALNT15,non-target,-0.342
GALNT16,non-target,1.75
GALNT17,non-target,2.97
GALNT18,non-target,1.42
GALNT2,non-target,2.11
GALNT3,non-target,0.759
GALNT4,non-target,-0.769
GALNT5,non-target,-0.0192
GALNT6,non-target,1.43
GALNT7,non-target,2.17
GALNT8,non-target,0.315
GALNT9,non-target,0.661
GALNTL5,non-target,0.07
GALNTL6,non-target,2.34
GALP,non-target,-0.545
GALR1,non-target,0.317
GALR2,non-target,-0.0952
GALR3,non-target,-0.445
GALT,non-target,1.7
GAMT,non-target,-1.54
GAN,non-target,-2.43
GANAB,non-target,3.44
GANC,non-target,-0.58
GAP43,non-target,0.0877
GAPDH,non-target,2.91
GAPDHS,non-target,0.825
GAPT,non-target,-0.52
GAPVD1,non-target,3.51
GAR1,non-target,0.819
GAREM1,non-target,0.99
GAREM2,non-target,2.2
GARNL3,non-target,3.02
GARRE1,non-target,1.98
GARS1,non-target,1.67
GART,in-trial,1.22
GAS1,non-target,-0.415
GAS2,non-target,0.824
GAS2L1,non-target,-0.313
GAS2L2,non-target,-0.31
GAS2L3,non-target,0.367
GAS6,in-trial,1.2
GAS7,non-target,3.27
DRC4,non-target,-1.3
GASK1A,non-target,1.05
GASK1B,non-target,-0.416
GAST,non-target,0.254
GATA1,non-target,1.67
GATA2,non-target,1.92
GATA3,non-target,1.66
GATA4,non-target,0.101
GATA5,non-target,-0.567
GATA6,non-target,0.809
GATAD1,non-target,1.75
GATAD2A,non-target,1.64
GATAD2B,non-target,4.65
GATB,non-target,0.229
GATC,non-target,-0.662
GATD1,non-target,-0.831
GATD3,non-target,1.51
GATD3B,non-target,2.74
GATM,non-target,2.63
GBA1,non-target,2.88
GBA2,non-target,1.82
GBA3,non-target,0.112
GBE1,non-target,-0.0139
GBF1,non-target,4.45
GBGT1,non-target,0.474
GBP1,non-target,1.19
GBP2,non-target,0.616
GBP3,non-target,1.39
GBP4,non-target,0.964
GBP5,non-target,-0.443
GBP6,non-target,0.0748
GBP7,non-target,0.367
GBX1,non-target,0.288
GBX2,non-target,0.487
GC,non-target,0.309
GCA,non-target,-0.632
GCAT,non-target,0.465
GCC1,non-target,0.876
GCC2,non-target,0.038
GCDH,non-target,1.5
GCFC2,non-target,-0.732
GCG,non-target,-0.000736
GCGR,approved,0.729
GCH1,non-target,1.75
GCHFR,non-target,-0.218
GCK,in-trial,3.35
