gene,condition,n_sig,group
FEV,Stim48hr,0,non-target
FEV,Stim8hr,0,non-target
FEZ1,Rest,0,non-target
FEZ1,Stim48hr,0,non-target
FEZ1,Stim8hr,0,non-target
FEZ2,Rest,0,non-target
FEZ2,Stim48hr,0,non-target
FEZ2,Stim8hr,0,non-target
FEZF1,Rest,0,non-target
FEZF1,Stim48hr,0,non-target
FEZF1,Stim8hr,0,non-target
FEZF2,Rest,0,non-target
FEZF2,Stim48hr,0,non-target
FEZF2,Stim8hr,0,non-target
FGD1,Rest,0,non-target
FGD1,Stim48hr,0,non-target
FGD1,Stim8hr,0,non-target
FGD2,Rest,0,non-target
FGD2,Stim48hr,0,non-target
FGD2,Stim8hr,0,non-target
FGD3,Rest,0,non-target
FGD3,Stim48hr,0,non-target
FGD3,Stim8hr,0,non-target
FGF11,Rest,0,non-target
FGF11,Stim48hr,0,non-target
FGF11,Stim8hr,0,non-target
FGF2,Rest,0,non-target
FGF2,Stim48hr,0,non-target
FGF2,Stim8hr,0,non-target
FGF9,Rest,0,non-target
FGF9,Stim48hr,0,non-target
FGF9,Stim8hr,0,non-target
FGFBP2,Rest,0,non-target
FGFBP2,Stim48hr,0,non-target
FGFBP2,Stim8hr,0,non-target
FGFBP3,Rest,0,non-target
FGFBP3,Stim48hr,0,non-target
FGFBP3,Stim8hr,0,non-target
FGFR1OP2,Rest,0,non-target
FGFR1OP2,Stim48hr,0,non-target
FGFR1OP2,Stim8hr,1,non-target
FGFR2,Rest,0,approved
FGFR2,Stim48hr,0,approved
FGFR2,Stim8hr,0,approved
FGFRL1,Rest,0,non-target
FGFRL1,Stim48hr,0,non-target
FGFRL1,Stim8hr,0,non-target
FGGY,Rest,0,non-target
FGGY,Stim48hr,0,non-target
FGGY,Stim8hr,0,non-target
FGL2,Rest,0,non-target
FGL2,Stim48hr,0,non-target
FGL2,Stim8hr,0,non-target
FGR,Rest,0,approved
FGR,Stim48hr,0,approved
FGR,Stim8hr,0,approved
FH,Rest,4,non-target
FH,Stim8hr,7,non-target
FHIP1B,Rest,0,non-target
FHIP1B,Stim48hr,0,non-target
FHIP1B,Stim8hr,0,non-target
FHIP2A,Rest,0,non-target
FHIP2A,Stim48hr,0,non-target
FHIP2A,Stim8hr,0,non-target
FHIP2B,Rest,0,non-target
FHIP2B,Stim48hr,0,non-target
FHIP2B,Stim8hr,0,non-target
FHIT,Rest,1,non-target
FHIT,Stim48hr,0,non-target
FHIT,Stim8hr,0,non-target
FHL1,Rest,2,non-target
FHL1,Stim48hr,0,non-target
FHL1,Stim8hr,2,non-target
FHL2,Rest,0,non-target
FHL2,Stim48hr,0,non-target
FHL2,Stim8hr,0,non-target
FHL3,Rest,0,non-target
FHL3,Stim48hr,0,non-target
FHL3,Stim8hr,0,non-target
FHOD1,Rest,0,non-target
FHOD1,Stim48hr,0,non-target
FHOD1,Stim8hr,0,non-target
FIBP,Rest,0,non-target
FIBP,Stim48hr,0,non-target
FIBP,Stim8hr,0,non-target
FICD,Rest,0,non-target
FICD,Stim48hr,0,non-target
FICD,Stim8hr,0,non-target
FIG4,Rest,0,non-target
FIG4,Stim48hr,0,non-target
FIG4,Stim8hr,0,non-target
FIGLA,Rest,0,non-target
FIGLA,Stim48hr,0,non-target
FIGLA,Stim8hr,0,non-target
FIGNL1,Rest,0,non-target
FIGNL1,Stim48hr,0,non-target
FIGNL1,Stim8hr,0,non-target
FIRRM,Rest,0,non-target
FIRRM,Stim48hr,0,non-target
FIRRM,Stim8hr,0,non-target
FIS1,Rest,0,non-target
FIS1,Stim48hr,0,non-target
FIS1,Stim8hr,0,non-target
FITM1,Rest,0,non-target
FITM1,Stim48hr,0,non-target
FITM1,Stim8hr,0,non-target
FITM2,Rest,0,non-target
FITM2,Stim48hr,8,non-target
FITM2,Stim8hr,16,non-target
FIZ1,Rest,0,non-target
FIZ1,Stim48hr,0,non-target
FIZ1,Stim8hr,0,non-target
FKBP11,Rest,0,non-target
FKBP11,Stim48hr,0,non-target
FKBP11,Stim8hr,0,non-target
FKBP14,Rest,0,non-target
FKBP14,Stim48hr,0,non-target
FKBP14,Stim8hr,0,non-target
FKBP15,Rest,0,non-target
FKBP15,Stim48hr,0,non-target
FKBP15,Stim8hr,0,non-target
FKBP1A,Rest,0,approved
FKBP1A,Stim48hr,0,approved
FKBP1A,Stim8hr,0,approved
FKBP1B,Rest,0,non-target
FKBP1B,Stim48hr,0,non-target
FKBP1B,Stim8hr,0,non-target
FKBP2,Rest,3,non-target
FKBP2,Stim48hr,1,non-target
FKBP2,Stim8hr,0,non-target
FKBP3,Rest,0,non-target
FKBP3,Stim48hr,0,non-target
FKBP3,Stim8hr,0,non-target
FKBP4,Rest,0,non-target
FKBP4,Stim48hr,0,non-target
FKBP4,Stim8hr,0,non-target
FKBP5,Rest,0,non-target
FKBP5,Stim48hr,0,non-target
FKBP5,Stim8hr,0,non-target
FKBP7,Rest,0,non-target
FKBP7,Stim48hr,0,non-target
FKBP7,Stim8hr,0,non-target
FKBP8,Rest,0,non-target
FKBP8,Stim48hr,0,non-target
FKBP8,Stim8hr,0,non-target
FKBPL,Rest,0,non-target
FKBPL,Stim48hr,0,non-target
FKBPL,Stim8hr,0,non-target
FKRP,Rest,0,non-target
FKRP,Stim48hr,0,non-target
FKRP,Stim8hr,0,non-target
FKTN,Rest,0,non-target
FKTN,Stim48hr,0,non-target
FKTN,Stim8hr,0,non-target
FLACC1,Rest,0,non-target
FLACC1,Stim48hr,0,non-target
FLACC1,Stim8hr,0,non-target
FLAD1,Rest,0,non-target
FLAD1,Stim48hr,1,non-target
FLAD1,Stim8hr,0,non-target
FLCN,Rest,0,non-target
FLCN,Stim48hr,0,non-target
FLCN,Stim8hr,0,non-target
FLI1,Rest,1,non-target
FLI1,Stim48hr,0,non-target
FLI1,Stim8hr,0,non-target
FLII,Rest,0,non-target
FLII,Stim48hr,0,non-target
FLII,Stim8hr,0,non-target
FLNA,Rest,0,non-target
FLNA,Stim48hr,0,non-target
FLNA,Stim8hr,0,non-target
FLNB,Rest,0,non-target
FLNB,Stim48hr,0,non-target
FLNB,Stim8hr,0,non-target
FLOT1,Rest,0,non-target
FLOT1,Stim48hr,0,non-target
FLOT1,Stim8hr,0,non-target
FLOT2,Rest,0,non-target
FLOT2,Stim48hr,0,non-target
FLOT2,Stim8hr,0,non-target
FLRT2,Rest,0,non-target
FLRT2,Stim48hr,0,non-target
FLRT2,Stim8hr,0,non-target
FLT1,Rest,0,approved
FLT1,Stim48hr,0,approved
FLT1,Stim8hr,0,approved
FLT3LG,Rest,0,non-target
FLT3LG,Stim48hr,0,non-target
FLT3LG,Stim8hr,0,non-target
FLT4,Rest,0,approved
FLT4,Stim48hr,0,approved
FLT4,Stim8hr,0,approved
FLVCR1,Rest,0,non-target
FLVCR1,Stim48hr,0,non-target
FLVCR1,Stim8hr,0,non-target
FLVCR2,Rest,0,non-target
FLVCR2,Stim48hr,0,non-target
FLVCR2,Stim8hr,3,non-target
FLYWCH1,Rest,0,non-target
FLYWCH1,Stim48hr,0,non-target
FLYWCH1,Stim8hr,0,non-target
FLYWCH2,Rest,0,non-target
FLYWCH2,Stim48hr,0,non-target
FLYWCH2,Stim8hr,0,non-target
FMC1,Rest,0,non-target
FMC1,Stim8hr,0,non-target
FMC1-LUC7L2,Rest,0,non-target
FMC1-LUC7L2,Stim48hr,1,non-target
FMC1-LUC7L2,Stim8hr,0,non-target
FMN1,Rest,0,non-target
FMN1,Stim48hr,0,non-target
FMN1,Stim8hr,0,non-target
FMNL1,Rest,0,non-target
FMNL1,Stim48hr,0,non-target
FMNL1,Stim8hr,0,non-target
FMNL2,Rest,0,non-target
FMNL2,Stim48hr,0,non-target
FMNL2,Stim8hr,0,non-target
FMNL3,Rest,0,non-target
FMNL3,Stim48hr,0,non-target
FMNL3,Stim8hr,0,non-target
FMO4,Rest,0,non-target
FMO4,Stim48hr,0,non-target
FMO4,Stim8hr,0,non-target
FMR1,Rest,0,non-target
FMR1,Stim48hr,0,non-target
FMR1,Stim8hr,0,non-target
FN1,Stim48hr,0,in-trial
FN1,Stim8hr,0,in-trial
FN3K,Rest,0,non-target
FN3K,Stim48hr,0,non-target
FN3K,Stim8hr,0,non-target
FN3KRP,Rest,0,non-target
FN3KRP,Stim48hr,0,non-target
FN3KRP,Stim8hr,0,non-target
FNBP1,Rest,0,non-target
FNBP1,Stim48hr,0,non-target
FNBP1,Stim8hr,0,non-target
FNBP1L,Rest,0,non-target
FNBP1L,Stim48hr,0,non-target
FNBP1L,Stim8hr,0,non-target
FNBP4,Rest,1,non-target
FNBP4,Stim48hr,1,non-target
FNBP4,Stim8hr,6,non-target
FNDC10,Rest,0,non-target
FNDC10,Stim48hr,0,non-target
FNDC10,Stim8hr,0,non-target
FNDC3A,Rest,0,non-target
FNDC3A,Stim48hr,0,non-target
FNDC3A,Stim8hr,0,non-target
FNDC3B,Rest,0,non-target
FNDC3B,Stim48hr,0,non-target
FNDC3B,Stim8hr,0,non-target
FNDC9,Rest,0,non-target
FNDC9,Stim48hr,0,non-target
FNDC9,Stim8hr,0,non-target
FNIP1,Rest,0,non-target
FNIP1,Stim48hr,0,non-target
FNIP1,Stim8hr,0,non-target
FNIP2,Rest,0,non-target
FNIP2,Stim48hr,0,non-target
FNIP2,Stim8hr,0,non-target
FOS,Rest,0,non-target
FOS,Stim48hr,0,non-target
FOS,Stim8hr,0,non-target
FOSB,Rest,0,non-target
FOSB,Stim48hr,0,non-target
FOSB,Stim8hr,0,non-target
FOSL1,Rest,1,non-target
FOSL1,Stim48hr,0,non-target
FOSL1,Stim8hr,0,non-target
FOSL2,Rest,0,non-target
FOSL2,Stim48hr,0,non-target
FOSL2,Stim8hr,0,non-target
FOXA1,Rest,0,non-target
FOXA1,Stim48hr,0,non-target
FOXA1,Stim8hr,0,non-target
FOXA2,Rest,0,non-target
FOXA2,Stim48hr,0,non-target
FOXA2,Stim8hr,0,non-target
FOXA3,Rest,0,non-target
FOXA3,Stim48hr,0,non-target
FOXA3,Stim8hr,0,non-target
FOXB1,Rest,0,non-target
FOXB1,Stim48hr,0,non-target
FOXB1,Stim8hr,0,non-target
FOXB2,Rest,0,non-target
FOXB2,Stim48hr,0,non-target
FOXB2,Stim8hr,0,non-target
FOXC1,Rest,0,non-target
FOXC1,Stim48hr,0,non-target
FOXC1,Stim8hr,0,non-target
FOXC2,Rest,0,non-target
FOXC2,Stim48hr,0,non-target
FOXC2,Stim8hr,0,non-target
FOXD1,Rest,0,non-target
FOXD1,Stim48hr,0,non-target
FOXD1,Stim8hr,0,non-target
FOXD2,Rest,1,non-target
FOXD2,Stim48hr,1,non-target
FOXD2,Stim8hr,1,non-target
FOXD3,Rest,0,non-target
FOXD3,Stim48hr,0,non-target
FOXD3,Stim8hr,0,non-target
FOXD4,Rest,0,non-target
FOXD4,Stim48hr,0,non-target
FOXD4,Stim8hr,0,non-target
FOXD4L1,Rest,0,non-target
FOXD4L1,Stim48hr,0,non-target
FOXD4L1,Stim8hr,0,non-target
FOXD4L3,Rest,0,non-target
FOXD4L3,Stim48hr,0,non-target
FOXD4L3,Stim8hr,0,non-target
FOXD4L4,Rest,0,non-target
FOXD4L4,Stim48hr,0,non-target
FOXD4L4,Stim8hr,0,non-target
FOXD4L5,Rest,0,non-target
FOXD4L5,Stim48hr,0,non-target
FOXD4L5,Stim8hr,0,non-target
FOXD4L6,Rest,0,non-target
FOXD4L6,Stim48hr,0,non-target
FOXD4L6,Stim8hr,0,non-target
FOXE1,Rest,0,non-target
FOXE1,Stim48hr,0,non-target
FOXE1,Stim8hr,0,non-target
FOXE3,Rest,0,non-target
FOXE3,Stim48hr,0,non-target
FOXE3,Stim8hr,0,non-target
FOXF1,Rest,0,non-target
FOXF1,Stim48hr,0,non-target
FOXF1,Stim8hr,0,non-target
FOXF2,Rest,0,non-target
FOXF2,Stim48hr,0,non-target
FOXF2,Stim8hr,0,non-target
FOXG1,Rest,1,non-target
FOXG1,Stim48hr,0,non-target
FOXG1,Stim8hr,0,non-target
FOXH1,Rest,0,non-target
FOXH1,Stim48hr,0,non-target
FOXH1,Stim8hr,0,non-target
FOXI1,Rest,0,non-target
FOXI1,Stim48hr,0,non-target
FOXI1,Stim8hr,0,non-target
FOXI3,Rest,0,non-target
FOXI3,Stim48hr,0,non-target
FOXI3,Stim8hr,0,non-target
FOXJ2,Rest,0,non-target
FOXJ2,Stim48hr,0,non-target
FOXJ2,Stim8hr,0,non-target
FOXJ3,Rest,0,non-target
FOXJ3,Stim48hr,0,non-target
FOXJ3,Stim8hr,0,non-target
FOXK1,Rest,1,non-target
FOXK1,Stim48hr,0,non-target
FOXK1,Stim8hr,3,non-target
FOXK2,Rest,0,non-target
FOXK2,Stim48hr,0,non-target
FOXK2,Stim8hr,0,non-target
FOXL1,Rest,0,non-target
FOXL1,Stim48hr,0,non-target
FOXL1,Stim8hr,0,non-target
FOXL2,Rest,0,non-target
FOXL2,Stim48hr,0,non-target
FOXL2,Stim8hr,0,non-target
FOXM1,Rest,0,non-target
FOXM1,Stim48hr,0,non-target
FOXM1,Stim8hr,0,non-target
FOXN2,Rest,0,non-target
FOXN2,Stim48hr,0,non-target
FOXN2,Stim8hr,0,non-target
FOXN3,Rest,0,non-target
FOXN3,Stim48hr,0,non-target
FOXN3,Stim8hr,0,non-target
FOXN4,Rest,0,non-target
FOXN4,Stim48hr,0,non-target
FOXN4,Stim8hr,0,non-target
FOXO1,Rest,8,non-target
FOXO1,Stim48hr,1,non-target
FOXO1,Stim8hr,5,non-target
FOXO3,Rest,1,non-target
FOXO3,Stim48hr,1,non-target
FOXO3,Stim8hr,1,non-target
FOXO4,Rest,0,non-target
FOXO4,Stim48hr,0,non-target
FOXO4,Stim8hr,0,non-target
FOXO6,Rest,0,non-target
FOXO6,Stim48hr,0,non-target
FOXO6,Stim8hr,0,non-target
FOXP1,Rest,0,non-target
FOXP1,Stim48hr,0,non-target
FOXP1,Stim8hr,0,non-target
FOXP2,Rest,0,non-target
FOXP2,Stim48hr,0,non-target
FOXP2,Stim8hr,0,non-target
FOXP3,Rest,0,non-target
FOXP3,Stim48hr,0,non-target
FOXP3,Stim8hr,0,non-target
FOXP4,Rest,0,non-target
FOXP4,Stim48hr,0,non-target
FOXP4,Stim8hr,0,non-target
FOXQ1,Rest,0,non-target
FOXQ1,Stim48hr,0,non-target
FOXQ1,Stim8hr,0,non-target
FOXR1,Rest,0,non-target
FOXR1,Stim48hr,0,non-target
FOXR1,Stim8hr,0,non-target
FOXR2,Rest,0,non-target
FOXR2,Stim48hr,0,non-target
FOXR2,Stim8hr,0,non-target
FOXRED1,Rest,0,non-target
FOXRED1,Stim48hr,0,non-target
FOXRED1,Stim8hr,0,non-target
FOXRED2,Rest,0,non-target
FOXRED2,Stim48hr,0,non-target
FOXRED2,Stim8hr,0,non-target
FOXS1,Rest,0,non-target
FOXS1,Stim48hr,0,non-target
FOXS1,Stim8hr,0,non-target
FPGS,Rest,0,non-target
FPGS,Stim48hr,0,non-target
FPGS,Stim8hr,0,non-target
FPGT,Rest,0,non-target
FPGT,Stim48hr,0,non-target
FPGT,Stim8hr,0,non-target
FPR1,Rest,0,non-target
FPR1,Stim48hr,0,non-target
FPR1,Stim8hr,0,non-target
FRA10AC1,Rest,0,non-target
FRA10AC1,Stim48hr,0,non-target
FRA10AC1,Stim8hr,0,non-target
FRAS1,Rest,0,non-target
FRAS1,Stim48hr,0,non-target
FRAS1,Stim8hr,0,non-target
FRAT1,Rest,0,non-target
FRAT1,Stim48hr,0,non-target
FRAT1,Stim8hr,0,non-target
FRAT2,Rest,0,non-target
FRAT2,Stim48hr,0,non-target
FRAT2,Stim8hr,0,non-target
FRG1,Rest,0,non-target
FRG1,Stim48hr,0,non-target
FRG1,Stim8hr,0,non-target
FRMD3,Rest,0,non-target
FRMD3,Stim48hr,0,non-target
FRMD3,Stim8hr,0,non-target
FRMD4A,Rest,0,non-target
FRMD4A,Stim48hr,0,non-target
FRMD4A,Stim8hr,0,non-target
FRMD4B,Rest,0,non-target
FRMD4B,Stim48hr,0,non-target
FRMD4B,Stim8hr,0,non-target
FRMD6,Rest,0,non-target
FRMD6,Stim48hr,0,non-target
FRMD6,Stim8hr,0,non-target
FRMD8,Rest,0,non-target
FRMD8,Stim48hr,0,non-target
FRMD8,Stim8hr,0,non-target
FRS2,Rest,0,non-target
FRS2,Stim48hr,0,non-target
FRS2,Stim8hr,0,non-target
FRS3,Rest,0,non-target
FRS3,Stim48hr,0,non-target
FRS3,Stim8hr,0,non-target
FRY,Rest,0,non-target
FRY,Stim48hr,0,non-target
FRY,Stim8hr,0,non-target
FRYL,Rest,0,non-target
FRYL,Stim48hr,0,non-target
FRYL,Stim8hr,0,non-target
FSAF1,Rest,0,non-target
FSAF1,Stim48hr,0,non-target
FSBP,Rest,0,non-target
FSBP,Stim48hr,0,non-target
FSBP,Stim8hr,0,non-target
FSCN1,Rest,0,non-target
FSCN1,Stim48hr,0,non-target
FSCN1,Stim8hr,0,non-target
FSD1,Rest,0,non-target
FSD1,Stim48hr,0,non-target
FSD1,Stim8hr,0,non-target
FSD1L,Rest,0,non-target
FSD1L,Stim48hr,0,non-target
FSD1L,Stim8hr,0,non-target
FSIP1,Rest,0,non-target
FSIP1,Stim48hr,0,non-target
FSIP1,Stim8hr,0,non-target
FTH1,Rest,0,non-target
FTH1,Stim48hr,0,non-target
FTH1,Stim8hr,0,non-target
FTL,Rest,0,non-target
FTL,Stim48hr,0,non-target
FTL,Stim8hr,0,non-target
FTO,Rest,0,in-trial
FTO,Stim48hr,0,in-trial
FTO,Stim8hr,0,in-trial
FTSJ1,Rest,0,non-target
FTSJ1,Stim48hr,0,non-target
FTSJ1,Stim8hr,0,non-target
FUBP1,Rest,0,non-target
FUBP1,Stim48hr,0,non-target
FUBP1,Stim8hr,0,non-target
FUBP3,Rest,0,non-target
FUBP3,Stim48hr,0,non-target
FUBP3,Stim8hr,0,non-target
FUCA1,Rest,0,non-target
FUCA1,Stim48hr,0,non-target
FUCA1,Stim8hr,0,non-target
FUCA2,Rest,0,non-target
FUCA2,Stim48hr,0,non-target
FUCA2,Stim8hr,0,non-target
FUNDC1,Rest,0,non-target
FUNDC1,Stim48hr,0,non-target
FUNDC1,Stim8hr,0,non-target
FUNDC2,Rest,1,non-target
FUNDC2,Stim48hr,1,non-target
FUNDC2,Stim8hr,0,non-target
FUOM,Rest,1,non-target
FUOM,Stim48hr,0,non-target
FUOM,Stim8hr,0,non-target
FURIN,Rest,0,non-target
FURIN,Stim48hr,0,non-target
FURIN,Stim8hr,0,non-target
FUS,Rest,0,non-target
FUS,Stim48hr,0,non-target
FUS,Stim8hr,0,non-target
FUT4,Rest,0,non-target
FUT4,Stim48hr,0,non-target
FUT4,Stim8hr,0,non-target
FUT7,Rest,0,non-target
FUT7,Stim48hr,0,non-target
FUT7,Stim8hr,0,non-target
FUT8,Rest,0,non-target
FUT8,Stim48hr,0,non-target
FUT8,Stim8hr,0,non-target
FUZ,Rest,0,non-target
FUZ,Stim48hr,0,non-target
FUZ,Stim8hr,0,non-target
FXN,Stim8hr,1,non-target
FXR1,Rest,0,non-target
FXR1,Stim48hr,0,non-target
FXR1,Stim8hr,0,non-target
FXR2,Rest,0,non-target
FXR2,Stim48hr,0,non-target
FXR2,Stim8hr,0,non-target
FXYD1,Rest,0,non-target
FXYD1,Stim48hr,0,non-target
FXYD1,Stim8hr,0,non-target
FXYD2,Rest,0,in-trial
FXYD2,Stim48hr,0,in-trial
FXYD2,Stim8hr,0,in-trial
FXYD3,Rest,0,non-target
FXYD3,Stim48hr,0,non-target
FXYD3,Stim8hr,0,non-target
FXYD5,Rest,0,non-target
FXYD5,Stim48hr,0,non-target
FXYD5,Stim8hr,0,non-target
FXYD7,Rest,0,non-target
FXYD7,Stim48hr,0,non-target
FXYD7,Stim8hr,0,non-target
FYB1,Rest,0,non-target
FYB1,Stim48hr,0,non-target
FYB1,Stim8hr,0,non-target
FYCO1,Rest,0,non-target
FYCO1,Stim48hr,0,non-target
FYCO1,Stim8hr,0,non-target
FYN,Rest,0,approved
FYN,Stim48hr,0,approved
FYN,Stim8hr,0,approved
FYTTD1,Rest,0,non-target
FYTTD1,Stim48hr,0,non-target
FYTTD1,Stim8hr,0,non-target
FZD3,Rest,0,non-target
FZD3,Stim48hr,0,non-target
FZD3,Stim8hr,0,non-target
FZD6,Rest,0,non-target
FZD6,Stim48hr,1,non-target
FZD6,Stim8hr,11,non-target
FZR1,Rest,0,non-target
FZR1,Stim48hr,0,non-target
FZR1,Stim8hr,0,non-target
G0S2,Rest,0,non-target
G0S2,Stim48hr,0,non-target
G0S2,Stim8hr,0,non-target
G2E3,Rest,0,non-target
G2E3,Stim48hr,0,non-target
G2E3,Stim8hr,0,non-target
G3BP1,Rest,0,non-target
G3BP1,Stim48hr,1,non-target
G3BP1,Stim8hr,1,non-target
G3BP2,Rest,0,non-target
G3BP2,Stim48hr,0,non-target
G3BP2,Stim8hr,0,non-target
G6PC3,Rest,0,non-target
G6PC3,Stim48hr,1,non-target
G6PC3,Stim8hr,0,non-target
G6PD,Rest,0,non-target
G6PD,Stim48hr,0,non-target
G6PD,Stim8hr,0,non-target
GAA,Rest,0,in-trial
GAA,Stim48hr,0,in-trial
GAA,Stim8hr,0,in-trial
GAB2,Rest,0,non-target
GAB2,Stim48hr,0,non-target
GAB2,Stim8hr,0,non-target
GAB3,Rest,0,non-target
GAB3,Stim48hr,0,non-target
GAB3,Stim8hr,0,non-target
GABARAP,Rest,0,non-target
GABARAP,Stim48hr,0,non-target
GABARAP,Stim8hr,0,non-target
GABARAPL1,Rest,0,non-target
GABARAPL1,Stim48hr,0,non-target
GABARAPL1,Stim8hr,0,non-target
GABARAPL2,Rest,0,non-target
GABARAPL2,Stim48hr,0,non-target
GABARAPL2,Stim8hr,0,non-target
GABBR1,Rest,0,approved
GABBR1,Stim48hr,0,approved
GABBR1,Stim8hr,0,approved
GABPA,Rest,0,non-target
GABPA,Stim48hr,0,non-target
GABPA,Stim8hr,0,non-target
GABPB1,Rest,0,non-target
GABPB1,Stim48hr,1,non-target
GABPB1,Stim8hr,2,non-target
GABPB2,Rest,0,non-target
GABPB2,Stim48hr,0,non-target
GABPB2,Stim8hr,0,non-target
GAD1,Rest,0,non-target
GAD1,Stim48hr,0,non-target
GAD1,Stim8hr,0,non-target
GADD45A,Rest,0,non-target
GADD45A,Stim48hr,0,non-target
GADD45A,Stim8hr,0,non-target
GADD45B,Rest,0,non-target
GADD45B,Stim48hr,0,non-target
GADD45B,Stim8hr,0,non-target
GADD45G,Rest,0,non-target
GADD45G,Stim48hr,2,non-target
GADD45G,Stim8hr,1,non-target
GADD45GIP1,Rest,0,non-target
GADD45GIP1,Stim48hr,2,non-target
GADD45GIP1,Stim8hr,0,non-target
GAK,Stim48hr,0,non-target
GAK,Stim8hr,1,non-target
GAL3ST4,Rest,0,non-target
GAL3ST4,Stim48hr,0,non-target
GAL3ST4,Stim8hr,0,non-target
GALC,Rest,0,non-target
GALC,Stim48hr,0,non-target
GALC,Stim8hr,0,non-target
GALE,Rest,0,non-target
GALE,Stim48hr,0,non-target
GALE,Stim8hr,0,non-target
GALK1,Rest,0,non-target
GALK1,Stim48hr,0,non-target
GALK1,Stim8hr,0,non-target
GALK2,Rest,1,non-target
GALK2,Stim48hr,0,non-target
GALK2,Stim8hr,0,non-target
GALM,Rest,0,non-target
GALM,Stim48hr,0,non-target
GALM,Stim8hr,0,non-target
GALNS,Stim48hr,0,non-target
GALNS,Stim8hr,0,non-target
GALNT10,Rest,0,non-target
GALNT10,Stim48hr,0,non-target
GALNT10,Stim8hr,0,non-target
GALNT11,Rest,0,non-target
GALNT11,Stim48hr,0,non-target
GALNT11,Stim8hr,0,non-target
GALNT12,Rest,0,non-target
GALNT12,Stim48hr,0,non-target
GALNT12,Stim8hr,0,non-target
GALNT18,Rest,0,non-target
GALNT18,Stim48hr,0,non-target
GALNT18,Stim8hr,0,non-target
GALNT2,Rest,0,non-target
GALNT2,Stim48hr,0,non-target
GALNT2,Stim8hr,0,non-target
GALNT3,Rest,0,non-target
GALNT3,Stim48hr,0,non-target
GALNT3,Stim8hr,0,non-target
GALNT4,Rest,0,non-target
GALNT4,Stim48hr,0,non-target
GALNT4,Stim8hr,0,non-target
GALNT6,Rest,0,non-target
GALNT6,Stim48hr,1,non-target
GALNT6,Stim8hr,0,non-target
GALNT7,Rest,0,non-target
GALNT7,Stim48hr,0,non-target
GALNT7,Stim8hr,0,non-target
GALR2,Rest,0,non-target
GALR2,Stim48hr,0,non-target
GALR2,Stim8hr,0,non-target
GALT,Rest,1,non-target
GALT,Stim48hr,1,non-target
GALT,Stim8hr,1,non-target
GAMT,Rest,0,non-target
GAMT,Stim48hr,0,non-target
GAMT,Stim8hr,0,non-target
GAN,Rest,0,non-target
GAN,Stim48hr,0,non-target
GAN,Stim8hr,0,non-target
GANAB,Rest,0,non-target
GANAB,Stim48hr,0,non-target
GANAB,Stim8hr,3,non-target
GANC,Rest,0,non-target
GANC,Stim48hr,0,non-target
GANC,Stim8hr,0,non-target
GAPDH,Stim8hr,1,non-target
GAPVD1,Rest,0,non-target
GAPVD1,Stim48hr,0,non-target
GAPVD1,Stim8hr,0,non-target
GAREM1,Rest,0,non-target
GAREM1,Stim48hr,0,non-target
GAREM1,Stim8hr,0,non-target
GAREM2,Rest,0,non-target
