block,weak_lift,strong_lift
Trans-regulatory residual,-0.0014956501817643963,0.02833085768646637
Regulatory burden,0.0003143100475376803,0.002044714486618804
Cytokine regulation,0.007285008435150342,0.00046423868807987656
Cytokine-receptor regulation,-0.00508623503593153,0.0026892464400315452
Polarization knockdown-coefficients,-0.00365251557464491,0.015447465485149303
Coverage flags,0.005590993690051116,0.017240955251255463
