perm,genetic,genetic+observational,genetic+perturbational,full
0,0.521521354839739,0.5252973563713524,0.533385791094306,0.5278821295808803
1,0.5128714880582013,0.5048162702021411,0.5057688699564448,0.5003528294963224
2,0.5021795338151535,0.4883029563330621,0.49706900237719176,0.4910859618053894
3,0.49311029212335866,0.4624385679414157,0.49797195232853114,0.4904046331307137
4,0.500582284337657,0.513024729175641,0.49497029308061713,0.49972330445603796
5,0.5131874152427448,0.5041421050112477,0.5215286459579763,0.5204519855134894
6,0.4863429059174525,0.5145449512595924,0.49105848848896755,0.515030648223488
7,0.4621250179485952,0.477907847923547,0.4668312832049012,0.48218790982625764
8,0.5091605003270633,0.515532714306227,0.53259056462292,0.5315982705531358
9,0.5137220759744092,0.5164229646293016,0.5222291836181178,0.5221678233539143
10,0.4905152602945166,0.5148110531437962,0.5021418816509516,0.5286899918633036
11,0.443812951706313,0.4633498779495525,0.45197900413216546,0.45778342028430574
12,0.5019693039135915,0.509565340863766,0.5207496290623654,0.5148244388072559
13,0.5138567781872717,0.509214378021347,0.5086658529970165,0.5029398203545047
14,0.5110269946872158,0.49487601908135104,0.4997042709679478,0.49258391167695714
15,0.4913197881268049,0.5276508080856428,0.4737323824566442,0.5168418768646597
16,0.5271939565085595,0.5283329982928892,0.5198714242409739,0.5136585140158586
17,0.5266038864691523,0.5342363471019002,0.5285003111089839,0.5326132356929753
18,0.5107329727659982,0.5175981748272946,0.515384722155746,0.522219563171078
19,0.49793903859346833,0.5472276998675792,0.5009180746342475,0.5308297835000558
20,0.5222759297372326,0.5361610746821104,0.5131513585092295,0.5281759919590293
21,0.4933847700186666,0.47919888638938085,0.5098976212128464,0.4904330796598543
22,0.519312784186091,0.512748847301329,0.4948336763509309,0.4977647696995804
23,0.48582214138706736,0.472273743997192,0.47514267936629495,0.4731258316182454
24,0.5034572982976754,0.4803331578359578,0.4897959603695017,0.47379557746613704
25,0.5314382488552785,0.5035589272324065,0.5164082388040652,0.4978995995468977
26,0.48142947398650265,0.5019098262575983,0.497625696006637,0.5092261522998134
27,0.5198060434914406,0.5266020676781697,0.5150724963703952,0.5197849040348442
28,0.5071882927296224,0.5100639767705293,0.5231509117886373,0.5237410137366582
29,0.4836334976626941,0.4990100831219388,0.4969159846200481,0.5082432234081591
30,0.4732680004467206,0.5237755229024075,0.48887281226567114,0.5323417572073581
31,0.4851794380893122,0.48398390210437303,0.48590969862314337,0.4884190717784266
32,0.5110762137238948,0.502109909219994,0.5140548189983886,0.5103712407664449
33,0.4999780149651399,0.49804593244946477,0.4797108122337626,0.4875211952966703
34,0.47394200609454523,0.47798846503613646,0.4903992565293001,0.4914162319118045
35,0.51072375117663,0.5250291166100288,0.5206783771279057,0.5234414875795721
36,0.5205215143828076,0.5061687008407919,0.49911201518850007,0.4913588602243176
37,0.5294728697011758,0.547922158936805,0.515671006238134,0.5330870945611769
38,0.4652595287097751,0.4766727771661961,0.45807090093970865,0.4683871631646963
39,0.4880464589415912,0.5083016161712854,0.5179695113195808,0.5231193382153513
40,0.5142097831809698,0.5131490929976547,0.4871820545956381,0.49894894621803154
41,0.4872086344708755,0.4811717481134032,0.5034033886947782,0.49859866941080744
42,0.47399687295585435,0.48009382727867383,0.46654118604317235,0.46716638746629663
43,0.48227135085116224,0.5033115876130762,0.45754340369182667,0.4796820944814052
44,0.4986943952519983,0.501936469950063,0.504444343400501,0.4965462914213692
45,0.5282510410185229,0.5253407839946393,0.5244488106064231,0.5220027441407808
46,0.5050753043284035,0.512261921855805,0.49458035386652627,0.5084247355573637
47,0.5130506070613763,0.517144210979754,0.49567992469567157,0.5091935097879672
48,0.5191154134558624,0.5059071937969655,0.5020521386748353,0.49901930471130673
49,0.48097140988209763,0.4930866797491983,0.5068576716284561,0.5052810032068157
50,0.46416659487228573,0.4872648095853475,0.4603931779383845,0.48254380254949825
51,0.4519136074283252,0.4898805660588076,0.48463692783867013,0.5045935002153832
52,0.4792189249988034,0.4863524146843441,0.47457082914532783,0.49232955216260627
53,0.48171856602689894,0.4683599132085706,0.4774874200290368,0.46496470907321436
54,0.4693674117327973,0.5077248839324175,0.4916191387865155,0.5124047288565547
55,0.5188304376266373,0.5193652898099842,0.5138271669937299,0.5125305445204933
56,0.4984901960784313,0.4795432122401443,0.5030755915059271,0.4889354648287305
57,0.4749984683865409,0.4662293431611863,0.4806978254279743,0.46209235948244226
58,0.4971805708450996,0.48984741300914186,0.5012287049889118,0.4877437259688253
59,0.48226902152235995,0.49705478708977485,0.4839833596579396,0.49242803809888486
60,0.5360002393146029,0.5290217457202572,0.543879800252078,0.5361852933199317
61,0.5152805245776098,0.5025917771502417,0.509776879018491,0.5059724947749644
62,0.4990293240160182,0.49852775251679193,0.4978457697155347,0.4902842419311093
63,0.49752357248839324,0.4826589288278371,0.5057995660428533,0.48810994112860767
64,0.48253143796167774,0.5001925525295553,0.5001647282183825,0.5068893568818903
65,0.5461506724740344,0.5174156256481437,0.5631810973372262,0.5376326520844301
66,0.5175422549817323,0.5149428835814228,0.5163292011678553,0.5135873578072401
67,0.491557315847413,0.5013386142089057,0.4758025335439302,0.48401210931891064
68,0.5016236059924377,0.49259866941080743,0.4763665821088403,0.47404846918425636
69,0.49150563984747686,0.48852242377829896,0.5071116163308286,0.4940326903747666
70,0.4822539127937586,0.5110255907082116,0.5034177794795704,0.5258132548381436
