gene,group,mis_z_score
ADAM22,other,2.61
ADAM23,other,2.57
ADAM28,other,-1.15
ADAM29,other,0.442
ADAM30,other,-0.00854
ADAM32,other,0.876
ADAM33,other,-0.301
ADAM7,other,-1.16
ADAM8,other,0.338
ADAM9,other,2.26
ADAMDEC1,other,-0.539
ADAMTS1,other,0.23
ADAMTS10,other,4.68
ADAMTS12,other,0.79
ADAMTS13,approved,1.81
ADAMTS14,other,1.01
ADAMTS15,other,-0.0626
ADAMTS16,other,0.0694
ADAMTS17,other,-1.54
ADAMTS18,other,-5.51
ADAMTS19,other,0.759
ADAMTS2,other,2.18
ADAMTS20,other,-0.55
ADAMTS3,other,0.63
ADAMTS4,other,1.31
ADAMTS5,other,0.437
ADAMTS6,other,4.37
ADAMTS7,other,3.36
ADAMTS8,other,0.198
ADAMTS9,other,0.997
ADAMTSL1,other,-3.59
ADAMTSL2,other,2.0
ADAMTSL3,other,1.2
ADAMTSL4,other,0.509
ADAMTSL5,other,-1.54
ADAP1,other,-0.425
ADAP2,other,1.0
ADAR,other,3.25
ADARB1,other,3.92
ADARB2,other,0.0837
ADAT1,other,-2.29
ADAT2,other,0.676
ADAT3,other,-2.92
ADCK1,other,0.353
ADCK2,other,1.56
ADCK5,other,0.756
ADCY1,other,5.15
ADCY10,other,1.84
ADCY2,other,5.82
ADCY3,other,3.3
ADCY4,other,1.46
ADCY5,other,4.57
ADCY6,other,3.78
ADCY7,other,2.87
ADCY8,other,2.3
ADCY9,other,1.39
ADCYAP1,other,-1.62
ADCYAP1R1,other,1.95
ADD1,other,0.948
ADD2,other,2.59
ADD3,other,0.271
ADGB,other,-0.579
ADGRA1,other,0.235
ADGRA2,other,1.46
ADGRA3,other,1.4
ADGRB1,other,4.71
ADGRB2,other,5.45
ADGRB3,other,2.14
ADGRD1,other,1.3
ADGRD2,other,-9.92
ADGRE1,other,0.69
ADGRE2,other,2.94
ADGRE3,other,0.942
ADGRE5,other,1.75
ADGRF1,other,-1.19
ADGRF3,other,1.46
ADGRF4,other,-1.28
ADGRF5,other,1.21
ADGRG1,other,1.11
ADGRG2,other,2.22
ADGRG3,other,0.658
ADGRG4,other,-2.06
ADGRG5,other,1.01
ADGRG6,other,1.11
ADGRG7,other,0.116
ADGRL1,other,5.05
ADGRL2,other,2.63
ADGRL3,other,2.16
ADGRL4,other,-0.997
ADGRV1,other,1.48
ADH1A,other,-0.0856
ADH1B,other,0.875
ADH1C,other,1.04
ADH4,other,-0.352
ADH5,other,2.14
ADH6,other,0.141
ADH7,other,-1.56
ADHFE1,other,-0.172
ADI1,other,0.264
ADIG,other,0.909
ADIPOQ,other,-0.357
ADIPOR1,other,3.75
ADIPOR2,other,3.82
ADIRF,other,-0.341
ADK,other,2.15
ADM,other,0.0292
ADM2,other,-0.727
ADM5,other,0.393
ADNP,other,2.27
ADNP2,other,-0.0222
ADO,other,0.66
ADORA1,in_trials,2.79
ADORA2A,in_trials,1.94
ADORA2B,in_trials,-0.38
ADORA3,in_trials,0.995
ADPGK,other,0.953
ADPRH,other,0.521
ADPRHL1,other,4.05
ADPRM,other,1.59
ADPRS,other,-0.0265
ADRA1A,approved,-0.312
ADRA1B,approved,0.652
ADRA1D,approved,0.0109
ADRA2A,approved,0.699
ADRA2B,approved,-0.0483
ADRA2C,approved,1.45
ADRB1,approved,1.19
ADRB2,approved,1.9
ADRB3,approved,-0.362
ADRM1,approved,1.55
ADSL,other,1.64
ADSS1,other,0.126
ADSS2,other,3.29
ADTRP,other,0.618
AEBP1,other,1.23
AEBP2,other,1.92
AEN,other,-0.532
AFAP1,other,-1.98
AFAP1L1,other,1.4
