gene,group,mis_z_score
FITM2,other,1.29
FIZ1,other,1.85
FJX1,other,-0.6
FKBP10,other,0.751
FKBP11,other,0.1
FKBP14,other,-0.109
FKBP15,other,2.13
FKBP1A,approved,3.11
FKBP1B,other,1.58
FKBP1C,other,-0.69
FKBP2,other,0.287
FKBP3,other,-0.564
FKBP4,other,1.45
FKBP5,other,2.58
FKBP6,other,1.49
FKBP7,other,0.326
FKBP8,other,2.98
FKBP9,other,3.19
FKBPL,other,1.46
FKRP,other,-0.683
FKTN,other,0.392
FLACC1,other,0.715
FLAD1,other,1.21
FLCN,other,1.85
FLG,other,-15.3
FLG2,other,0.88
FLI1,other,3.07
FLII,other,0.081
FLNA,other,5.65
FLNB,other,4.2
FLNC,other,6.57
FLOT1,other,2.16
FLOT2,other,1.93
FLRT1,other,2.94
FLRT2,other,1.68
FLRT3,other,2.34
FLT1,approved,3.32
FLT3,approved,1.5
FLT3LG,other,0.687
FLT4,approved,3.5
FLVCR1,other,0.319
FLVCR2,other,-0.0116
FLYWCH1,other,-4.48
FLYWCH2,other,-0.272
FMC1,other,0.199
FMC1-LUC7L2,other,2.72
FMN1,other,-0.896
FMN2,other,1.73
FMNL1,other,3.23
FMNL2,other,3.99
FMNL3,other,3.17
FMO1,other,0.427
FMO2,other,0.235
FMO3,other,-0.47
FMO4,other,0.535
FMO5,other,-0.0164
FMOD,other,0.449
FMR1,other,3.37
FMR1NB,other,-0.00472
FN1,in_trials,3.32
FN3K,other,-0.674
FN3KRP,other,-0.583
FNBP1,other,2.05
FNBP1L,other,2.54
FNBP4,other,1.42
FNDC1,other,-0.898
FNDC10,other,0.521
FNDC11,other,0.555
FNDC3A,other,2.93
FNDC3B,other,3.2
FNDC4,other,1.33
FNDC5,other,1.44
FNDC7,other,0.918
FNDC8,other,0.58
FNDC9,other,0.205
FNIP1,other,2.59
FNIP2,other,2.06
FNTA,in_trials,0.846
FNTB,in_trials,1.99
FOCAD,other,-5.46
FOLH1,in_trials,4.59
FOLR1,other,1.13
FOLR2,other,1.27
FOLR3,other,0.345
FOS,other,1.52
FOSB,other,1.68
FOSL1,other,0.94
FOSL2,other,2.27
FOXA1,other,0.609
FOXA2,other,-0.732
FOXA3,other,0.926
FOXB1,other,0.883
FOXB2,other,-0.739
FOXC1,other,-1.22
FOXC2,other,-1.64
FOXD1,other,1.03
FOXD2,other,0.89
FOXD3,other,0.719
FOXD4,other,-0.332
FOXD4L1,other,3.72
FOXD4L3,other,9.16
FOXD4L4,other,8.4
FOXD4L5,other,9.86
FOXD4L6,other,7.69
FOXE1,other,0.165
FOXE3,other,-0.232
FOXF1,other,0.925
FOXF2,other,-0.13
FOXG1,other,4.04
FOXH1,other,-2.9
FOXI1,other,0.494
FOXI2,other,-1.61
FOXI3,other,1.08
FOXJ1,other,0.987
FOXJ2,other,0.894
FOXJ3,other,2.3
FOXK1,other,2.16
FOXK2,other,-0.586
FOXL1,other,-1.33
FOXL2,other,1.04
FOXL2NB,other,0.166
FOXL3,other,-1.44
FOXM1,other,1.1
FOXN1,other,0.629
FOXN2,other,-1.47
FOXN3,other,2.71
FOXN4,other,2.18
FOXO1,other,2.17
FOXO3,other,5.28
FOXO3B,other,2.91
FOXO4,other,2.52
FOXO6,other,1.85
FOXP1,other,3.15
FOXP2,other,3.15
FOXP3,other,2.51
FOXP4,other,1.65
FOXQ1,other,-2.42
FOXR1,other,0.0708
FOXR2,other,-0.195
FOXRED1,other,0.617
FOXRED2,other,1.25
FOXS1,other,0.992
FPGS,other,1.59
FPGT,other,-1.07
FPGT-TNNI3K,other,-1.59
FPR1,other,0.922
FPR2,other,1.3
FPR3,other,1.97
FRA10AC1,other,0.132
FRAS1,other,0.853
FRAT1,other,1.04
FRAT2,other,0.342
FREM1,other,-6.42
FREM2,other,-0.246
FREM3,other,0.605
FRG1,other,1.44
FRG2,other,4.38
FRG2B,other,5.22
FRG2C,other,2.8
FRK,approved,0.546
FRMD1,other,0.219
FRMD3,other,1.27
FRMD4A,other,1.19
FRMD4B,other,-1.36
FRMD5,other,1.82
FRMD6,other,1.02
FRMD7,other,0.398
FRMD8,other,1.15
FRMPD1,other,1.72
FRMPD2,other,2.32
FRMPD3,other,1.73
FRMPD4,other,2.67
FRRS1,other,0.855
FRRS1L,other,0.151
FRS2,other,1.59
FRS3,other,0.874
FRY,other,6.73
FRYL,other,4.14
FRZB,other,0.0365
FSBP,other,0.976
FSCB,other,-0.561
FSCN1,other,3.15
FSCN2,other,-1.79
FSCN3,other,0.881
FSD1,other,1.78
FSD1L,other,0.979
FSD2,other,-0.131
FSHB,other,0.141
FSHR,other,-1.91
FSIP1,other,-0.157
FSIP2,other,1.48
FST,other,2.69
FSTL1,other,0.913
FSTL3,other,-0.417
FSTL4,other,2.11
FSTL5,other,-0.747
FTCD,other,-1.46
FTCDNL1,other,-2.61
FTH1,other,2.24
FTHL17,other,0.366
FTL,other,1.14
FTMT,other,-1.66
FTO,in_trials,0.962
FTSJ1,other,2.99
FTSJ3,other,-0.147
FUBP1,other,3.38
FUBP3,other,2.67
FUCA1,other,0.431
FUCA2,other,1.12
FUNDC1,other,-0.0462
FUNDC2,other,1.8
FUOM,other,-0.272
FURIN,other,2.85
FUS,other,3.14
FUT1,other,0.32
POFUT3,other,0.668
POFUT4,other,-1.32
FUT2,other,0.925
FUT3,other,1.41
FUT4,other,-1.72
FUT5,other,1.51
FUT6,other,0.779
FUT7,other,0.555
FUT8,other,2.55
FUT9,other,2.2
FUZ,other,0.0868
FXN,other,0.0375
FXR1,other,4.51
FXR2,other,3.32
FXYD1,other,0.294
FXYD2,in_trials,-0.00891
FXYD3,other,0.341
FXYD4,other,0.293
FXYD5,other,-0.0367
FXYD6,other,0.207
FXYD6-FXYD2,other,-0.112
FXYD7,other,0.962
FYB1,other,-0.998
FYB2,other,-0.801
FYCO1,other,1.09
FYN,approved,5.82
FYTTD1,other,0.886
FZD1,other,0.784
FZD10,other,0.621
FZD2,other,4.22
FZD3,other,3.44
FZD4,other,1.24
FZD5,other,3.12
FZD6,other,1.82
FZD7,other,1.65
FZD8,other,2.7
FZD9,other,0.522
FZR1,other,4.03
G0S2,other,0.00286
G2E3,other,4.01
G3BP1,other,1.02
G3BP2,other,4.67
G6PC1,other,0.879
G6PC2,other,-0.3
G6PC3,other,1.34
G6PD,other,3.17
GAA,in_trials,-0.528
GAB1,other,1.84
GAB2,other,-0.119
GAB3,other,1.61
GAB4,other,-0.383
GABARAP,other,2.21
GABARAPL1,other,2.07
GABARAPL2,other,0.303
GABBR1,approved,6.45
GABBR2,approved,6.18
GABPA,other,5.36
GABPB1,other,4.1
GABPB2,other,1.36
GABRA1,in_trials,4.87
GABRA2,in_trials,4.8
GABRA3,in_trials,3.42
GABRA4,in_trials,2.93
GABRA5,in_trials,4.08
GABRA6,in_trials,-0.613
GABRB1,in_trials,3.32
GABRB2,in_trials,4.86
GABRB3,in_trials,5.22
GABRD,in_trials,2.46
GABRE,in_trials,-0.196
GABRG1,in_trials,0.0061
GABRG2,in_trials,4.52
GABRG3,in_trials,3.26
GABRP,in_trials,0.326
GABRQ,in_trials,0.0256
GABRR1,other,0.294
GABRR2,other,0.133
GABRR3,other,-0.0661
GAD1,other,4.16
GAD2,other,1.8
GADD45A,other,2.06
GADD45B,other,1.58
GADD45G,other,2.02
GADD45GIP1,other,0.481
GADL1,other,-1.79
GAGE1,other,2.04
GAGE10,other,0.438
GAGE12H,other,1.64
GAGE12J,other,1.99
GAGE2E,other,2.89
GAK,other,0.876
GAL,other,-0.184
GAL3ST1,other,2.4
GAL3ST2,other,-1.2
GAL3ST3,other,-1.26
GAL3ST4,other,-0.0641
GALC,other,-0.38
GALE,other,0.651
GALK1,other,0.522
GALK2,other,-0.358
GALM,other,-0.769
GALNS,other,-1.21
GALNT1,other,3.5
GALNT10,other,1.36
GALNT11,other,1.55
GALNT12,other,0.711
GALNT13,other,1.53
GALNT14,other,0.331
GALNT15,other,-0.342
GALNT16,other,1.75
GALNT17,other,2.97
GALNT18,other,1.42
GALNT2,other,2.11
GALNT3,other,0.759
GALNT4,other,-0.769
GALNT5,other,-0.0192
GALNT6,other,1.43
GALNT7,other,2.17
GALNT8,other,0.315
GALNT9,other,0.661
GALNTL5,other,0.07
GALNTL6,other,2.34
GALP,other,-0.545
GALR1,other,0.317
GALR2,other,-0.0952
GALR3,other,-0.445
GALT,other,1.7
GAMT,other,-1.54
GAN,other,-2.43
GANAB,other,3.44
GANC,other,-0.58
GAP43,other,0.0877
GAPDH,other,2.91
GAPDHS,other,0.825
GAPT,other,-0.52
GAPVD1,other,3.51
GAR1,other,0.819
GAREM1,other,0.99
GAREM2,other,2.2
GARNL3,other,3.02
GARRE1,other,1.98
GARS1,other,1.67
GART,in_trials,1.22
GAS1,other,-0.415
GAS2,other,0.824
GAS2L1,other,-0.313
GAS2L2,other,-0.31
GAS2L3,other,0.367
GAS6,in_trials,1.2
GAS7,other,3.27
DRC4,other,-1.3
GASK1A,other,1.05
GASK1B,other,-0.416
GAST,other,0.254
GATA1,other,1.67
GATA2,other,1.92
GATA3,other,1.66
GATA4,other,0.101
GATA5,other,-0.567
GATA6,other,0.809
GATAD1,other,1.75
GATAD2A,other,1.64
GATAD2B,other,4.65
GATB,other,0.229
GATC,other,-0.662
GATD1,other,-0.831
GATD3,other,1.51
GATD3B,other,2.74
GATM,other,2.63
GBA1,other,2.88
GBA2,other,1.82
GBA3,other,0.112
GBE1,other,-0.0139
GBF1,other,4.45
GBGT1,other,0.474
GBP1,other,1.19
GBP2,other,0.616
GBP3,other,1.39
GBP4,other,0.964
GBP5,other,-0.443
GBP6,other,0.0748
GBP7,other,0.367
GBX1,other,0.288
GBX2,other,0.487
GC,other,0.309
GCA,other,-0.632
GCAT,other,0.465
GCC1,other,0.876
GCC2,other,0.038
GCDH,other,1.5
GCFC2,other,-0.732
GCG,other,-0.000736
GCGR,approved,0.729
GCH1,other,1.75
GCHFR,other,-0.218
GCK,in_trials,3.35
GCKR,other,-0.0283
GCLC,other,3.39
GCLM,other,1.97
GCM1,other,2.64
GCM2,other,1.91
GCN1,other,6.08
GCNA,other,2.35
GCNT1,other,0.924
GCNT2,other,-1.82
GCNT3,other,-3.29
GCNT4,other,0.418
GCNT7,other,0.408
GCOM1,other,-0.457
GCSAM,other,0.627
GCSAML,other,0.357
GCSH,other,1.11
GDA,other,2.27
GDAP1,other,1.22
GDAP1L1,other,2.49
GDAP2,other,0.726
GDE1,other,0.733
GDF1,other,-0.408
GDF10,other,-1.48
GDF11,other,3.68
GDF15,other,-0.364
GDF2,in_trials,0.603
GDF3,other,-0.238
GDF5,other,0.749
GDF6,other,0.826
GDF7,other,0.0241
GDF9,other,-0.224
GDI1,other,4.77
GDI2,other,2.26
GDNF,other,0.729
GDPD1,other,2.43
GDPD2,other,1.79
GDPD3,other,1.11
GDPD4,other,-0.157
GDPD5,other,1.73
GDPGP1,other,0.8
GEM,other,0.788
GEMIN2,other,-0.314
GEMIN4,other,0.0933
GEMIN5,other,-0.284
GEMIN6,other,-2.06
GEMIN7,other,0.551
GEMIN8,other,0.622
GEN1,other,-0.128
GET1,other,0.313
GET1-SH3BGR,other,0.707
GET3,other,2.51
GET4,other,-2.06
GFAP,other,2.06
GFER,other,-0.507
GFI1,other,1.76
GFI1B,other,0.329
GFM1,other,0.91
GFM2,other,1.39
GFOD1,other,2.78
GFOD2,other,1.04
GFPT1,other,6.09
GFPT2,other,1.5
GFRA1,other,1.13
GFRA2,other,-0.383
GFRA3,other,2.33
GFRA4,other,0.508
GFRAL,other,-0.78
GFUS,other,-0.171
GFY,other,0.0972
GGA1,other,1.51
GGA2,other,0.0614
GGA3,other,-0.777
GGACT,other,-0.219
GGCT,other,0.414
GGCX,other,1.79
GGH,other,0.372
GGN,other,-0.909
GGNBP2,other,3.83
GGPS1,other,1.47
GGT1,other,4.88
GGT2P,other,7.55
GGT5,other,-0.161
GGT6,other,0.264
GGT7,other,2.39
GGTA1,other,-3.47
GGTLC1,other,0.126
GGTLC2,other,2.44
GGTLC3,other,2.5
GH1,other,-0.537
GH2,other,-0.824
GHDC,other,1.03
GHITM,other,0.201
GHR,in_trials,-0.423
GHRH,other,0.764
GHRHR,other,-0.177
GHRL,other,-1.82
GHSR,in_trials,-0.406
GID4,other,1.94
GID8,other,2.88
GIGYF1,other,-1.04
GIGYF2,other,2.98
GIMAP1,other,-0.233
GIMAP1-GIMAP5,other,0.322
GIMAP2,other,-0.563
GIMAP4,other,-0.156
GIMAP5,other,0.32
GIMAP6,other,0.595
GIMAP7,other,0.826
GIMAP8,other,-0.0908
GIMD1,other,-0.444
GIN1,other,0.0419
GINM1,other,0.446
GINS1,other,0.0808
GINS2,other,-2.49
GINS3,other,0.506
GINS4,other,0.745
GIP,other,-0.272
GIPC1,other,0.834
GIPC2,other,-0.511
GIPC3,other,0.0436
GIPR,in_trials,-0.9
GIT1,other,4.1
GIT2,other,3.25
GJA1,other,3.76
GJA10,other,-0.553
GJA3,other,0.845
GJA4,other,1.75
GJA5,other,1.35
GJA8,other,-0.973
GJA9,other,0.917
GJB1,other,2.97
GJB2,other,0.144
GJB3,other,0.392
GJB4,other,-0.16
GJB5,other,0.56
GJB6,other,0.681
GJB7,other,0.102
GJC1,other,3.56
GJC2,other,0.0312
GJC3,other,0.363
GJD2,other,2.86
GJD3,other,0.554
GJD4,other,-2.5
GJE1,other,-4.66
GK,other,5.55
GK2,other,0.429
GK3,other,2.96
GK5,other,2.49
GKAP1,other,0.815
GKN1,other,0.185
GKN2,other,-0.761
GLA,other,2.86
GLB1,other,0.859
GLB1L,other,0.128
GLB1L2,other,0.656
GLB1L3,other,0.0188
GLCCI1,other,-0.041
GLCE,other,2.93
GLDC,other,-1.44
GLDN,other,-1.08
GLE1,other,1.52
GLG1,other,1.45
GLI1,other,1.63
GLI2,other,1.05
GLI3,other,0.818
GLI4,other,-2.89
GLIPR1,other,0.979
GLIPR1L1,other,-0.369
GLIPR1L2,other,-1.23
GLIPR2,other,-0.148
GLIS1,other,0.496
GLIS2,other,0.614
GLIS3,other,-5.74
GLMN,other,1.18
GLMP,other,0.979
GLO1,other,-0.00544
GLOD4,other,-0.861
GLOD5,other,-0.661
GLP1R,in_trials,1.62
GLP2R,in_trials,2.12
GLRA1,other,2.57
GLRA2,other,3.18
GLRA3,other,1.02
GLRB,other,0.223
GLRX,other,0.919
GLRX2,other,0.0245
GLRX3,other,0.241
GLRX5,other,-0.518
GLS,in_trials,4.51
GLS2,other,3.14
GLT1D1,other,-0.29
GLT6D1,other,0.258
GLT8D1,other,0.831
GLT8D2,other,0.625
GLTP,other,1.35
GLTPD2,other,-0.493
GLUD1,other,4.43
GLUD2,other,1.93
GLUL,other,3.56
GLYAT,other,-1.3
GLYATL1,other,-0.256
GLYATL1B,other,-1.8
GLYATL2,other,-0.408
GLYATL3,other,-0.398
GLYCTK,other,0.0434
GLYR1,other,1.89
GM2A,other,-0.137
GMCL1,other,1.47
GMCL2,other,0.686
GMDS,other,2.32
GMEB1,other,3.25
GMEB2,other,2.47
GMFB,other,0.948
GMFG,other,0.553
GMIP,other,2.46
GML,other,0.222
GMNC,other,-0.0887
GMNN,other,0.458
GMPPA,other,1.6
GMPPB,other,0.987
GMPR,other,-0.287
GMPR2,other,0.74
GMPS,in_trials,3.66
GNA11,other,4.66
GNA12,other,2.25
GNA13,other,3.25
GNA14,other,-0.54
GNA15,other,-0.117
GNAI1,other,2.45
GNAI2,other,4.89
GNAI3,other,1.43
GNAL,other,3.48
GNAO1,other,6.1
GNAQ,other,5.88
GNAS,other,6.67
GNAT1,other,1.32
GNAT2,other,1.57
GNAT3,other,-0.514
GNAZ,other,4.97
GNB1,other,5.34
GNB1L,other,0.869
GNB2,other,3.67
GNB3,other,0.925
GNB4,other,2.16
GNB5,other,0.738
GNE,other,4.26
GNG10,other,1.34
GNG11,other,0.843
GNG12,other,0.69
GNG13,other,-0.683
GNG14,other,-2.87
GNG2,other,1.52
GNG3,other,1.5
GNG4,other,-0.0405
GNG5,other,1.1
GNG5B,other,-0.262
GNG7,other,0.262
GNG8,other,0.317
GNGT1,other,-0.594
GNGT2,other,0.815
GNL1,other,3.0
GNL2,other,0.736
GNL3,other,0.167
GNL3L,other,1.36
GNLY,other,0.279
GNMT,other,0.708
GNPAT,other,1.47
GNPDA1,other,2.3
GNPDA2,other,1.14
GNPNAT1,other,1.59
GNPTAB,other,1.75
GNPTG,other,-2.9
GNRH1,other,-0.209
GNRH2,other,-0.0572
GNRHR,in_trials,0.352
GNS,other,1.96
GOLGA1,other,1.62
GOLGA2,other,1.49
GOLGA3,other,0.301
GOLGA4,other,0.0122
GOLGA5,other,1.4
GOLGA6A,other,9.19
GOLGA6B,other,7.72
GOLGA6C,other,8.14
GOLGA6D,other,6.94
GOLGA6L1,other,5.12
GOLGA6L10,other,9.46
GOLGA6L2,other,2.08
GOLGA6L22,other,6.34
GOLGA6L4,other,5.14
GOLGA6L6,other,7.92
GOLGA6L7,other,3.38
GOLGA6L9,other,4.3
GOLGA7,other,1.74
GOLGA7B,other,1.58
GOLGA8A,other,6.07
GOLGA8B,other,5.54
GOLGA8F,other,4.03
GOLGA8G,other,3.69
GOLGA8H,other,4.79
GOLGA8J,other,6.69
GOLGA8K,other,8.96
GOLGA8M,other,4.67
GOLGA8N,other,5.14
GOLGA8O,other,5.35
GOLGA8Q,other,7.05
GOLGA8R,other,3.57
GOLGA8S,other,4.67
GOLGA8T,other,6.11
GOLGB1,other,2.22
GOLIM4,other,-0.0574
GOLM1,other,0.197
GOLM2,other,0.847
GOLPH3,other,0.94
GOLPH3L,other,0.982
GOLT1A,other,0.951
GOLT1B,other,0.519
GON4L,other,4.17
GON7,other,0.417
GOPC,other,2.07
GORAB,other,-0.0867
GORASP1,other,1.53
GORASP2,other,1.29
GOSR1,other,0.595
GOSR2,other,0.245
GOT1,other,2.62
GOT1L1,other,0.417
GOT2,other,2.34
GP1BA,in_trials,1.42
GP1BB,other,-0.22
GP2,other,0.337
GP5,other,-0.281
GP6,other,-0.817
GP9,other,0.377
GPA33,other,-0.337
GPAA1,other,0.63
GPALPP1,other,0.523
GPAM,other,1.83
GPANK1,other,-0.311
GPAT2,other,2.56
GPAT3,other,0.309
GPAT4,other,3.51
GPATCH1,other,1.09
GPATCH11,other,-0.513
GPATCH2,other,0.455
GPATCH2L,other,2.07
GPATCH3,other,0.117
GPATCH4,other,1.29
GPATCH8,other,2.39
GPBAR1,other,0.784
GPBP1,other,1.7
GPBP1L1,other,-0.296
GPC1,other,0.385
GPC2,other,0.736
GPC3,other,1.91
GPC4,other,2.6
GPC5,other,-0.558
GPC6,other,1.08
GPCPD1,other,3.22
GPD1,other,0.363
GPD1L,other,1.75
GPD2,in_trials,2.11
GPER1,other,1.74
GPHA2,other,0.443
GPHB5,other,0.288
GPHN,other,4.34
GPI,other,1.61
GPIHBP1,other,0.277
GPKOW,other,0.97
GPLD1,other,0.0986
GPM6A,other,2.57
GPM6B,other,2.08
GPN1,other,-0.0628
GPN2,other,-0.0127
GPN3,other,1.21
GPNMB,other,0.242
GPR101,other,0.771
GPR107,other,1.55
GPR108,other,0.583
GPR119,in_trials,1.74
GPR12,other,2.08
GPR132,other,2.04
GPR135,other,-0.775
GPR137,other,1.31
GPR137B,other,0.132
GPR137C,other,0.232
GPR139,other,1.41
GPR141,other,0.0188
GPR142,other,0.455
GPR143,other,0.923
GPR146,other,-4.87
GPR148,other,0.231
GPR149,other,-1.25
GPR15,other,-0.589
GPR150,other,-1.3
GPR151,other,-0.0887
GPR152,other,1.17
GPR153,other,0.177
GPR155,other,2.61
GPR156,other,1.27
GPR157,other,0.411
GPR158,other,0.662
GPR160,other,0.71
GPR161,other,2.14
GPR162,other,1.48
GPR17,other,-0.0168
GPR171,other,0.918
GPR173,other,3.2
GPR174,other,0.909
GPR176,other,1.13
GPR179,other,1.82
GPR18,other,0.694
GPR180,other,-0.111
ACKR5,other,0.324
GPR183,other,1.59
GPR19,other,1.81
GPR20,other,0.619
GPR21,other,0.265
GPR22,other,2.67
GPR25,other,0.0384
GPR26,other,2.19
GPR27,other,0.718
GPR3,other,2.1
GPR31,other,0.138
GPR32,other,0.423
GPR33,other,-0.0233
GPR34,other,1.99
GPR35,other,1.05
GPR37,other,1.11
GPR37L1,other,0.981
GPR39,other,-0.775
GPR4,other,2.52
GPR42,other,5.88
GPR45,other,1.09
GPR50,other,-0.241
GPR52,other,0.72
GPR55,other,0.634
GPR6,other,0.362
GPR61,other,3.24
GPR62,other,0.522
GPR63,other,0.82
GPR65,other,0.435
GPR68,other,0.0956
GPR75,other,-0.608
GPR78,other,-2.19
GPR82,other,0.123
GPR83,other,-1.35
GPR84,in_trials,1.43
GPR85,other,2.93
GPR87,other,-0.133
GPR88,other,2.15
GPHRA,other,6.33
GPHRB,other,6.11
GPRASP1,other,1.57
GPRASP2,other,1.51
GPRC5A,other,-0.399
GPRC5B,other,2.13
GPRC5C,other,0.701
GPRC5D,approved,0.821
GPRC6A,other,-0.0832
GPRIN1,other,0.249
GPRIN2,other,-4.79
GPRIN3,other,-0.693
GPS1,other,2.08
GPS2,other,0.863
GPSM1,other,-0.115
GPSM2,other,1.73
GPSM3,other,0.824
GPT,other,-2.4
GPT2,other,2.6
GPX1,other,0.463
GPX2,other,0.238
GPX3,other,0.217
GPX4,other,-2.14
GPX5,other,0.957
GPX6,other,0.58
GPX7,other,-0.0182
GPX8,other,0.739
GRAMD1A,other,2.18
GRAMD1B,other,1.63
GRAMD1C,other,0.407
GRAMD2A,other,0.266
GRAMD2B,other,1.46
GRAMD4,other,2.97
GRAP,other,2.12
GRAP2,other,1.11
GRB10,other,3.12
GRB14,other,0.00184
GRB2,in_trials,4.58
GRB7,other,1.34
GREB1,other,2.65
GREB1L,other,6.23
GREM1,other,1.36
GREM2,other,0.245
GRHL1,other,2.75
GRHL2,other,2.42
GRHL3,other,1.94
GRHPR,other,1.12
GRIA1,in_trials,4.71
GRIA2,in_trials,6.67
GRIA3,in_trials,5.7
GRIA4,in_trials,4.46
GRID1,other,2.67
GRID2,other,0.886
GRID2IP,other,-0.505
GRIFIN,other,-0.307
GRIK1,in_trials,0.727
GRIK2,in_trials,3.47
GRIK3,in_trials,4.15
GRIK4,in_trials,3.08
GRIK5,in_trials,4.21
GRIN1,in_trials,8.46
GRIN2A,approved,3.78
GRIN2B,in_trials,8.08
GRIN2C,in_trials,-0.697
GRIN2D,in_trials,3.45
GRIN3A,in_trials,0.79
GRIN3B,in_trials,-2.4
GRINA,other,0.126
GRIP1,other,2.29
GRIP2,other,1.72
GRIPAP1,other,2.57
GRK1,other,-0.523
GRK2,other,4.47
GRK3,other,2.96
GRK4,other,-0.464
GRK5,other,2.5
GRK6,other,3.42
GRK7,other,1.02
GRM1,other,3.75
GRM2,other,3.38
GRM3,other,3.37
GRM4,other,4.06
GRM5,other,4.58
GRM6,other,0.0654
GRM7,other,2.36
GRM8,other,1.52
GRN,other,1.09
GRP,other,-0.834
GRPEL1,other,-0.64
GRPEL2,other,0.75
GRPR,other,0.835
GRSF1,other,-1.02
GRTP1,other,-1.04
GRWD1,other,0.46
GRXCR1,other,-0.557
GRXCR2,other,-0.283
GSAP,other,-0.0776
GSC,other,0.0477
GSC2,other,-2.06
GSDMA,other,0.0105
GSDMB,other,0.583
GSDMC,other,-1.06
GSDMD,other,-0.172
GSDME,other,-1.02
GSE1,other,-6.71
GSG1,other,0.196
GSG1L,other,0.534
GSG1L2,other,-4.72
GSK3A,in_trials,3.43
GSK3B,in_trials,4.02
GSKIP,other,0.548
GSN,other,1.67
GSPT1,other,3.47
GSPT2,other,3.23
GSR,approved,0.149
GSS,other,1.68
GSTA1,other,-0.964
GSTA2,other,-1.11
GSTA3,other,-1.46
GSTA4,other,0.476
GSTA5,other,-1.88
GSTCD,other,-0.0482
GSTK1,other,0.0094
GSTM1,other,3.21
GSTM2,other,1.38
GSTM3,other,0.397
GSTM4,other,0.882
GSTM5,other,-0.711
GSTO1,other,0.777
GSTO2,other,-0.00475
GSTP1,in_trials,-0.0248
GSTT2,other,2.48
GSTT2B,other,6.25
GSTZ1,other,0.226
GSX1,other,0.0236
GSX2,other,-0.403
QTMAN,other,0.681
GTF2A1,other,2.17
GTF2A1L,other,-3.07
GTF2A2,other,1.32
GTF2B,other,3.36
GTF2E1,other,1.6
GTF2E2,other,0.937
GTF2F1,other,0.975
GTF2F2,other,0.658
GTF2H1,other,2.52
GTF2H2,other,4.26
GTF2H2C,other,4.08
GTF2H3,other,0.893
GTF2H4,other,1.91
GTF2H5,other,0.14
GTF2I,other,5.47
GTF2IRD1,other,4.97
GTF2IRD2,other,9.43
GTF2IRD2B,other,8.98
GTF3A,other,-0.742
GTF3C1,other,4.53
GTF3C2,other,3.22
GTF3C3,other,2.87
GTF3C4,other,2.68
GTF3C5,other,0.712
GTF3C6,other,0.874
GTPBP1,other,3.9
GTPBP10,other,-0.167
GTPBP2,other,4.61
GTPBP3,other,-0.0936
GTPBP4,other,-0.806
GTPBP6,other,-2.08
GTPBP8,other,-0.666
GTSE1,other,0.34
GTSF1,other,1.66
GTSF1L,other,0.408
GUCA1A,other,-0.0434
CIMIP3,other,-2.85
GUCA1B,other,1.0
GUCA1C,other,-0.825
GUCA2A,other,-1.22
GUCA2B,other,0.0906
GUCD1,other,0.647
GUCY1A1,in_trials,0.316
GUCY1A2,in_trials,2.05
GUCY1B1,in_trials,3.4
GUCY2C,in_trials,1.69
GUCY2D,other,0.896
GUCY2F,other,-0.843
GUF1,other,-0.239
GUK1,other,0.402
GULP1,other,1.12
GUSB,other,1.72
GVQW3,other,0.086
GXYLT1,other,1.15
GXYLT2,other,-0.12
GYG1,other,-0.211
GYG2,other,0.34
GYPA,other,0.372
GYPB,other,-0.932
GYPC,other,-1.72
GYPE,other,0.125
GYS1,other,1.55
GYS2,other,-0.381
GZF1,other,1.67
GZMA,other,0.237
GZMB,other,-0.626
GZMH,other,-1.01
GZMK,other,-0.52
GZMM,other,-0.473
H1-0,other,0.303
H1-1,other,-6.67
H1-10,other,-0.225
H1-2,other,-10.9
H1-3,other,-10.2
H1-4,other,-9.0
H1-5,other,-5.86
H1-6,other,-7.92
H1-7,other,-0.907
H1-8,other,0.554
H2AB1,other,4.28
H2AC1,other,-1.43
H2AC11,other,-0.332
H2AC12,other,-1.91
H2AC13,other,1.79
H2AC14,other,1.25
H2AC15,other,-1.91
H2AC16,other,-1.12
H2AC17,other,-0.997
H2AC20,other,1.67
H2AC21,other,0.156
H2AC4,other,-2.53
H2AC6,other,0.846
H2AC7,other,-3.47
H2AC8,other,1.17
H2AJ,other,1.5
H2AP,other,-0.46
H2AC25,other,0.661
H2AX,other,2.89
H2AZ1,other,4.55
H2AZ2,other,4.03
H2BC1,other,-1.72
H2BC10,other,-0.734
H2BC11,other,-1.46
H2BC12,other,1.9
H2BC13,other,0.209
H2BC14,other,-2.32
H2BC15,other,0.7
H2BC17,other,0.0199
H2BC18,other,2.21
H2BC21,other,2.41
H2BC3,other,-1.96
H2BC4,other,-0.239
H2BC5,other,-0.204
H2BC6,other,-1.38
H2BC7,other,-1.89
H2BC8,other,-0.988
H2BC9,other,-1.68
H2BK1,other,0.246
H2BC26,other,-0.206
H2BW1,other,-0.186
H2BW2,other,-2.03
H3-7,other,-0.388
H3-3A,other,5.57
H3-3B,other,4.6
H3-4,other,-2.87
H3-5,other,0.34
H3C1,other,-4.12
H3C10,other,0.985
H3C11,other,-0.139
H3C12,other,0.752
H3C13,other,0.716
H3C2,other,1.44
H3C3,other,-0.427
H3C4,other,-0.71
H3C6,other,-3.19
H3C7,other,0.83
H3C8,other,-1.23
H3Y1,other,-2.96
H3Y2,other,-1.66
