gene,score_full,rank_pctile_full,is_pos_at_T0,is_emergent,is_holdout,in_pool,score_genetics,rank_pctile_genetics
A1BG,0.14317405980136527,0.085626581937638,False,False,False,True,0.16936143794700728,0.11201464806936291
A1CF,0.3014347926534788,0.4793472992622112,False,False,False,True,0.2739815701062631,0.3697021918250848
A2M,0.34423353391975614,0.5675588346168345,False,False,False,True,0.5925181244485941,0.8112984005600732
A2ML1,0.3262444048514826,0.5277613226344984,False,False,False,True,0.30897344164739404,0.4571059292369002
A3GALT2,0.14056558778443312,0.07744089611718455,False,False,False,True,0.09689880351578524,0.00581614518821692
A4GALT,0.2724632144947747,0.41569282136894825,False,False,False,True,0.17980518682518198,0.1335559265442404
A4GNT,0.3111179437392797,0.4985190371048522,False,False,False,True,0.2690226557163092,0.3603855888847003
AAAS,0.31700878317032627,0.5099359146965372,False,False,False,True,0.24266975526534132,0.30125477947116164
AACS,0.2581709399819374,0.3809575098282083,False,False,False,True,0.2741435968558195,0.3699176046098336
AADAC,0.4106050108117287,0.6658947708546502,False,False,False,True,0.38969741919727036,0.6267973504227476
AADACL2,0.27366872575848994,0.4184931875706823,False,False,False,True,0.24470001064015157,0.30658624589369377
AADACL3,0.2295097938584323,0.3057784479508859,False,False,False,True,0.22885232905496905,0.2644191932791211
AADACL4,0.2750235999172384,0.42258603048090904,False,False,False,True,0.30696236718483644,0.45161290322580644
AADAT,0.5496640448667565,0.7930421670526145,False,False,False,True,0.5224645724710153,0.7487209865905542
AAGAB,0.17837238804038083,0.16602940384511822,False,False,False,True,0.2914577327972772,0.41052291453497763
AAK1,0.64005908874365,0.8558888470030697,False,False,False,True,0.6867326899980888,0.8660671010824492
AAMDC,0.25416794453500485,0.3696483386288976,False,False,False,True,0.3666437167902382,0.591900479293446
AAMP,0.8013790873240452,0.9557326727341268,False,False,False,True,0.6842138733790846,0.8650977435510797
AANAT,0.28841097083822564,0.45161290322580644,False,False,False,True,0.2996002439428214,0.43174107383273197
AAR2,0.12524230703711509,0.035219990306424684,False,False,False,True,0.3337453143298626,0.5167214174161237
AARD,0.26642988401291956,0.4006677796327212,False,False,False,True,0.18892817607327322,0.16005169906833971
AARS1,0.42482893837957963,0.6839894447735473,False,False,False,True,0.26276030368646797,0.3477300877807098
AARS2,0.5214298748307757,0.7724163929129194,False,False,False,True,0.585082192237329,0.8046206042328612
AARSD1,0.27632696630091086,0.42576336905595347,False,False,False,True,0.3059332442222809,0.448435564650762
AASDH,0.09050354678183795,0.004631374872098659,False,False,False,True,0.22257456701248884,0.24578598739835208
AASDHPPT,0.165192463491112,0.13630243954978727,False,False,False,True,0.2228700589388609,0.24659378534116
AASS,0.2477550463535678,0.35333082018417794,False,False,False,True,0.34942805669715055,0.5569497549679574
AATF,0.3400103341449391,0.559911680758253,False,False,False,True,0.21755169211614012,0.2311917712316226
LMTK1,0.13074949067936936,0.042167052614572674,False,False,False,True,0.09836510705009935,0.008024126231891863
ABAT,0.2084571926235245,0.24530130863266736,False,False,False,True,0.24448317296916458,0.3057245947546987
ABCA1,0.6650774228267181,0.87296031019441,False,False,False,True,0.6077963642584971,0.8225537185631967
ABCA10,0.2628787719865435,0.3920512682427702,False,False,False,True,0.2962418419798625,0.42344768161990415
ABCA12,0.6206940360105218,0.8424794011524585,False,False,False,True,0.5835098833894011,0.8034896871129301
ABCA13,0.2809210145836554,0.43718024664763855,False,False,False,True,0.2979115868734224,0.4273789649415693
ABCA2,0.8333692162464826,0.9732888146911519,False,False,False,True,0.8270034252068935,0.9699499165275459
ABCA3,0.3039116354241055,0.48403252733049706,False,False,False,True,0.4033001437783241,0.644730464753083
ABCA4,0.3254396894469333,0.5255533415908235,False,False,False,True,0.3150592207459349,0.4717539985998169
ABCA5,0.3009876844846658,0.4784856481232161,False,False,False,True,0.24454072038383048,0.3058861543432603
ABCA6,0.20492258042097092,0.23603855888847003,False,False,False,True,0.1381834650784731,0.06903979751198233
ABCA7,0.3665260853131815,0.604394420808875,False,False,False,True,0.10708377170091381,0.03193494533900587
ABCA8,0.2507816622299807,0.36243201033981365,False,False,False,True,0.26992369998170407,0.3622165975550649
ABCA9,0.44146144329285136,0.7006300823953902,False,False,False,True,0.2967726854341371,0.4247401583283968
ABCB1,0.8366047367453575,,False,False,True,False,0.7038089784979821,
ABCB10,0.6920810859215442,0.8897086542086273,False,False,False,True,0.44475662867127336,0.6902364155312618
ABCB11,0.3084523678582332,0.4939415154289407,False,False,False,True,0.286862324942187,0.39684420270343046
ABCB4,0.7176178654438348,0.9044105767677312,False,False,False,True,0.6726760619182877,0.8590123323819269
ABCB5,0.38657119600617107,0.6333674403575852,False,False,False,True,0.35607841150395236,0.5705746136033174
ABCB6,0.4806695454513904,0.7376272281759922,False,False,False,True,0.3319462042340298,0.5123593085249609
ABCB7,0.5748824972372789,0.8111906941676988,False,False,False,True,0.7638067759000338,0.924659378534116
ABCB8,0.16905984907138227,0.14626528084441812,False,False,False,True,0.23258659251109517,0.27422047498519037
ABCB9,0.2040854147848139,0.23361516506004631,False,False,False,True,0.31391126862939844,0.46986913673326514
ABCC1,0.3992157712274668,0.6501696375679896,False,False,False,True,0.45503475433405566,0.7006300823953902
ABCC10,0.3014348634347624,0.4794011524583984,False,False,False,True,0.4040861483283189,0.6463999138348862
ABCC11,0.3217346769842235,0.5196294900102321,False,False,False,True,0.34116554591390824,0.5354623296892671
ABCC12,0.44241695293230027,0.7016532931229469,False,False,False,True,0.4861700978860184,0.722279067262642
ABCC2,0.1654008263485686,0.13694867790403362,False,False,False,True,0.25900401681812885,0.34056761268781305
ABCC3,0.1805870181583252,0.17087619150196565,False,False,False,True,0.2270427233702743,0.25903387366040176
ABCC4,0.5587052197754383,0.7999353761645753,False,False,False,True,0.5249397261440754,0.7508751144380419
ABCC5,0.6894877378757184,0.8879314987344499,False,False,False,True,0.7496893150684161,0.9120038774301255
ABCC6,0.4102074558561172,0.6654100920889655,False,False,False,True,0.388343720879387,0.6246432225752598
ABCC8,0.5912565837800503,,False,False,True,False,0.647645338922739,
ABCC9,0.8030736729502678,,False,False,True,False,0.7945118939876556,
ABCD1,0.713525693223934,0.901879476546933,False,False,False,True,0.6345119131634934,0.8382788518498573
ABCD2,0.6075876789852745,0.8345091281167537,False,False,False,True,0.5240672046965268,0.7504442888685443
ABCD3,0.6254104270922894,0.8458182993160644,False,False,False,True,0.6318484208717638,0.8366632559642415
ABCD4,0.15421331727351897,0.10732942000107706,False,False,False,True,0.20561035711031694,0.2003877430125478
ABCE1,0.8605120663691048,0.9824438580429748,False,False,False,True,0.8497741354836358,0.9811513813344822
ABCF1,0.8404664681647634,0.9764661532661963,False,False,False,True,0.7140047072154011,0.8829231514890409
ABCF2,0.7545706734136881,0.9286445150519683,False,False,False,True,0.7450254868129789,0.9078571813237115
ABCF2-H2BK1,0.749115559352836,0.9254671764769239,False,False,False,True,0.7308269208155308,0.8944477354731003
ABCF3,0.2360492752148555,0.321934406807044,False,False,False,True,0.3369333444497524,0.5244762776670795
ABCG1,0.593240580809903,0.8245462868221229,False,False,False,True,0.6311398678019567,0.8363401367871183
ABCG2,0.1934531393344514,0.20345737519521784,False,False,False,True,0.15585643549760184,0.08772685658893856
ABCG4,0.696882115169005,0.8921859012332382,False,False,False,True,0.6757598356767134,0.861004900640853
ABCG5,0.16108288649808278,0.12558565350853573,False,False,False,True,0.12693658847399433,0.06133879045721363
ABCG8,0.16171584880412226,0.12811675372933384,False,False,False,True,0.10484046310261645,0.02886531315633583
ABHD1,0.18246911327147114,0.17529215358931552,False,False,False,True,0.1568164348679503,0.08993483763261349
ABHD10,0.3236831815706359,0.5230222413700253,False,False,False,True,0.21543061183859605,0.22446012170822338
ABHD11,0.33314678924424307,0.5454251709838979,False,False,False,True,0.19184286938029893,0.1671064677688621
ABHD12,0.1055977894900701,0.013732565027734397,False,False,False,True,0.2146577450327384,0.22279067262642038
ABHD12B,0.19889339748205562,0.22117507674080455,False,False,False,True,0.20876799358261955,0.2080348968711293
ABHD13,0.3357606230645764,0.5514567289568636,False,False,False,True,0.5007679509569187,0.7322957617534601
ABHD14A,0.2588048859981436,0.38257310571382414,False,False,False,True,0.3172321716445175,0.4760084010986052
ABHD14A-ACY1,0.30372103905738,0.4837632613495611,False,False,False,True,0.28003616209584054,0.3810652162205827
ABHD14B,0.31232125430535046,0.5006731649523399,False,False,False,True,0.34717135498156915,0.5516721417416124
ABHD15,0.24462860575592033,0.34692228983790185,False,False,False,True,0.15921557953163068,0.09397382734665302
ABHD16A,0.5578367815694617,0.7992891378103291,False,False,False,True,0.5219804707484029,0.7481824546286822
ABHD16B,0.21321853429843218,0.2577413969519091,False,False,False,True,0.2501343573897313,0.32231137918035435
ABHD17A,0.5555600260720035,0.7974042759437773,False,False,False,True,0.6468055280029471,0.8453336205503796
ABHD17B,0.4414844078829094,0.7006839355915774,False,False,False,True,0.5935689061880112,0.8122139048952556
ABHD17C,0.8133311844906028,0.9639183585545802,False,False,False,True,0.7534601928628221,0.9157197479670418
ABHD18,0.16241657184530991,0.12946308363401368,False,False,False,True,0.36999470537359064,0.5986859820130325
