gene,group,residual
ARFGAP3,non-target,19.386392781456426
ARFGEF1,non-target,-43.27277192619084
ARFGEF2,non-target,-30.254903757061623
ARFIP1,non-target,-4.000656671618251
ARFIP2,non-target,-17.993578078537155
ARFRP1,non-target,-31.506224233721053
ARG2,non-target,21.627053292193462
ARGLU1,non-target,-32.12028435832503
ARHGAP1,non-target,-18.29558101250214
ARHGAP10,non-target,5.833177610551455
ARHGAP11A,non-target,2.693313962256198
ARHGAP11B,non-target,-13.615176972743422
ARHGAP12,non-target,26.33453841322553
ARHGAP15,non-target,34.61804175880255
ARHGAP17,non-target,-30.04750563230468
ARHGAP18,non-target,36.17881408851042
ARHGAP19,non-target,-2.4281148494267293
ARHGAP21,non-target,6.7395059163921305
ARHGAP23,non-target,-2.6487010484395026
ARHGAP25,non-target,18.288006171389455
ARHGAP26,non-target,7.7298972947674995
ARHGAP27,non-target,-11.232833961666408
ARHGAP30,non-target,3.407176027316339
ARHGAP31,non-target,21.131608311412915
ARHGAP32,non-target,-7.792325139347237
ARHGAP33,non-target,2.6642299564412917
ARHGAP35,non-target,-9.486673605158993
ARHGAP45,non-target,29.329565873058637
ARHGAP5,non-target,27.856294106110383
ARHGAP9,non-target,29.369451448321175
ARHGDIA,non-target,-0.2048538819861534
ARHGDIB,non-target,-8.819183929872793
ARHGEF1,non-target,22.519123077300417
ARHGEF10,non-target,0.7875116645641859
ARHGEF11,non-target,4.193154540251376
ARHGEF12,non-target,73.06633592086325
ARHGEF18,non-target,0.8295207641825565
ARHGEF19,non-target,-16.579268981945745
ARHGEF2,non-target,-10.02081179713376
ARHGEF39,non-target,11.833294581059464
ARHGEF5,non-target,2.345087597282761
ARHGEF6,non-target,2.33924611427976
ARHGEF7,non-target,-14.960478996300912
ARHGEF9,non-target,22.74884417764557
ARID1A,non-target,-42.747908748773845
ARID1B,non-target,-16.178397416273334
ARID2,non-target,-13.585487773952792
ARID3A,non-target,11.037310458495986
ARID3B,non-target,7.855126894245679
ARID4A,non-target,4.9554101852178745
ARID4B,non-target,29.30409771541187
ARID5A,non-target,82.01313044088387
ARID5B,non-target,41.793281804004565
ARIH1,non-target,-41.23399174390716
ARIH2,non-target,-7.660951922997715
ARL1,non-target,-24.29839729053579
ARL10,non-target,6.101814397476969
ARL13B,non-target,0.7466342614144109
ARL14EP,non-target,-32.48577696818791
ARL15,non-target,-13.30663960582047
ARL16,non-target,-22.717336016072156
ARL2,non-target,22.338761705889137
ARL2BP,non-target,19.699414524324187
ARL3,non-target,37.01695288651798
ARL4A,non-target,1.6116716201218892
ARL4C,non-target,23.502148767534607
ARL4D,non-target,-11.34096757708604
ARL5A,non-target,-4.643786981021584
ARL5B,non-target,-9.924690150530518
ARL6,non-target,-12.392921438197623
ARL6IP1,non-target,20.392866951279085
ARL6IP4,non-target,-32.665815639797266
ARL6IP5,non-target,29.56130927566544
ARL6IP6,non-target,9.33246442452492
ARL8A,non-target,5.925870764085867
ARL8B,non-target,-12.977460570383224
ARL9,non-target,-11.60789460766889
ARMC1,non-target,-47.18687793867995
ARMC10,non-target,-26.15339325930994
ARMC12,non-target,7.449740203431895
ARMC2,non-target,7.23633818790844
ARMC5,non-target,-10.480719579171575
ARMC6,non-target,-4.0025552310018595
ARMC7,non-target,-23.182232759821073
ARMC8,non-target,-45.869284796431494
ARMC9,non-target,23.256864925328177
