gene,core,pctile_genetics,pctile_full,rank_shift,cov_class,gen_dec
ADD2,none,0.7958158137626911,0.758024817967388,-0.037790995795303095,both,7
ADD3,none,0.34909240077940723,0.6513690903497077,0.30227668957030046,both,3
ADGB,none,0.04558506819813352,0.44364680545585067,0.39806173725771715,obs,0
ADGRA1,none,0.3035073325812737,0.43774997436160396,0.13424264178033024,none,3
ADGRA2,none,0.5787611527022869,0.5620449184699006,-0.01671623423238633,obs,5
ADGRA3,none,0.6141934160598913,0.733976002461286,0.11978258640139472,both,6
ADGRB1,none,0.9347759204184186,0.9716439339554918,0.03686801353707314,obs,9
ADGRB2,none,0.968874987180802,0.9105219977438211,-0.05835298943698086,both,9
ADGRB3,none,0.8570915803507333,0.9361091170136396,0.07901753666290634,obs,8
ADGRD1,none,0.45215875294841557,0.5814275458927289,0.12926879294431337,obs,4
ADGRD2,none,0.37191057327453597,0.3200697364372885,-0.051840836837247495,none,3
ADGRE1,none,0.36150138447338737,0.7821249102656138,0.42062352579222645,both,3
ADGRE2,none,0.7839195979899497,0.8916521382422316,0.10773254025228185,both,7
ADGRE3,none,0.19485181007076197,0.34914367757153114,0.15429186750076918,none,1
ADGRE5,none,0.606758281201928,0.7414624141113731,0.13470413290944516,both,6
ADGRF1,none,0.5198953953440673,0.3602707414624141,-0.15962465388165314,none,5
ADGRF3,none,0.6113731924930776,0.5650702492052098,-0.04630294328786788,none,6
ADGRF4,none,0.048200184596451645,0.09727207465900933,0.04907189006255769,none,0
ADGRF5,none,0.6108604245718388,0.6182442826376782,0.00738385806583941,none,6
ADGRG1,none,0.45246641370115886,0.8517075171777254,0.39924110347656655,both,4
ADGRG2,none,0.7487437185929648,0.869244180084094,0.12050046149112914,obs,7
ADGRG3,none,0.2996102963798585,0.3266844426212696,0.027074146241411134,none,2
ADGRG4,none,0.13142241821351655,0.1349605168700646,0.0035380986565480554,none,1
ADGRG5,none,0.5651215259973336,0.7026971592657163,0.13757563326838274,both,5
ADGRG6,none,0.5727104912316685,0.7184904112398728,0.14577992000820428,obs,5
ADGRG7,none,0.3506819813352477,0.2994564660034868,-0.051225515331760896,none,3
ADGRL1,none,0.8872936109117013,0.9150856322428469,0.027792021331145556,both,8
ADGRL2,none,0.8981642908419649,0.9359040098451441,0.037739719003179184,obs,8
