group,background,n,n_iei,p_iei,OR,OR_lo,OR_hi,p,p_holm,is_reference,stars,label_text
Targets of approved immune drugs,all_genes,340,56,0.16470588235294117,9.00552683187734,6.648663606596104,12.197866867441496,1.0655118486614154e-30,4.2620473946456615e-30,False,****,9.0 (6.6–12.2) ****
Targets of approved immune drugs,druggable,340,56,0.16470588235294117,5.731455399061033,4.081633003130901,8.048146652633372,1.3789139250616037e-19,4.136741775184811e-19,False,****,5.7 (4.1–8.0) ****
Targets of immune drugs in trials,all_genes,734,49,0.0667574931880109,3.266968493024115,2.404531878206831,4.438736384053125,2.8678359163260238e-11,5.7356718326520475e-11,False,****,3.3 (2.4–4.4) ****
Targets of immune drugs in trials,druggable,734,49,0.0667574931880109,2.079221411192214,1.4766282709080558,2.927725116695486,5.9650876857379166e-05,5.9650876857379166e-05,False,****,2.1 (1.5–2.9) ****
All other genes,all_genes,18435,395,0.02142663411988066,1.0,,,,,True,,"1.0 — all other genes (n=18,435)"
Druggable genome,druggable,3608,120,0.03325942350332594,1.0,,,,,True,,"1.0 — druggable genome (n=3,608)"
