group,n,median,mean,q25,q75
approved,340,0.8747564352374115,0.7828068916008614,0.6669572351553688,0.9622474617987897
in-trial,727,0.693980104604656,0.6254207059777455,0.3853450928109937,0.8811403958568351
non-target,18435,0.4863603732950466,0.4898651914081847,0.24276997231053227,0.734411855194339
