block,weak_lift,strong_lift
Trans-regulatory residual,-0.0014956501817643,0.0283308576864663
Regulatory burden,0.0003143100475376,0.0020447144866188
Cytokine regulation,0.0072850084351503,0.0004642386880798
Cytokine-receptor regulation,-0.0050862350359315,0.0026892464400315
Polarization knockdown-coefficients,-0.0036525155746449,0.0154474654851493
Coverage flags,0.0055909936900511,0.0172409552512554
