gene,culture_condition,n_sig
ACADM,Stim8hr,0
ACADS,Rest,0
ACADS,Stim48hr,0
ACADS,Stim8hr,0
ACADSB,Rest,0
ACADSB,Stim48hr,0
ACADSB,Stim8hr,0
ACADVL,Rest,0
ACADVL,Stim48hr,0
ACADVL,Stim8hr,0
ACAP1,Rest,0
ACAP1,Stim48hr,0
ACAP1,Stim8hr,1
ACAP2,Rest,0
ACAP2,Stim48hr,0
ACAP2,Stim8hr,0
ACAP3,Rest,0
ACAP3,Stim48hr,0
ACAP3,Stim8hr,0
ACAT1,Rest,0
ACAT1,Stim48hr,0
ACAT1,Stim8hr,0
ACAT2,Rest,0
ACAT2,Stim48hr,0
ACAT2,Stim8hr,0
ACBD3,Rest,0
ACBD3,Stim48hr,0
ACBD3,Stim8hr,0
ACBD4,Rest,0
ACBD4,Stim48hr,0
ACBD4,Stim8hr,0
ACBD5,Rest,0
ACBD5,Stim48hr,0
ACBD5,Stim8hr,0
ACBD6,Rest,0
ACBD6,Stim48hr,0
ACBD6,Stim8hr,0
ACCS,Rest,0
ACCS,Stim48hr,0
ACCS,Stim8hr,0
ACD,Stim48hr,0
ACE,Rest,0
ACE,Stim48hr,0
ACE,Stim8hr,0
ACER1,Rest,0
ACER1,Stim48hr,0
ACER1,Stim8hr,0
ACER2,Rest,0
ACER2,Stim48hr,0
ACER2,Stim8hr,0
ACER3,Rest,0
ACER3,Stim48hr,0
ACER3,Stim8hr,0
ACIN1,Rest,0
ACIN1,Stim48hr,0
ACIN1,Stim8hr,0
ACKR3,Rest,0
ACKR3,Stim48hr,0
ACKR3,Stim8hr,0
ACLY,Rest,0
ACLY,Stim48hr,7
ACLY,Stim8hr,0
ACO1,Rest,0
ACO1,Stim48hr,0
ACO1,Stim8hr,0
ACO2,Rest,0
ACO2,Stim48hr,0
ACO2,Stim8hr,0
ACOT13,Rest,0
ACOT13,Stim48hr,0
ACOT13,Stim8hr,0
ACOT2,Rest,0
ACOT2,Stim48hr,0
ACOT2,Stim8hr,0
ACOT4,Rest,0
ACOT4,Stim48hr,0
ACOT4,Stim8hr,0
ACOT7,Rest,0
ACOT7,Stim48hr,0
ACOT7,Stim8hr,0
ACOT8,Rest,0
ACOT8,Stim48hr,0
ACOT8,Stim8hr,0
ACOT9,Rest,0
ACOT9,Stim48hr,0
ACOT9,Stim8hr,0
ACOX1,Rest,0
ACOX1,Stim48hr,0
ACOX1,Stim8hr,0
ACOX3,Rest,0
ACOX3,Stim48hr,0
ACOX3,Stim8hr,0
ACP1,Rest,0
ACP1,Stim48hr,0
ACP1,Stim8hr,0
ACP2,Rest,0
ACP2,Stim48hr,0
ACP2,Stim8hr,0
ACP5,Rest,0
ACP5,Stim48hr,0
ACP5,Stim8hr,0
ACP6,Rest,0
ACP6,Stim48hr,0
ACP6,Stim8hr,0
ACRBP,Rest,0
ACRBP,Stim48hr,0
ACRBP,Stim8hr,0
ACSF2,Rest,0
ACSF2,Stim48hr,0
ACSF2,Stim8hr,0
ACSF3,Rest,0
ACSF3,Stim48hr,0
ACSF3,Stim8hr,0
ACSL1,Rest,0
ACSL1,Stim48hr,0
ACSL1,Stim8hr,0
ACSL3,Rest,0
ACSL3,Stim48hr,0
ACSL3,Stim8hr,0
ACSL4,Rest,0
ACSL4,Stim48hr,0
ACSL4,Stim8hr,0
ACSL5,Rest,0
ACSL5,Stim48hr,0
ACSL5,Stim8hr,0
ACSL6,Rest,1
ACSL6,Stim48hr,0
ACSL6,Stim8hr,0
ACSM3,Rest,0
ACSM3,Stim48hr,0
ACSM3,Stim8hr,0
ACSS1,Rest,0
ACSS1,Stim48hr,0
ACSS1,Stim8hr,0
ACSS2,Rest,0
ACSS2,Stim48hr,0
ACSS2,Stim8hr,0
ACTA2,Rest,0
ACTA2,Stim48hr,0
ACTA2,Stim8hr,0
ACTB,Rest,0
ACTB,Stim48hr,0
ACTB,Stim8hr,0
ACTG1,Rest,0
ACTG1,Stim48hr,0
ACTG1,Stim8hr,0
ACTMAP,Rest,0
ACTMAP,Stim48hr,0
ACTMAP,Stim8hr,0
ACTN1,Rest,0
ACTN1,Stim48hr,0
ACTN1,Stim8hr,0
ACTN4,Rest,0
ACTN4,Stim48hr,0
ACTN4,Stim8hr,0
ACTR1A,Rest,0
ACTR1A,Stim48hr,0
ACTR1A,Stim8hr,0
ACTR1B,Rest,0
ACTR1B,Stim48hr,0
ACTR1B,Stim8hr,0
ACTR2,Rest,0
ACTR2,Stim48hr,2
ACTR2,Stim8hr,4
ACTR3,Rest,0
ACTR3,Stim48hr,0
ACTR3,Stim8hr,0
ACTR3B,Rest,0
ACTR3B,Stim48hr,0
ACTR3B,Stim8hr,0
ACTR3C,Rest,0
ACTR3C,Stim48hr,0
ACTR3C,Stim8hr,0
ACTR5,Rest,0
ACTR5,Stim48hr,0
ACTR5,Stim8hr,0
ACTR8,Rest,2
ACTR8,Stim48hr,2
ACTR8,Stim8hr,4
ACVR1,Rest,0
ACVR1,Stim48hr,0
ACVR1,Stim8hr,0
ACVR1B,Rest,0
ACVR1B,Stim48hr,0
ACVR1B,Stim8hr,0
ACVR1C,Rest,0
ACVR1C,Stim48hr,0
ACVR1C,Stim8hr,0
ACVR2A,Rest,0
ACVR2A,Stim48hr,0
ACVR2A,Stim8hr,0
ACVR2B,Rest,0
ACVR2B,Stim48hr,0
ACVR2B,Stim8hr,0
ACY1,Rest,0
ACY1,Stim48hr,0
ACY1,Stim8hr,0
ACYP1,Rest,0
ACYP1,Stim48hr,0
ACYP1,Stim8hr,0
ACYP2,Rest,0
ACYP2,Stim48hr,0
ACYP2,Stim8hr,0
ADA,Rest,0
ADA,Stim48hr,0
ADA,Stim8hr,0
ADA2,Rest,0
ADA2,Stim48hr,0
ADA2,Stim8hr,0
ADAM10,Rest,0
ADAM10,Stim48hr,0
ADAM10,Stim8hr,0
ADAM12,Rest,0
ADAM12,Stim48hr,0
ADAM12,Stim8hr,0
ADAM15,Rest,0
ADAM15,Stim48hr,1
ADAM15,Stim8hr,0
ADAM17,Rest,0
ADAM17,Stim48hr,0
ADAM17,Stim8hr,0
ADAM19,Rest,3
ADAM19,Stim48hr,0
ADAM19,Stim8hr,0
ADAM22,Rest,0
ADAM22,Stim48hr,0
ADAM22,Stim8hr,0
ADAM23,Rest,0
ADAM23,Stim48hr,0
