gene,culture_condition,n_sig
FCER1A,Stim8hr,0
FCER1G,Rest,0
FCER1G,Stim48hr,0
FCER1G,Stim8hr,0
FCER2,Rest,0
FCER2,Stim48hr,0
FCER2,Stim8hr,0
FCGBP,Rest,0
FCGBP,Stim48hr,0
FCGBP,Stim8hr,0
FCGR2A,Rest,0
FCGR2A,Stim48hr,0
FCGR2A,Stim8hr,0
FCGR2B,Rest,0
FCGR2B,Stim48hr,0
FCGR2B,Stim8hr,0
FCGR3A,Rest,0
FCGR3A,Stim48hr,0
FCGR3A,Stim8hr,0
FCGR3B,Rest,0
FCGR3B,Stim48hr,0
FCGR3B,Stim8hr,0
FCGRT,Rest,0
FCGRT,Stim48hr,0
FCGRT,Stim8hr,0
FCHO1,Rest,0
FCHO1,Stim48hr,0
FCHO1,Stim8hr,0
FCHO2,Rest,0
FCHO2,Stim48hr,0
FCHO2,Stim8hr,0
FCHSD1,Rest,0
FCHSD1,Stim48hr,0
FCHSD1,Stim8hr,0
FCHSD2,Rest,0
FCHSD2,Stim48hr,0
FCHSD2,Stim8hr,0
FCMR,Rest,0
FCMR,Stim48hr,0
FCMR,Stim8hr,0
FCN1,Rest,0
FCN1,Stim48hr,0
FCN1,Stim8hr,0
FCRL1,Rest,0
FCRL1,Stim48hr,0
FCRL1,Stim8hr,0
FCRL3,Rest,0
FCRL3,Stim48hr,0
FCRL3,Stim8hr,0
FCRL6,Rest,0
FCRL6,Stim48hr,0
FCRL6,Stim8hr,0
FCRLA,Rest,0
FCRLA,Stim48hr,0
FCRLA,Stim8hr,0
FCSK,Rest,0
FCSK,Stim48hr,0
FCSK,Stim8hr,0
FDCSP,Rest,0
FDCSP,Stim48hr,0
FDCSP,Stim8hr,0
FDFT1,Rest,0
FDFT1,Stim48hr,0
FDFT1,Stim8hr,0
FDX1,Rest,1
FDX1,Stim48hr,1
FDX1,Stim8hr,1
FDX2,Rest,0
FDX2,Stim8hr,1
FDXACB1,Rest,0
FDXACB1,Stim48hr,0
FDXACB1,Stim8hr,0
FDXR,Rest,0
FDXR,Stim48hr,0
FDXR,Stim8hr,0
FECH,Rest,0
FECH,Stim48hr,0
FECH,Stim8hr,0
FEM1A,Rest,0
FEM1A,Stim48hr,0
FEM1A,Stim8hr,0
FEM1B,Rest,0
FEM1B,Stim48hr,0
FEM1B,Stim8hr,0
FEM1C,Rest,0
FEM1C,Stim48hr,0
FEM1C,Stim8hr,0
FEN1,Rest,0
FEN1,Stim48hr,0
FEN1,Stim8hr,1
FER,Rest,0
FER,Stim48hr,0
FER,Stim8hr,0
FERD3L,Rest,0
FERD3L,Stim48hr,0
FERD3L,Stim8hr,0
FERMT2,Rest,0
FERMT2,Stim48hr,0
FERMT2,Stim8hr,0
FERMT3,Rest,0
FERMT3,Stim48hr,0
FERMT3,Stim8hr,0
FERRY3,Rest,0
FERRY3,Stim48hr,0
FERRY3,Stim8hr,0
FES,Rest,0
FES,Stim48hr,0
FES,Stim8hr,0
FEV,Rest,0
FEV,Stim48hr,0
FEV,Stim8hr,0
FEZ1,Rest,0
FEZ1,Stim48hr,0
FEZ1,Stim8hr,0
FEZ2,Rest,0
FEZ2,Stim48hr,0
FEZ2,Stim8hr,0
FEZF1,Rest,0
FEZF1,Stim48hr,0
FEZF1,Stim8hr,0
FEZF2,Rest,0
FEZF2,Stim48hr,0
FEZF2,Stim8hr,0
FGD1,Rest,0
FGD1,Stim48hr,0
FGD1,Stim8hr,0
FGD2,Rest,0
FGD2,Stim48hr,0
FGD2,Stim8hr,0
FGD3,Rest,0
FGD3,Stim48hr,0
FGD3,Stim8hr,0
FGF11,Rest,0
FGF11,Stim48hr,0
FGF11,Stim8hr,0
FGF2,Rest,0
FGF2,Stim48hr,0
FGF2,Stim8hr,0
FGF9,Rest,0
FGF9,Stim48hr,0
FGF9,Stim8hr,0
FGFBP2,Rest,0
FGFBP2,Stim48hr,0
FGFBP2,Stim8hr,0
FGFBP3,Rest,0
FGFBP3,Stim48hr,0
FGFBP3,Stim8hr,0
FGFR1OP2,Rest,0
FGFR1OP2,Stim48hr,0
FGFR1OP2,Stim8hr,0
FGFR2,Rest,0
FGFR2,Stim48hr,0
FGFR2,Stim8hr,0
FGFRL1,Rest,0
FGFRL1,Stim48hr,0
FGFRL1,Stim8hr,0
FGGY,Rest,0
FGGY,Stim48hr,0
FGGY,Stim8hr,0
FGL2,Rest,0
FGL2,Stim48hr,0
FGL2,Stim8hr,0
FGR,Rest,0
FGR,Stim48hr,0
FGR,Stim8hr,0
FH,Rest,3
FH,Stim8hr,2
FHIP1B,Rest,0
FHIP1B,Stim48hr,0
FHIP1B,Stim8hr,0
FHIP2A,Rest,0
FHIP2A,Stim48hr,0
FHIP2A,Stim8hr,0
FHIP2B,Rest,0
FHIP2B,Stim48hr,0
FHIP2B,Stim8hr,0
FHIT,Rest,0
FHIT,Stim48hr,0
FHIT,Stim8hr,0
FHL1,Rest,2
FHL1,Stim48hr,0
FHL1,Stim8hr,0
FHL2,Rest,0
FHL2,Stim48hr,0
FHL2,Stim8hr,0
FHL3,Rest,0
FHL3,Stim48hr,0
FHL3,Stim8hr,0
FHOD1,Rest,0
FHOD1,Stim48hr,0
FHOD1,Stim8hr,0
FIBP,Rest,0
FIBP,Stim48hr,0
FIBP,Stim8hr,0
FICD,Rest,0
FICD,Stim48hr,0
FICD,Stim8hr,0
FIG4,Rest,0
FIG4,Stim48hr,0
FIG4,Stim8hr,0
FIGLA,Rest,0
FIGLA,Stim48hr,0
FIGLA,Stim8hr,0
FIGNL1,Rest,0
FIGNL1,Stim48hr,0
FIGNL1,Stim8hr,0
FIRRM,Rest,0
FIRRM,Stim48hr,0
FIRRM,Stim8hr,0
FIS1,Rest,0
FIS1,Stim48hr,0
FIS1,Stim8hr,0
FITM1,Rest,0
FITM1,Stim48hr,0
FITM1,Stim8hr,0
FITM2,Rest,0
FITM2,Stim48hr,4
FITM2,Stim8hr,8
FIZ1,Rest,0
FIZ1,Stim48hr,0
FIZ1,Stim8hr,0
FKBP11,Rest,0
FKBP11,Stim48hr,0
FKBP11,Stim8hr,0
FKBP14,Rest,0
FKBP14,Stim48hr,0
FKBP14,Stim8hr,0
FKBP15,Rest,0
FKBP15,Stim48hr,0
FKBP15,Stim8hr,0
FKBP1A,Rest,0
FKBP1A,Stim48hr,0
FKBP1A,Stim8hr,0
FKBP1B,Rest,0
FKBP1B,Stim48hr,0
FKBP1B,Stim8hr,0
FKBP2,Rest,2
FKBP2,Stim48hr,1
FKBP2,Stim8hr,0
FKBP3,Rest,0
FKBP3,Stim48hr,0
FKBP3,Stim8hr,0
FKBP4,Rest,0
FKBP4,Stim48hr,0
FKBP4,Stim8hr,0
FKBP5,Rest,0
FKBP5,Stim48hr,0
FKBP5,Stim8hr,1
FKBP7,Rest,0
FKBP7,Stim48hr,0
FKBP7,Stim8hr,0
FKBP8,Rest,0
FKBP8,Stim48hr,0
FKBP8,Stim8hr,0
FKBPL,Rest,0
FKBPL,Stim48hr,0
FKBPL,Stim8hr,0
FKRP,Rest,0
FKRP,Stim48hr,0
FKRP,Stim8hr,0
FKTN,Rest,0
FKTN,Stim48hr,0
FKTN,Stim8hr,0
FLACC1,Rest,0
FLACC1,Stim48hr,0
FLACC1,Stim8hr,0
FLAD1,Rest,0
FLAD1,Stim48hr,0
FLAD1,Stim8hr,2
FLCN,Rest,1
FLCN,Stim48hr,2
FLCN,Stim8hr,0
FLI1,Rest,0
FLI1,Stim48hr,1
FLI1,Stim8hr,0
FLII,Rest,0
FLII,Stim48hr,0
FLII,Stim8hr,0
FLNA,Rest,0
FLNA,Stim48hr,0
FLNA,Stim8hr,0
FLNB,Rest,0
FLNB,Stim48hr,0
FLNB,Stim8hr,0
FLOT1,Rest,0
FLOT1,Stim48hr,0
FLOT1,Stim8hr,0
FLOT2,Rest,0
FLOT2,Stim48hr,0
FLOT2,Stim8hr,0
FLRT2,Rest,0
FLRT2,Stim48hr,0
FLRT2,Stim8hr,0
FLT1,Rest,0
FLT1,Stim48hr,0
FLT1,Stim8hr,0
FLT3LG,Rest,0
FLT3LG,Stim48hr,0
FLT3LG,Stim8hr,0
FLT4,Rest,0
FLT4,Stim48hr,0
FLT4,Stim8hr,1
FLVCR1,Rest,0
FLVCR1,Stim48hr,0
FLVCR1,Stim8hr,0
FLVCR2,Rest,0
FLVCR2,Stim48hr,0
FLVCR2,Stim8hr,2
FLYWCH1,Rest,0
FLYWCH1,Stim48hr,0
FLYWCH1,Stim8hr,0
FLYWCH2,Rest,0
FLYWCH2,Stim48hr,0
FLYWCH2,Stim8hr,0
FMC1,Rest,0
FMC1,Stim8hr,1
FMC1-LUC7L2,Rest,0
FMC1-LUC7L2,Stim48hr,0
FMC1-LUC7L2,Stim8hr,0
FMN1,Rest,0
FMN1,Stim48hr,0
FMN1,Stim8hr,0
FMNL1,Rest,0
FMNL1,Stim48hr,0
FMNL1,Stim8hr,1
FMNL2,Rest,0
FMNL2,Stim48hr,0
FMNL2,Stim8hr,0
FMNL3,Rest,0
FMNL3,Stim48hr,0
FMNL3,Stim8hr,0
FMO4,Rest,0
FMO4,Stim48hr,0
FMO4,Stim8hr,0
FMR1,Rest,0
FMR1,Stim48hr,1
FMR1,Stim8hr,0
FN1,Stim48hr,0
FN1,Stim8hr,0
FN3K,Rest,0
FN3K,Stim48hr,0
FN3K,Stim8hr,0
FN3KRP,Rest,0
FN3KRP,Stim48hr,0
FN3KRP,Stim8hr,0
FNBP1,Rest,0
FNBP1,Stim48hr,0
FNBP1,Stim8hr,0
FNBP1L,Rest,0
FNBP1L,Stim48hr,0
FNBP1L,Stim8hr,0
FNBP4,Rest,0
FNBP4,Stim48hr,0
FNBP4,Stim8hr,2
FNDC10,Rest,0
FNDC10,Stim48hr,0
FNDC10,Stim8hr,0
FNDC3A,Rest,0
FNDC3A,Stim48hr,0
FNDC3A,Stim8hr,0
FNDC3B,Rest,0
FNDC3B,Stim48hr,0
FNDC3B,Stim8hr,0
FNDC9,Rest,0
FNDC9,Stim48hr,0
FNDC9,Stim8hr,0
FNIP1,Rest,0
FNIP1,Stim48hr,0
FNIP1,Stim8hr,0
FNIP2,Rest,0
FNIP2,Stim48hr,0
FNIP2,Stim8hr,0
FOS,Rest,2
FOS,Stim48hr,0
FOS,Stim8hr,0
FOSB,Rest,0
FOSB,Stim48hr,0
FOSB,Stim8hr,0
FOSL1,Rest,1
FOSL1,Stim48hr,0
FOSL1,Stim8hr,0
FOSL2,Rest,0
FOSL2,Stim48hr,1
FOSL2,Stim8hr,0
FOXA1,Rest,0
FOXA1,Stim48hr,0
FOXA1,Stim8hr,0
FOXA2,Rest,0
FOXA2,Stim48hr,0
FOXA2,Stim8hr,0
FOXA3,Rest,0
FOXA3,Stim48hr,0
FOXA3,Stim8hr,0
FOXB1,Rest,0
FOXB1,Stim48hr,0
FOXB1,Stim8hr,0
FOXB2,Rest,0
FOXB2,Stim48hr,0
FOXB2,Stim8hr,0
FOXC1,Rest,0
FOXC1,Stim48hr,0
FOXC1,Stim8hr,0
FOXC2,Rest,0
FOXC2,Stim48hr,0
FOXC2,Stim8hr,0
FOXD1,Rest,0
FOXD1,Stim48hr,0
FOXD1,Stim8hr,0
FOXD2,Rest,0
FOXD2,Stim48hr,0
FOXD2,Stim8hr,0
FOXD3,Rest,0
FOXD3,Stim48hr,0
FOXD3,Stim8hr,0
FOXD4,Rest,0
FOXD4,Stim48hr,0
FOXD4,Stim8hr,0
FOXD4L1,Rest,0
FOXD4L1,Stim48hr,0
FOXD4L1,Stim8hr,0
FOXD4L3,Rest,0
FOXD4L3,Stim48hr,0
FOXD4L3,Stim8hr,0
FOXD4L4,Rest,0
FOXD4L4,Stim48hr,0
FOXD4L4,Stim8hr,0
FOXD4L5,Rest,0
FOXD4L5,Stim48hr,0
FOXD4L5,Stim8hr,0
FOXD4L6,Rest,0
FOXD4L6,Stim48hr,0
FOXD4L6,Stim8hr,0
FOXE1,Rest,0
FOXE1,Stim48hr,0
FOXE1,Stim8hr,0
FOXE3,Rest,0
FOXE3,Stim48hr,0
FOXE3,Stim8hr,0
FOXF1,Rest,0
FOXF1,Stim48hr,0
FOXF1,Stim8hr,0
FOXF2,Rest,0
FOXF2,Stim48hr,0
FOXF2,Stim8hr,0
FOXG1,Rest,0
FOXG1,Stim48hr,0
FOXG1,Stim8hr,0
FOXH1,Rest,0
FOXH1,Stim48hr,0
FOXH1,Stim8hr,0
FOXI1,Rest,0
FOXI1,Stim48hr,0
FOXI1,Stim8hr,0
FOXI3,Rest,0
FOXI3,Stim48hr,0
FOXI3,Stim8hr,0
FOXJ2,Rest,0
FOXJ2,Stim48hr,0
FOXJ2,Stim8hr,0
FOXJ3,Rest,0
FOXJ3,Stim48hr,0
FOXJ3,Stim8hr,0
FOXK1,Rest,0
FOXK1,Stim48hr,0
FOXK1,Stim8hr,1
FOXK2,Rest,0
FOXK2,Stim48hr,0
FOXK2,Stim8hr,0
FOXL1,Rest,0
FOXL1,Stim48hr,0
FOXL1,Stim8hr,0
FOXL2,Rest,0
FOXL2,Stim48hr,0
FOXL2,Stim8hr,0
FOXM1,Rest,0
FOXM1,Stim48hr,0
FOXM1,Stim8hr,0
FOXN2,Rest,0
FOXN2,Stim48hr,0
FOXN2,Stim8hr,0
FOXN3,Rest,0
FOXN3,Stim48hr,0
FOXN3,Stim8hr,0
FOXN4,Rest,0
FOXN4,Stim48hr,0
FOXN4,Stim8hr,0
FOXO1,Rest,5
FOXO1,Stim48hr,0
FOXO1,Stim8hr,3
FOXO3,Rest,0
FOXO3,Stim48hr,2
FOXO3,Stim8hr,0
FOXO4,Rest,0
FOXO4,Stim48hr,0
FOXO4,Stim8hr,0
FOXO6,Rest,0
FOXO6,Stim48hr,0
FOXO6,Stim8hr,0
FOXP1,Rest,0
FOXP1,Stim48hr,0
FOXP1,Stim8hr,0
FOXP2,Rest,0
FOXP2,Stim48hr,0
FOXP2,Stim8hr,0
FOXP3,Rest,0
FOXP3,Stim48hr,0
FOXP3,Stim8hr,0
FOXP4,Rest,0
FOXP4,Stim48hr,0
FOXP4,Stim8hr,0
FOXQ1,Rest,0
FOXQ1,Stim48hr,0
FOXQ1,Stim8hr,0
FOXR1,Rest,0
FOXR1,Stim48hr,0
FOXR1,Stim8hr,0
FOXR2,Rest,0
FOXR2,Stim48hr,0
FOXR2,Stim8hr,0
FOXRED1,Rest,0
FOXRED1,Stim48hr,0
FOXRED1,Stim8hr,0
FOXRED2,Rest,0
FOXRED2,Stim48hr,0
FOXRED2,Stim8hr,0
FOXS1,Rest,0
FOXS1,Stim48hr,0
FOXS1,Stim8hr,0
FPGS,Rest,0
FPGS,Stim48hr,0
FPGS,Stim8hr,1
FPGT,Rest,0
FPGT,Stim48hr,0
FPGT,Stim8hr,0
FPR1,Rest,0
FPR1,Stim48hr,0
FPR1,Stim8hr,1
FRA10AC1,Rest,0
FRA10AC1,Stim48hr,0
FRA10AC1,Stim8hr,0
FRAS1,Rest,0
FRAS1,Stim48hr,0
FRAS1,Stim8hr,0
FRAT1,Rest,0
FRAT1,Stim48hr,0
FRAT1,Stim8hr,0
FRAT2,Rest,0
FRAT2,Stim48hr,0
FRAT2,Stim8hr,0
FRG1,Rest,0
FRG1,Stim48hr,0
FRG1,Stim8hr,0
FRMD3,Rest,0
FRMD3,Stim48hr,0
FRMD3,Stim8hr,0
FRMD4A,Rest,0
FRMD4A,Stim48hr,0
FRMD4A,Stim8hr,0
FRMD4B,Rest,0
FRMD4B,Stim48hr,0
FRMD4B,Stim8hr,0
FRMD6,Rest,0
FRMD6,Stim48hr,0
FRMD6,Stim8hr,0
FRMD8,Rest,0
FRMD8,Stim48hr,0
FRMD8,Stim8hr,0
FRS2,Rest,0
FRS2,Stim48hr,0
FRS2,Stim8hr,0
FRS3,Rest,0
FRS3,Stim48hr,0
FRS3,Stim8hr,0
FRY,Rest,0
FRY,Stim48hr,0
FRY,Stim8hr,0
FRYL,Rest,0
FRYL,Stim48hr,0
FRYL,Stim8hr,0
FSAF1,Rest,0
FSAF1,Stim48hr,0
FSBP,Rest,0
FSBP,Stim48hr,0
FSBP,Stim8hr,0
FSCN1,Rest,0
FSCN1,Stim48hr,0
FSCN1,Stim8hr,0
FSD1,Rest,0
FSD1,Stim48hr,0
FSD1,Stim8hr,0
FSD1L,Rest,0
FSD1L,Stim48hr,0
FSD1L,Stim8hr,0
FSIP1,Rest,0
FSIP1,Stim48hr,0
FSIP1,Stim8hr,0
FTH1,Rest,0
FTH1,Stim48hr,0
FTH1,Stim8hr,0
FTL,Rest,0
FTL,Stim48hr,0
FTL,Stim8hr,0
FTO,Rest,0
FTO,Stim48hr,0
FTO,Stim8hr,0
FTSJ1,Rest,0
FTSJ1,Stim48hr,0
FTSJ1,Stim8hr,0
FUBP1,Rest,1
FUBP1,Stim48hr,2
FUBP1,Stim8hr,2
FUBP3,Rest,0
FUBP3,Stim48hr,0
FUBP3,Stim8hr,0
FUCA1,Rest,1
FUCA1,Stim48hr,0
FUCA1,Stim8hr,0
FUCA2,Rest,0
FUCA2,Stim48hr,0
FUCA2,Stim8hr,0
FUNDC1,Rest,0
FUNDC1,Stim48hr,0
FUNDC1,Stim8hr,0
FUNDC2,Rest,0
FUNDC2,Stim48hr,0
FUNDC2,Stim8hr,1
FUOM,Rest,0
FUOM,Stim48hr,0
FUOM,Stim8hr,0
FURIN,Rest,0
FURIN,Stim48hr,0
FURIN,Stim8hr,0
FUS,Rest,0
FUS,Stim48hr,0
FUS,Stim8hr,0
FUT4,Rest,0
FUT4,Stim48hr,0
FUT4,Stim8hr,0
FUT7,Rest,0
FUT7,Stim48hr,0
FUT7,Stim8hr,0
FUT8,Rest,3
FUT8,Stim48hr,0
FUT8,Stim8hr,0
FUZ,Rest,0
FUZ,Stim48hr,0
FUZ,Stim8hr,0
FXN,Stim8hr,1
FXR1,Rest,0
FXR1,Stim48hr,0
FXR1,Stim8hr,0
FXR2,Rest,0
FXR2,Stim48hr,0
FXR2,Stim8hr,0
FXYD1,Rest,0
FXYD1,Stim48hr,0
FXYD1,Stim8hr,0
FXYD2,Rest,0
FXYD2,Stim48hr,0
FXYD2,Stim8hr,0
FXYD3,Rest,0
FXYD3,Stim48hr,0
FXYD3,Stim8hr,0
FXYD5,Rest,0
FXYD5,Stim48hr,0
FXYD5,Stim8hr,0
FXYD7,Rest,0
FXYD7,Stim48hr,0
FXYD7,Stim8hr,0
FYB1,Rest,0
FYB1,Stim48hr,0
FYB1,Stim8hr,0
FYCO1,Rest,0
FYCO1,Stim48hr,0
FYCO1,Stim8hr,0
FYN,Rest,0
FYN,Stim48hr,0
FYN,Stim8hr,0
FYTTD1,Rest,0
FYTTD1,Stim48hr,0
FYTTD1,Stim8hr,0
FZD3,Rest,0
FZD3,Stim48hr,0
FZD3,Stim8hr,0
FZD6,Rest,0
FZD6,Stim48hr,1
FZD6,Stim8hr,6
FZR1,Rest,0
FZR1,Stim48hr,0
FZR1,Stim8hr,0
G0S2,Rest,0
G0S2,Stim48hr,0
G0S2,Stim8hr,0
G2E3,Rest,0
G2E3,Stim48hr,0
G2E3,Stim8hr,0
G3BP1,Rest,0
G3BP1,Stim48hr,1
G3BP1,Stim8hr,0
G3BP2,Rest,0
G3BP2,Stim48hr,0
G3BP2,Stim8hr,0
G6PC3,Rest,0
G6PC3,Stim48hr,0
G6PC3,Stim8hr,0
G6PD,Rest,0
G6PD,Stim48hr,0
G6PD,Stim8hr,0
GAA,Rest,0
GAA,Stim48hr,0
GAA,Stim8hr,0
GAB2,Rest,0
GAB2,Stim48hr,0
GAB2,Stim8hr,0
GAB3,Rest,0
GAB3,Stim48hr,0
GAB3,Stim8hr,0
GABARAP,Rest,0
GABARAP,Stim48hr,0
GABARAP,Stim8hr,0
GABARAPL1,Rest,1
GABARAPL1,Stim48hr,0
GABARAPL1,Stim8hr,0
GABARAPL2,Rest,0
GABARAPL2,Stim48hr,0
GABARAPL2,Stim8hr,0
GABBR1,Rest,0
GABBR1,Stim48hr,0
GABBR1,Stim8hr,0
GABPA,Rest,0
GABPA,Stim48hr,0
GABPA,Stim8hr,0
GABPB1,Rest,0
GABPB1,Stim48hr,0
GABPB1,Stim8hr,2
GABPB2,Rest,0
GABPB2,Stim48hr,0
GABPB2,Stim8hr,0
GAD1,Rest,0
GAD1,Stim48hr,0
GAD1,Stim8hr,0
GADD45A,Rest,0
GADD45A,Stim48hr,0
GADD45A,Stim8hr,0
GADD45B,Rest,0
GADD45B,Stim48hr,0
GADD45B,Stim8hr,0
GADD45G,Rest,0
GADD45G,Stim48hr,0
GADD45G,Stim8hr,0
GADD45GIP1,Rest,0
GADD45GIP1,Stim48hr,0
GADD45GIP1,Stim8hr,1
GAK,Stim48hr,0
GAK,Stim8hr,0
GAL3ST4,Rest,0
GAL3ST4,Stim48hr,0
GAL3ST4,Stim8hr,0
GALC,Rest,0
GALC,Stim48hr,0
GALC,Stim8hr,0
GALE,Rest,0
GALE,Stim48hr,0
GALE,Stim8hr,0
GALK1,Rest,0
GALK1,Stim48hr,0
GALK1,Stim8hr,0
GALK2,Rest,0
GALK2,Stim48hr,0
GALK2,Stim8hr,0
GALM,Rest,0
GALM,Stim48hr,0
GALM,Stim8hr,0
GALNS,Stim48hr,0
GALNS,Stim8hr,0
GALNT10,Rest,0
GALNT10,Stim48hr,0
GALNT10,Stim8hr,0
GALNT11,Rest,0
GALNT11,Stim48hr,0
GALNT11,Stim8hr,0
GALNT12,Rest,0
GALNT12,Stim48hr,0
GALNT12,Stim8hr,0
GALNT18,Rest,0
GALNT18,Stim48hr,0
GALNT18,Stim8hr,0
GALNT2,Rest,0
GALNT2,Stim48hr,0
GALNT2,Stim8hr,0
GALNT3,Rest,0
GALNT3,Stim48hr,0
GALNT3,Stim8hr,0
GALNT4,Rest,0
GALNT4,Stim48hr,0
GALNT4,Stim8hr,0
GALNT6,Rest,0
GALNT6,Stim48hr,0
GALNT6,Stim8hr,0
GALNT7,Rest,0
GALNT7,Stim48hr,0
GALNT7,Stim8hr,0
GALR2,Rest,0
GALR2,Stim48hr,0
GALR2,Stim8hr,1
GALT,Rest,0
GALT,Stim48hr,0
GALT,Stim8hr,0
GAMT,Rest,0
GAMT,Stim48hr,0
GAMT,Stim8hr,0
GAN,Rest,0
GAN,Stim48hr,0
GAN,Stim8hr,0
GANAB,Rest,0
GANAB,Stim48hr,0
GANAB,Stim8hr,5
GANC,Rest,0
GANC,Stim48hr,0
GANC,Stim8hr,0
GAPDH,Stim8hr,1
GAPVD1,Rest,0
GAPVD1,Stim48hr,0
GAPVD1,Stim8hr,0
GAREM1,Rest,1
GAREM1,Stim48hr,0
GAREM1,Stim8hr,0
GAREM2,Rest,0
GAREM2,Stim48hr,0
GAREM2,Stim8hr,0
GARIN1A,Rest,0
GARIN1A,Stim48hr,0
GARIN1A,Stim8hr,0
GARRE1,Rest,0
GARRE1,Stim48hr,0
GARRE1,Stim8hr,0
GARS1,Rest,1
GARS1,Stim48hr,0
GARS1,Stim8hr,1
GART,Rest,0
GART,Stim48hr,0
GART,Stim8hr,0
GAS2,Rest,0
GAS2,Stim48hr,0
GAS2,Stim8hr,0
GAS2L1,Rest,0
GAS2L1,Stim48hr,2
GAS2L1,Stim8hr,0
GAS6,Rest,0
GAS6,Stim48hr,0
GAS6,Stim8hr,0
GAS7,Rest,0
GAS7,Stim48hr,0
GAS7,Stim8hr,0
GATA1,Rest,0
GATA1,Stim48hr,0
GATA1,Stim8hr,0
GATA2,Stim48hr,0
GATA2,Stim8hr,0
GATA3,Rest,4
GATA3,Stim48hr,10
GATA3,Stim8hr,7
GATA4,Rest,0
GATA4,Stim48hr,0
GATA4,Stim8hr,0
GATA5,Rest,0
GATA5,Stim48hr,0
GATA5,Stim8hr,0
GATA6,Rest,0
GATA6,Stim48hr,0
GATA6,Stim8hr,0
GATAD1,Rest,0
GATAD1,Stim48hr,0
GATAD1,Stim8hr,0
GATAD2A,Rest,0
GATAD2A,Stim48hr,0
GATAD2A,Stim8hr,0
GATAD2B,Rest,0
GATAD2B,Stim48hr,1
GATAD2B,Stim8hr,0
GATB,Rest,0
GATB,Stim48hr,1
GATB,Stim8hr,0
GATC,Rest,0
GATC,Stim48hr,0
GATC,Stim8hr,0
GATD1,Rest,0
GATD1,Stim48hr,0
GATD1,Stim8hr,0
GBA1,Rest,0
GBA1,Stim48hr,0
GBA1,Stim8hr,0
GBA2,Rest,0
GBA2,Stim48hr,0
GBA2,Stim8hr,0
GBE1,Rest,0
GBE1,Stim48hr,0
GBE1,Stim8hr,0
GBGT1,Rest,0
GBGT1,Stim48hr,0
GBGT1,Stim8hr,0
GBP1,Rest,0
GBP1,Stim48hr,0
GBP1,Stim8hr,0
GBP2,Rest,0
GBP2,Stim48hr,0
GBP2,Stim8hr,0
GBP3,Rest,0
GBP3,Stim48hr,0
GBP3,Stim8hr,0
GBP4,Rest,0
GBP4,Stim48hr,0
GBP4,Stim8hr,0
GBP5,Rest,0
GBP5,Stim48hr,0
GBP5,Stim8hr,0
GBP7,Rest,0
GBP7,Stim48hr,0
GBP7,Stim8hr,0
GBX1,Rest,0
GBX1,Stim48hr,0
GBX1,Stim8hr,0
GBX2,Rest,0
GBX2,Stim48hr,0
GBX2,Stim8hr,0
GCA,Rest,0
GCA,Stim48hr,0
GCA,Stim8hr,0
GCAT,Rest,0
GCAT,Stim48hr,0
GCAT,Stim8hr,0
GCC1,Rest,0
GCC1,Stim48hr,0
GCC1,Stim8hr,0
GCC2,Rest,0
GCC2,Stim48hr,0
GCC2,Stim8hr,0
GCDH,Rest,0
GCDH,Stim8hr,0
GCFC2,Rest,0
GCFC2,Stim48hr,0
GCFC2,Stim8hr,0
GCH1,Rest,0
GCH1,Stim48hr,0
GCH1,Stim8hr,0
GCHFR,Rest,0
GCHFR,Stim48hr,0
GCHFR,Stim8hr,0
GCLC,Rest,0
GCLC,Stim48hr,0
GCLC,Stim8hr,0
GCLM,Rest,0
GCLM,Stim48hr,0
GCLM,Stim8hr,0
GCM2,Rest,0
GCM2,Stim48hr,0
GCM2,Stim8hr,0
GCN1,Rest,0
GCN1,Stim48hr,1
GCN1,Stim8hr,0
GCNA,Rest,0
GCNA,Stim48hr,0
GCNA,Stim8hr,0
GCNT1,Rest,0
GCNT1,Stim48hr,0
GCNT1,Stim8hr,0
GCNT4,Rest,0
GCNT4,Stim48hr,0
GCNT4,Stim8hr,0
GCNT7,Rest,0
GCNT7,Stim48hr,0
GCNT7,Stim8hr,0
GCSAM,Rest,0
GCSAM,Stim48hr,0
GCSAM,Stim8hr,0
GCSH,Rest,0
GCSH,Stim48hr,0
GCSH,Stim8hr,3
GDAP1,Rest,0
GDAP1,Stim48hr,0
GDAP1,Stim8hr,0
GDAP2,Rest,1
GDAP2,Stim48hr,6
GDAP2,Stim8hr,0
GDE1,Rest,0
GDE1,Stim48hr,0
GDE1,Stim8hr,0
GDF11,Stim48hr,1
GDF15,Rest,0
GDF15,Stim48hr,0
GDF15,Stim8hr,0
GDF7,Rest,0
GDF7,Stim48hr,0
GDF7,Stim8hr,0
GDF9,Rest,0
GDF9,Stim48hr,0
GDF9,Stim8hr,0
GDI1,Rest,0
GDI1,Stim48hr,0
GDI1,Stim8hr,0
GDI2,Rest,0
GDI2,Stim48hr,0
GDI2,Stim8hr,0
GDPD1,Rest,0
GDPD1,Stim48hr,0
GDPD1,Stim8hr,0
GDPD3,Rest,0
GDPD3,Stim48hr,0
GDPD3,Stim8hr,0
GDPD5,Rest,0
GDPD5,Stim48hr,0
GDPD5,Stim8hr,0
GDPGP1,Rest,0
GDPGP1,Stim48hr,0
GDPGP1,Stim8hr,0
GEM,Rest,0
GEM,Stim48hr,0
GEM,Stim8hr,0
