symbol	status	alias_symbol	prev_symbol
ABHD17AP3	Approved		FAM108A4|FAM108A4P
ABHD17AP4	Approved		FAM108A5|FAM108A5P
ABHD17AP5	Approved		FAM108A6|FAM108A6P
ABHD17AP6	Approved		FAM108A7P
ABHD17AP7	Approved		FAM108A8P
ABHD17AP8	Approved		FAM108A9P
ABHD17AP9	Approved		FAM108A10P
ABHD17B	Approved	CGI-67	C9orf77|FAM108B1
ABHD17C	Approved		FAM108C1
ABHD18	Approved	FLJ21106	C4orf29
ABI1	Approved	E3B1|ABI-1	SSH3BP1
ABI1P1	Approved		SSH3BP1P|ABI1P
ABI2	Approved	ABI-2|AIP-1|ABI2B|AblBP3|argBPIA|SSH3BP2	
ABI3	Approved	NESH|SSH3BP3	
ABI3BP	Approved	NESHBP|DKFZP586L2024|TARSH	
ABITRAM	Approved	CG-8|FLJ20457|Simiate	C9orf6|FAM206A
ABITRAMP1	Approved		FAM206BP
ABL1	Approved	JTK7|c-ABL|p150	ABL
ABL2	Approved	ARG	ABLL
ABLIM1	Approved	abLIM|limatin	LIMAB1|ABLIM
ABLIM2	Approved	KIAA1808	
ABLIM2-DT	Approved		
ABLIM3	Approved	KIAA0843	
ABO	Approved	A3GALNT|A3GALT1	
ABR	Approved	MDB	
ABR-AS1	Approved		
ABRA	Approved	STARS	
ABRACL	Approved	PRO2013|HSPC280|Costars	C6orf115
ABRAXAS1	Approved	FLJ13614|ABRA1|ABRAXAS	CCDC98|FAM175A
ABRAXAS1P1	Approved		
ABRAXAS1P2	Approved		
ABRAXAS2	Approved	Em:AC068896.4|ABRO1	KIAA0157|FAM175B
ABT1	Approved	Esf2	
ABT1P1	Approved		
ABTB1	Approved	BPOZ|EF1ABP|Btb3|BTBD21|BPOZ-2	
ABTB2	Approved	DKFZP586C1619|BTBD22|ABTB2A	
ABTB3	Approved	FLJ33957|ABTB2B	BTBD11
ACAA1	Approved	Lnc-Myd88	
ACAA2	Approved	DSAEC	
ACAA2P1	Approved		
ACACA	Approved	ACC1|ACC-alpha|ACCA|ACCalpha|ACACalpha|Acac1|hACC1	ACAC|ACC
ACACB	Approved	HACC275|ACC2|ACCB|ACC-beta|ACCbeta|ACACbeta	
ACAD8	Approved		
ACAD9	Approved	NPD002|MGC14452	
ACAD9-DT	Approved		
ACAD10	Approved	MGC5601	
ACAD11	Approved	FLJ12592	
ACADL	Approved	LCAD|ACAD4	
ACADM	Approved	MCAD|MCADH|ACAD1	
