symbol	status	alias_symbol	prev_symbol
HMGB3P10	Approved		
HMGB3P11	Approved		
HMGB3P12	Approved		
HMGB3P13	Approved		
HMGB3P14	Approved		
HMGB3P15	Approved		
HMGB3P16	Approved		
HMGB3P17	Approved		
HMGB3P18	Approved		
HMGB3P19	Approved		
HMGB3P20	Approved		
HMGB3P21	Approved		
HMGB3P22	Approved		
HMGB3P23	Approved		
HMGB3P24	Approved		
HMGB3P25	Approved		
HMGB3P26	Approved		
HMGB3P27	Approved		
HMGB3P28	Approved		
HMGB3P29	Approved		
HMGB3P30	Approved		
HMGB3P31	Approved		
HMGB3P32	Approved		
HMGB4	Approved	FLJ40388	
HMGCL	Approved	HL|HMGCL1	
HMGCLL1	Approved	DKFZP434G1411|bA418P12.1|er-cHL	
HMGCR	Approved		
HMGCS1	Approved		HMGCS
HMGCS1-DT	Approved		
HMGCS2	Approved		
HMGN1	Approved	FLJ27265|FLJ31471|MGC104230|MGC117425	HMG14
HMGN1P1	Approved		HMGN1L1
HMGN1P2	Approved		HMG14P|HMGN1L2
HMGN1P3	Approved		
HMGN1P4	Approved		
HMGN1P5	Approved		
HMGN1P6	Approved		
HMGN1P7	Approved		
HMGN1P8	Approved		
HMGN1P9	Approved		
HMGN1P10	Approved		
HMGN1P11	Approved		
HMGN1P12	Approved		
HMGN1P13	Approved		
HMGN1P14	Approved		
HMGN1P15	Approved		
HMGN1P16	Approved		
HMGN1P17	Approved		
HMGN1P18	Approved		
HMGN1P19	Approved		
HMGN1P20	Approved		
HMGN1P21	Approved		
HMGN1P22	Approved		
HMGN1P23	Approved		
HMGN1P24	Approved		
HMGN1P25	Approved		
HMGN1P26	Approved		
HMGN1P27	Approved		
HMGN1P28	Approved		
HMGN1P29	Approved		
HMGN1P30	Approved		
HMGN1P31	Approved		
HMGN1P32	Approved		
HMGN1P33	Approved		
HMGN1P34	Approved		
HMGN1P35	Approved		
HMGN1P36	Approved		
HMGN1P37	Approved		
HMGN1P38	Approved		
HMGN2	Approved		HMG17
HMGN2P1	Approved		HMGN2P|HMGN2L1
HMGN2P2	Approved		HMGN2L2
HMGN2P3	Approved		HMGN2L3
HMGN2P4	Approved		HMGN2L4
HMGN2P5	Approved		HMGN2L5
HMGN2P6	Approved		HMGN2L6
HMGN2P7	Approved		HMGN2L7
HMGN2P8	Approved	AC022394.1	HMGN2L8
HMGN2P9	Approved	dJ388M5.2	HMG17L1|HMGN2L9
HMGN2P10	Approved	bK216E10	HMG17L2|HMGN2L10
HMGN2P11	Approved	28H	HMG17P1|HMGN2L11
HMGN2P12	Approved	60H	HMG17P2|HMGN2L12
HMGN2P13	Approved		
HMGN2P14	Approved		
HMGN2P15	Approved		
HMGN2P16	Approved	Em:AL513423.2	HMGN2L
HMGN2P17	Approved		
HMGN2P18	Approved		
HMGN2P19	Approved		
HMGN2P20	Approved		
HMGN2P21	Approved		
HMGN2P22	Approved		
HMGN2P23	Approved		
HMGN2P24	Approved		
HMGN2P25	Approved		
HMGN2P26	Approved		
HMGN2P27	Approved		
HMGN2P28	Approved		
HMGN2P29	Approved		
HMGN2P30	Approved		
HMGN2P31	Approved		
HMGN2P32	Approved		
HMGN2P33	Approved		
HMGN2P34	Approved		
HMGN2P35	Approved		
HMGN2P36	Approved		
HMGN2P37	Approved		
HMGN2P38	Approved		
HMGN2P39	Approved		
HMGN2P40	Approved		
HMGN2P41	Approved		
HMGN2P42	Approved		
HMGN2P43	Approved		
HMGN2P44	Approved		
HMGN2P45	Approved		
HMGN2P46	Approved	FLJ39426|D-PCa-2	C15orf21
HMGN2P47	Approved		
HMGN2P48	Approved		
HMGN3	Approved		TRIP7
HMGN3-AS1	Approved		
HMGN3P1	Approved		
HMGN4	Approved	NHC	HMG17L3
HMGN5	Approved		NSBP1
HMGXB3	Approved	SMF|KIAA0194	HMGX3
HMGXB4	Approved	THC211630|P53N	HMG2L1
HMHB1	Approved	HB-1|HB-1Y	
HMMR	Approved	RHAMM|CD168	
HMMR-AS1	Approved		
HMOX1	Approved	bK286B10|HO-1	
HMOX2	Approved	HO-2	
HMSD	Approved	ACC-6|ACC6	C18orf53
HMX1	Approved	H6|NKX5-3	
HMX1-AS1	Approved		
HMX2	Approved	NKX5-2	
HMX3	Approved	NKX5-1	
HNF1A	Approved	HNF1|LFB1|HNF1α	MODY3|TCF1
HNF1A-AS1	Approved	FLJ38690|HAS1|HASTER	C12orf27|NCRNA00262
HNF1B	Approved	LFB3|VHNF1|HNF1beta|MODY5|HNF1β	TCF2
HNF4A	Approved	NR2A1|HNF4	TCF14|MODY|MODY1
HNF4A-AS1	Approved	uc002xlx	
HNF4G	Approved	NR2A2	
HNF4GP1	Approved		
HNMT	Approved	HMT	
HNRNPA0	Approved		HNRPA0
HNRNPA1	Approved	hnRNP-A1|ALS20	HNRPA1
HNRNPA1L2	Approved	LOC144983	
HNRNPA1L3	Approved		HNRNPA1P48
HNRNPA1P1	Approved	hnRNPA1-Lp|b34I8.2	HNRPA1P1
HNRNPA1P2	Approved	dJ372B18.1	HNRPA1P2
HNRNPA1P3	Approved	dJ447F3.1	HNRPA1P3
HNRNPA1P4	Approved		HNRPA1P4
HNRNPA1P5	Approved		
HNRNPA1P6	Approved		HNRPA1L|HNRNPA1L|HNRNPA1L1
HNRNPA1P7	Approved		HNRPA1L3
HNRNPA1P8	Approved		
HNRNPA1P9	Approved		
HNRNPA1P10	Approved		
HNRNPA1P11	Approved		
HNRNPA1P12	Approved		
HNRNPA1P13	Approved		
HNRNPA1P14	Approved		
HNRNPA1P15	Approved		
HNRNPA1P16	Approved		
HNRNPA1P17	Approved		
HNRNPA1P18	Approved		
HNRNPA1P19	Approved		
HNRNPA1P20	Approved		
HNRNPA1P21	Approved		
HNRNPA1P22	Approved		
HNRNPA1P23	Approved		
HNRNPA1P24	Approved		
HNRNPA1P25	Approved		
HNRNPA1P26	Approved		
HNRNPA1P27	Approved		
HNRNPA1P28	Approved		
HNRNPA1P29	Approved		
HNRNPA1P30	Approved		
HNRNPA1P31	Approved		
HNRNPA1P32	Approved		
HNRNPA1P33	Approved		
HNRNPA1P34	Approved		
HNRNPA1P35	Approved		
HNRNPA1P36	Approved		
HNRNPA1P37	Approved		
HNRNPA1P38	Approved		
HNRNPA1P39	Approved		
HNRNPA1P40	Approved		
HNRNPA1P41	Approved		
HNRNPA1P42	Approved		
HNRNPA1P43	Approved		
HNRNPA1P44	Approved		
HNRNPA1P45	Approved		
HNRNPA1P46	Approved		
HNRNPA1P47	Approved		
HNRNPA1P49	Approved		
HNRNPA1P50	Approved		
HNRNPA1P51	Approved		
HNRNPA1P52	Approved		
HNRNPA1P53	Approved		
HNRNPA1P54	Approved		
HNRNPA1P55	Approved		
HNRNPA1P56	Approved		
HNRNPA1P57	Approved		
HNRNPA1P58	Approved		
HNRNPA1P59	Approved		
HNRNPA1P60	Approved		
HNRNPA1P61	Approved		
HNRNPA1P62	Approved		
HNRNPA1P63	Approved		
HNRNPA1P64	Approved		
HNRNPA1P65	Approved		
HNRNPA1P66	Approved		
HNRNPA1P67	Approved		
HNRNPA1P68	Approved		
HNRNPA1P69	Approved		
HNRNPA1P70	Approved		
HNRNPA1P71	Approved		
HNRNPA1P72	Approved		
HNRNPA1P73	Approved		
HNRNPA1P74	Approved		
HNRNPA1P75	Approved		
HNRNPA1P76	Approved		
HNRNPA1P77	Approved		
HNRNPA2B1	Approved	HNRNPA2|HNRNPB1	HNRPA2B1
HNRNPA3	Approved		HNRPA3
HNRNPA3P1	Approved	FBRNP|D10S102	HNRPA3|HNRPA3P1
HNRNPA3P2	Approved	dJ977B1.2	HNRPA3P|HNRPA3P2
HNRNPA3P3	Approved		
HNRNPA3P4	Approved		
HNRNPA3P5	Approved		
HNRNPA3P6	Approved		
HNRNPA3P7	Approved		
HNRNPA3P8	Approved		
HNRNPA3P9	Approved		
HNRNPA3P10	Approved		
HNRNPA3P11	Approved		
HNRNPA3P12	Approved		
HNRNPA3P13	Approved		
HNRNPA3P14	Approved		
HNRNPA3P15	Approved		
HNRNPA3P16	Approved		
HNRNPA3P17	Approved		
HNRNPAB	Approved	ABBP1|FLJ40338	HNRPAB
HNRNPABP1	Approved		
HNRNPC	Approved		HNRPC
HNRNPCL1	Approved		HNRPCL1
HNRNPCL2	Approved		HNRNPCP5
HNRNPCL3	Approved		
HNRNPCL4	Approved		
HNRNPCP1	Approved		HNRPCP
HNRNPCP2	Approved		
HNRNPCP3	Approved		
HNRNPCP4	Approved		
HNRNPCP6	Approved		
HNRNPCP7	Approved		
HNRNPCP8	Approved		
HNRNPCP9	Approved		
HNRNPCP10	Approved		
HNRNPD	Approved		AUF1|HNRPD
HNRNPD-DT	Approved		
HNRNPDL	Approved	JKTBP|laAUF1	HNRPDL|LGMD1G
HNRNPDLP1	Approved		
HNRNPDLP2	Approved		
HNRNPDLP3	Approved		
HNRNPDLP4	Approved		
HNRNPDLP5	Approved		
HNRNPDP1	Approved	AUF1B|AUF1P	HNRPDP|HNRNPDP
HNRNPDP2	Approved		
HNRNPF	Approved		HNRPF
HNRNPFP1	Approved		
HNRNPH1	Approved	hnRNPH	HNRPH1
HNRNPH1P1	Approved		
HNRNPH1P2	Approved		
HNRNPH1P3	Approved		
HNRNPH2	Approved	hnRNPH'|FTP3|HNRPH'	HNRPH2
HNRNPH3	Approved	2H9	HNRPH3
HNRNPH3P1	Approved		
HNRNPK	Approved	CSBP|TUNP	HNRPK
HNRNPK-AS1	Approved		
HNRNPKP1	Approved		
HNRNPKP2	Approved		
HNRNPKP3	Approved		
HNRNPKP4	Approved		
HNRNPKP5	Approved		
HNRNPL	Approved		HNRPL
HNRNPLL	Approved		HNRPLL
HNRNPLL-AS1	Approved		
HNRNPLP1	Approved		
HNRNPLP2	Approved		
HNRNPM	Approved	HTGR1|HNRNPM4|HNRPM4|CEAR	NAGR1|HNRPM
HNRNPMP1	Approved		
HNRNPMP2	Approved		
HNRNPR	Approved	hnRNP-R	HNRPR
HNRNPRP1	Approved		
HNRNPRP2	Approved		
HNRNPRP3	Approved		
HNRNPU	Approved	SAF-A|FLJ37978|FLJ30202	HNRPU|HNRNPU-AS1|C1orf199|NCRNA00201
HNRNPUL1	Approved	E1B-AP5|E1BAP5|FLJ12944	HNRPUL1
HNRNPUL2	Approved	DKFZp762N1910	HNRPUL2
HNRNPUL2-BSCL2	Approved		
HNRNPUP1	Approved		HNRPUP
HOATZ	Approved	FLJ46266	C11orf88
HOGA1	Approved	FLJ37472|DHDPS2|NPL2	C10orf65|DHDPSL
HOMER1	Approved	Ves-1|SYN47|HOMER-1B	
HOMER1-DT	Approved		
HOMER2	Approved	CPD|Cupidin|Vesl-2|HOMER-2B|HOMER-2|HOMER-2A|DFNA68	
HOMER2P1	Approved		
HOMER2P2	Approved		
HOMER3	Approved	HOMER-3	
HOMER3-AS1	Approved		
HOMEZ	Approved		KIAA1443
HOOK1	Approved	HK1	
HOOK2	Approved	HK2	
HOOK3	Approved	HK3	
HOPX	Approved	LAGY|HOP|OB1|NECC1|SMAP31	
HOPX-AS1	Approved		
HORMAD1	Approved	DKFZP434A1315|CT46	
HORMAD1P1	Approved		
HORMAD2	Approved	MGC26710|CT46.2	
HORMAD2-AS1	Approved	MTMR3-AS1|NONHSAG033653	
HOTAIR	Approved	HOXC-AS4|HOXC11-AS1|NCRNA00072	
HOTAIRM1	Approved	HOXA-AS1|NCRNA00179|HOXA1-AS1	
HOTTIP	Approved	HOXA-AS6|RP1-170O19.3|HOXA13-AS1	NCRNA00213
HOXA-AS2	Approved	HOXA3as	
HOXA-AS3	Approved	HOXA6as	
HOXA1	Approved		HOX1F|HOX1
HOXA2	Approved		HOX1K
HOXA3	Approved		HOX1E|HOX1
HOXA4	Approved		HOX1D|HOX1
HOXA5	Approved		HOX1C|HOX1
HOXA6	Approved		HOX1B|HOX1
HOXA7	Approved		HOX1A|HOX1
HOXA9	Approved		HOX1G|HOX1
HOXA10	Approved		HOX1H|HOX1
HOXA10-AS	Approved		HOXA-AS4
HOXA10-HOXA9	Approved	HDSP	
HOXA11	Approved		HOX1I|HOX1
HOXA11-AS	Approved	HOXA11-AS1|HOXA11S|HOXA-AS5|NCRNA00076|LncHOXA11	HOXA11AS
HOXA13	Approved		HOX1J|HOX1
HOXA@	Approved		HOX1@
HOXB-AS1	Approved		
HOXB-AS2	Approved		
HOXB-AS3	Approved		
HOXB-AS4	Approved		
HOXB1	Approved		HOX2|HOX2I
HOXB2	Approved		HOX2|HOX2H
HOXB3	Approved		HOX2|HOX2G
HOXB4	Approved		HOX2|HOX2F
HOXB5	Approved		HOX2|HOX2A
HOXB6	Approved		HOX2|HOX2B
HOXB7	Approved		HOX2|HOX2C
HOXB8	Approved		HOX2|HOX2D
HOXB9	Approved		HOX2E|HOX2
HOXB13	Approved		
HOXB@	Approved		HOX2@
HOXC-AS1	Approved		
HOXC-AS2	Approved		
HOXC-AS3	Approved		
HOXC4	Approved		HOX3|HOX3E
HOXC5	Approved		HOX3D|HOX3
HOXC6	Approved		HOX3C|HOX3
HOXC8	Approved		HOX3|HOX3A
HOXC9	Approved		HOX3|HOX3B
HOXC10	Approved		HOX3I
HOXC11	Approved		HOX3H
HOXC12	Approved		HOX3|HOX3F|HOC3F
HOXC13	Approved		HOX3|HOX3G
HOXC13-AS	Approved		HOXC-AS5
HOXC@	Approved		HOX3@
HOXD-AS2	Approved		
HOXD1	Approved		HOX4|HOX4G
HOXD3	Approved		HOX4A|HOX4|HOX1D
HOXD4	Approved		HOX4B|HOX4
HOXD8	Approved		HOX4|HOX4E
HOXD9	Approved		HOX4C|HOX4
HOXD10	Approved		HOX4|HOX4D
HOXD11	Approved		HOX4|HOX4F
HOXD12	Approved		HOX4H
HOXD13	Approved		HOX4I|SPD
HOXD@	Approved		HOX4@
HP	Approved		
HP1BP3	Approved	HP1-BP74	
HPCA	Approved		DYT2
HPCAL1	Approved	BDR1|HLP2|VILIP-3	
HPCAL4	Approved	HLP4|DKFZp761G122	
HPD	Approved	4-HPPD|4HPPD|GLOD3|HPPD	PPD
HPDL	Approved	MGC15668|4-HPPD-L	GLOXD1
HPF1	Approved	FLJ20534	C4orf27
HPF1-DT	Approved		
HPF1P1	Approved		C4orf27P1
HPF1P2	Approved		
HPGD	Approved	SDR36C1	
HPGD-AS2	Approved		
HPGDS	Approved	GSTS|PGDS|H-PGDS|PGD2|GSTS1-1|GSTS1	
HPN	Approved	TMPRSS1	
HPN-AS1	Approved		
HPR	Approved		
HPRT1	Approved	HGPRT	HPRT
HPRT1P1	Approved		
HPRT1P2	Approved		HPRTP2
HPRT1P3	Approved		HPRTP3|HPRTP4
HPS1	Approved	BLOC3S1	HPS
HPS1-AS1	Approved		
HPS3	Approved	SUTAL|BLOC2S1	
HPS4	Approved	KIAA1667|LE|BLOC3S2	
HPS5	Approved	BLOC2S2|AIBP63|RU2	
HPS6	Approved	FLJ22501|BLOC2S3	
HPSE	Approved	HPA|HSE1|HPSE1	
HPSE-AS1	Approved		
HPSE2	Approved	HPA2|HPR2	UFS
HPV6AI1	Approved		
HPV18I1	Approved		HPV18I|D8S37
HPV18I2	Approved	PAL2	
HPX	Approved		
HPYR1	Approved	HPRG1|NCRNA00027|LINC00027	
HR	Approved	KDM3D|AU	ALUNC
HRAS	Approved		HRAS1
HRC	Approved	MGC133236	
HRCT1	Approved	LGLL338|PRO537|UNQ338	
HRDAL	Approved		
HRES1	Approved	HRES-1/p28|HRES-1	
HRG	Approved	HRGP|HPRG	
HRG-AS1	Approved	RP11-573D15.8	
HRGP1	Approved		
HRGP2	Approved		
HRH1	Approved		
HRH2	Approved		
HRH3	Approved	GPCR97	
HRH4	Approved	H4R|HH4R|AXOR35|GPCR105|GPRv53	
HRK	Approved	DP5	
HRNR	Approved	S100a18|S100A16|FLG3	
HROB	Approved	MGC3130|MCM8IP	C17orf53
HRURF	Approved	U2HR	
HS1BP3	Approved	HS1-BP3|FLJ14249	
HS1BP3-IT1	Approved		
HS2ST1	Approved	KIAA0448	
HS3ST1	Approved	3OST1	
HS3ST1-AS1	Approved		
HS3ST2	Approved	3OST2	
HS3ST3A1	Approved	3OST3A1|30ST3A1	
HS3ST3B1	Approved	3OST3B1|30ST3B1	
HS3ST4	Approved	3OST4	
HS3ST5	Approved	3-OST-5	
HS3ST6	Approved		HS3ST5
HS6ST1	Approved		HS6ST
HS6ST1P1	Approved		HS6ST1P
HS6ST2	Approved	HS6ST-2	
HS6ST2-AS1	Approved		
HS6ST3	Approved		
HSALR1	Approved		
HSBP1	Approved		
HSBP1L1	Approved	FLJ10967|MGC189743	
HSBP1P1	Approved		
HSBP1P2	Approved		
HSCB	Approved	HSC20|DNAJC20|Jac1	
HSD3B1	Approved	SDR11E1	HSDB3|HSD3B
HSD3B2	Approved	SDR11E2	
HSD3B7	Approved	C(27)-3BETA-HSD|SDR11E3	
HSD3BP1	Approved		
HSD3BP2	Approved		
HSD3BP3	Approved		
HSD3BP4	Approved		
HSD3BP5	Approved		
HSD11B1	Approved	SDR26C1	HSD11B|HSD11
HSD11B1-AS1	Approved		
HSD11B1L	Approved	SCDR10|SDR26C2|HSD1L	
HSD11B2	Approved	SDR9C3	
HSD17B1	Approved	HSD17|MGC138140|SDR28C1	EDHB17|EDH17B2
HSD17B1-AS1	Approved		
HSD17B1P1	Approved	SDR28C1P1	EDHB17|EDH17B1|HSD17BP1
HSD17B2	Approved	HSD17|SDR9C2	
HSD17B2-AS1	Approved	RP11-510J16.5|AS-HSD17beta2	
HSD17B3	Approved	SDR12C2	
HSD17B3-AS1	Approved	ENST00000448857	
HSD17B4	Approved	MFE-2|DBP|SDR8C1	
HSD17B6	Approved	HSE|RODH|SDR9C6	
HSD17B7	Approved	PRAP|SDR37C1	
HSD17B7P1	Approved		
HSD17B7P2	Approved	HSD17B7|bA291L22.1	
HSD17B8	Approved	HKE6|D6S2245E|RING2|KE6|H2-KE6|SDR30C1	FABGL
HSD17B10	Approved	ERAB|MHBD|17b-HSD10|ABAD|SDR5C1|MRPP2|CAMR	HADH2|MRXS10
HSD17B11	Approved	RetSDR2|17-BETA-HSD11|17-BETA-HSDXI|PAN1B|SDR16C2	DHRS8
HSD17B12	Approved	KAR|SDR12C1	
HSD17B12P1	Approved		
HSD17B12P2	Approved		
HSD17B13	Approved	SCDR9|SDR16C3	
HSD17B14	Approved	retSDR3|SDR47C1	DHRS10
HSDL1	Approved	SDR12C3	
HSDL2	Approved	SDR13C1	C9orf99
HSDL2-AS1	Approved	bA32M23.3	C9orf147
HSF1	Approved	HSTF1	
HSF2	Approved		
HSF2BP	Approved	MEILB2	
HSF4	Approved		CTM
HSF5	Approved	FLJ40311	
HSFX1	Approved	LW-1	
HSFX2	Approved		
HSFX3	Approved		
HSFX4	Approved		
HSFY1	Approved	HSF2L	HSFY
HSFY1P1	Approved	HSFYP1|HSFYL1	CECR8
HSFY2	Approved	FLJ25453	
HSFY3P	Approved		HSFYP2
HSFY4P	Approved		
HSFY5P	Approved		
HSFY6P	Approved		
HSFY7P	Approved		
HSFY8P	Approved		
HSH2D	Approved	ALX|HSH2|FLJ14886	
HSH2D-AS1	Approved		
HSP90AA1	Approved	Hsp89|Hsp90|FLJ31884|HSP90N	HSPC1|HSPCA|HSPCAL4
HSP90AA2P	Approved	HSPCA|HSP90ALPHA	HSPCAL3|HSP90AA2
HSP90AA3P	Approved		HSPCAL1
HSP90AA4P	Approved		HSPCAL2
HSP90AA5P	Approved		
HSP90AA6P	Approved		
HSP90AB1	Approved		HSPC2|HSPCB
HSP90AB2P	Approved	HSP90BB	
HSP90AB3P	Approved		HSPCP1
HSP90AB4P	Approved		
HSP90AB5P	Approved		
HSP90AB6P	Approved		
HSP90AB7P	Approved		
HSP90B1	Approved	GP96|GRP94	TRA1
HSP90B2P	Approved	GRP94P1|GRP94b	TRAP1|TRA1P1|HSPCP2
HSP90B3P	Approved	GRP94c	TRAP2|TRA1P2
HSPA1A	Approved	HSP70-1	HSPA1
HSPA1B	Approved	HSP70-2	
HSPA1L	Approved	HSP70-HOM|hum70t	
HSPA2	Approved		
HSPA2-AS1	Approved		
HSPA4	Approved	HS24/P52|HSPH2	
HSPA4L	Approved	APG-1|Osp94|HSPH3	
HSPA5	Approved	BiP	GRP78
HSPA5-DT	Approved		
HSPA5P1	Approved		
HSPA6	Approved	HSP70B'	
HSPA7	Approved	HSP70B	
HSPA8	Approved	HSC71|HSC70|HSP73	HSPA10
HSPA8P1	Approved		HSPAP1
HSPA8P2	Approved		
HSPA8P3	Approved		
HSPA8P4	Approved		
HSPA8P5	Approved		
HSPA8P6	Approved		
HSPA8P7	Approved		
HSPA8P8	Approved		
HSPA8P9	Approved		
HSPA8P10	Approved		
HSPA8P11	Approved		
HSPA8P12	Approved		
HSPA8P13	Approved		
HSPA8P14	Approved		
HSPA8P15	Approved		
HSPA8P16	Approved		
HSPA8P17	Approved		
HSPA8P18	Approved		
HSPA8P19	Approved		
HSPA8P20	Approved		
HSPA9	Approved	GRP75|PBP74|mot-2|mthsp75	HSPA9B
HSPA9-AS1	Approved		
HSPA9P1	Approved		HSPA9BP|HSPA9P
HSPA9P2	Approved		
HSPA12A	Approved	FLJ13874|KIAA0417	
HSPA12A-AS1	Approved		
HSPA12B	Approved	dJ1009E24.2	C20orf60
HSPA13	Approved		STCH
HSPA14	Approved	HSP70-4|HSP70L1	
HSPB1	Approved	HSP27|HSP28|Hs.76067|Hsp25|CMT2F	
HSPB1P1	Approved		HSPBL2
HSPB1P2	Approved		HSPBL3
HSPB2	Approved	Hs.78846|MKBP	
HSPB2-C11orf52	Approved		
HSPB3	Approved	HSPL27	
HSPB6	Approved	FLJ32389|Hsp20|PPP1R91	
HSPB7	Approved	cvHSP	
HSPB8	Approved	H11|E2IG1|HSP22|CMT2L	
HSPB8-AS1	Approved		
HSPB9	Approved	CT51	
HSPBAP1	Approved	FLJ22623|PASS1	
HSPBAP1P1	Approved		
HSPBP1	Approved	FES1	
HSPD1	Approved	GroEL|HSP60	SPG13
HSPD1P1	Approved	HSPD1-2P	
HSPD1P2	Approved	HSP60P2|HSPD-9P	HSPDP2
HSPD1P3	Approved	HSP60P3|HSP60P1|HSP60P4|HSPD1-7P	HSPDP3|HSPDP1|HSPDP4
HSPD1P4	Approved	HSPD1-5P	
HSPD1P5	Approved	HSPD1-8P	HSPDP5
HSPD1P6	Approved	HSPD1-6P	HSPDP6
HSPD1P7	Approved	HSPD1-22P	HSPDP7
HSPD1P8	Approved	HSPD1-12P	
HSPD1P9	Approved	HSPD1-14P	
HSPD1P10	Approved	HSPD1-4P	
HSPD1P11	Approved		
HSPD1P12	Approved	HSPD1-10P	
HSPD1P13	Approved	HSPD1-16P	
HSPD1P14	Approved	HSPD1-17P	
HSPD1P15	Approved	HSPD1-15P	
HSPD1P16	Approved	HSPD1-13P	
HSPD1P17	Approved	HSPD1-19P	
HSPD1P18	Approved		
HSPD1P19	Approved	HSPD1-18P	
HSPD1P20	Approved	HSPD1-20P	
HSPD1P21	Approved	HSPD1-3P	
HSPD1P22	Approved	HSPD1-21P	
HSPE1	Approved	CPN10|GroES|HSP10|EPF	
HSPE1-MOB4	Approved		
HSPE1P1	Approved	bA101E14.1	HSPEP1
HSPE1P2	Approved		HSPEP2
HSPE1P3	Approved		
HSPE1P4	Approved		
HSPE1P5	Approved		
HSPE1P6	Approved		
HSPE1P7	Approved		
HSPE1P8	Approved		
HSPE1P9	Approved		
HSPE1P10	Approved		
HSPE1P11	Approved		
HSPE1P12	Approved		
HSPE1P13	Approved		
HSPE1P14	Approved		
HSPE1P15	Approved		
HSPE1P16	Approved	EPF8	
HSPE1P17	Approved		
HSPE1P18	Approved		
HSPE1P19	Approved		
HSPE1P20	Approved		
HSPE1P21	Approved		
HSPE1P22	Approved		
HSPE1P23	Approved		
HSPE1P24	Approved		
HSPE1P25	Approved		
HSPE1P26	Approved		
HSPE1P27	Approved		
HSPE1P28	Approved		
HSPG2	Approved	perlecan|PRCAN	SJS1
HSPH1	Approved	HSP105B|KIAA0201|HSP105A|NY-CO-25	
HTATIP2	Approved	TIP30|CC3|FLJ26963|SDR44U1	
HTATSF1	Approved	TAT-SF1	
HTATSF1P1	Approved	TAT-SF1-L|dJ1033B10.6	HTATSF1P
HTATSF1P2	Approved		
HTD2	Approved		
HTN1	Approved	HIS1	
HTN3	Approved	HIS2	
HTOR	Approved		
HTR1A	Approved	5-HT1A	ADRB2RL1|ADRBRL1
HTR1B	Approved	S12|5-HT1B|HTR1D2|5-HT1DB	
HTR1D	Approved	RDC4|HT1DA|5-HT1D	HTRL
HTR1DP1	Approved		
HTR1E	Approved	5-HT1E	
HTR1F	Approved	HTR1EL|5-HT1F	
HTR2A	Approved	5-HT2A	HTR2
HTR2A-AS1	Approved		
HTR2B	Approved	5-HT(2B)|5-HT2B	
HTR2C	Approved	5-HT2C|5HTR2C	HTR1C
HTR3A	Approved	5-HT3R|5-HT3A	HTR3
HTR3B	Approved	5-HT3B	
HTR3C	Approved		
HTR3C2P	Approved	5-HT3C2	
HTR3D	Approved		
HTR3E	Approved		
HTR3E-AS1	Approved		
HTR4	Approved	5-HT4	
HTR5A	Approved	5-HT5A	
HTR5A-AS1	Approved		HTR5AOS
HTR5BP	Approved	5-HT5B	GPR134|HTR5B
HTR6	Approved	5-HT6|5-HT6R	
HTR7	Approved	5-HT7	
HTR7P1	Approved		HTR7P
HTRA1	Approved	HtrA|IGFBP5-protease|ARMD7	PRSS11
HTRA1-AS1	Approved		
HTRA2	Approved	OMI|PARK13	PRSS25
HTRA3	Approved	Tasp|Prsp	
HTRA3-AS1	Approved		
HTRA4	Approved	FLJ90724	
HTT	Approved	IT15	HD
HTT-AS	Approved	HTTAS	HTT-AS1
HULC	Approved	NCRNA00078|LINC00078|HCCAT1	
HUNK	Approved		
HUNK-AS1	Approved	TCONS_00028914	
HUPCOS	Approved	lnc-ZSCAN2-5:15	
HUS1	Approved		
HUS1B	Approved		
HUWE1	Approved	Ib772|KIAA0312|UREB1	
HVBS7	Approved		
HVBS8	Approved		
HVCN1	Approved	MGC15619|Hv1|VSOP	
HYAL1	Approved	LUCA1|HYAL-1	
HYAL2	Approved	LuCa-2|LUCA2	
HYAL3	Approved	LUCA-3|LUCA14|Minna14	
HYAL4	Approved		
HYAL6P	Approved	HYAL6	HYALP1
HYCC1	Approved	DRCTNNB1A|HCC|hyccin	FAM126A
HYCC2	Approved	MGC39518	FAM126B
HYDIN	Approved	DKFZp434D0513|KIAA1864|PPP1R31|CILD5	
HYDIN-AS1	Approved		
HYDIN2	Approved		HYDINP1
HYDINP1	Approved		
HYI	Approved	HT036	
HYI-AS1	Approved		
HYKK	Approved	LOC123688	AGPHD1
HYLS1	Approved	FLJ32915	
HYMAI	Approved	NCRNA00020	
HYOU1	Approved	ORP150|HSP12A|Grp170	
HYOU1-AS1	Approved	HYOU1-AS	
HYPK	Approved	HSPC136|FLJ20431	C15orf63
IADEN	Approved	HIDEN	
IAH1	Approved		
IAPP	Approved	AMYLIN|DAP|IAP	
IARS1	Approved	ILRS	IARS
IARS2	Approved	FLJ10326	
IARS2P1	Approved		
IATPR	Approved	TCONS_00018476|linc-ITGB1	
IBA57	Approved	FLJ12734	C1orf69
IBA57-DT	Approved	FLJ32878	C1orf148|IBA57-AS1
IBSP	Approved	BSP|SP-II|BSP-II	
IBTK	Approved	DKFZP564B116|BTBD26	BTKI
IBTKP1	Approved		
ICA1	Approved	ICAp69|ICA69	
ICA1-AS1	Approved		
ICA1L	Approved		ALS2CR15|ALS2CR14
ICAM1	Approved	BB2|CD54	
ICAM2	Approved	CD102	
ICAM3	Approved	CDW50|ICAM-R|CD50	
ICAM4	Approved	CD242	LW
ICAM4-AS1	Approved	LncRNA-ECM|ICR|AC011511.5	
