immune_phecode
Asthma
Rheumatoid arthritis and other inflammatory polyarthropathies
Inflammatory bowel disease and other gastroenteritis and colitis
Multiple sclerosis
Psoriasis and related disorders
Allergic rhinitis
Disorders involving the immune mechanism
Atopic/contact dermatitis due to other or unspecified
Other inflammatory spondylopathies
Dyschromia and vitiligo
Thyroiditis
Diffuse diseases of connective tissue
Sarcoidosis
Polymyalgia rheumatica
Urticaria
Nephritis; nephrosis; renal sclerosis
